지역,측정소명,측정일시,SO2,CO,O3,NO2,PM10
서울,강남구,2014100101,0.004,0.2,0.013,0.017,8
서울,강동구,2014100101,0.002,0.3,0.017,0.008,8
서울,강북구,2014100101,0.004,0.2,0.008,0.02,13
서울,강서구,2014100101,0.006,0.4,0.007,0.023,9
서울,관악구,2014100101,0.003,0.3,0.006,0.028,16
서울,광진구,2014100101,0.002,0.4,0.02,0.008,10
서울,구로구,2014100101,0.004,0.3,0.009,0.019,14
서울,금천구,2014100101,0.005,0.3,0.015,0.009,2
서울,노원구,2014100101,0.004,0.1,0.02,0.01,13
서울,도봉구,2014100101,0.004,0.2,0.012,0.017,8
서울,동대문구,2014100101,0.003,0.3,0.008,0.021,9
서울,동작구,2014100101,0.006,0.2,0.007,0.025,13
서울,마포구,2014100101,0.003,0.3,0.013,0.021,8
서울,서대문구,2014100101,0.004,0.1,0.017,0.019,5
서울,서초구,2014100101,0.003,0.3,0.013,0.013,9
서울,성동구,2014100101,-999,0.2,0.015,0.012,8
서울,성북구,2014100101,0.002,0.1,0.01,0.016,10
서울,송파구,2014100101,0.003,0.4,0.011,0.016,9
서울,양천구,2014100101,0.005,0.2,0.011,0.021,8
서울,영등포구,2014100101,0.003,0.4,0.015,0.014,7
서울,용산구,2014100101,0.004,0.2,0.019,0.011,10
서울,은평구,2014100101,0.003,0.4,0.019,0.015,6
서울,종로구,2014100101,0.004,0.2,0.016,0.012,5
서울,중구,2014100101,0.003,0.2,0.013,0.021,11
서울,중랑구,2014100101,0.004,0.3,0.02,0.011,11
서울,강남구,2014100102,0.004,0.2,0.015,0.013,5
서울,강동구,2014100102,0.003,0.2,0.017,0.006,8
서울,강북구,2014100102,0.004,0.2,0.016,0.01,9
서울,강서구,2014100102,0.004,0.3,0.011,0.017,7
서울,관악구,2014100102,0.003,0.3,0.008,0.022,11
서울,광진구,2014100102,0.003,0.3,0.021,0.007,12
서울,구로구,2014100102,0.004,0.3,0.011,0.015,10
서울,금천구,2014100102,0.004,0.3,0.015,0.008,8
서울,노원구,2014100102,0.004,0.1,0.02,0.009,14
서울,도봉구,2014100102,0.003,0.2,0.016,0.013,7
서울,동대문구,2014100102,0.003,0.3,0.012,0.014,7
서울,동작구,2014100102,0.005,0.2,0.015,0.015,5
서울,마포구,2014100102,0.003,0.3,0.015,0.016,8
서울,서대문구,2014100102,0.003,0.3,0.019,0.018,5
서울,서초구,2014100102,0.003,0.2,0.015,0.01,7
서울,성동구,2014100102,-999,0.2,0.017,0.009,7
서울,성북구,2014100102,0.002,0.2,0.013,0.011,7
서울,송파구,2014100102,0.003,0.3,0.013,0.014,9
서울,양천구,2014100102,0.004,0.2,0.012,0.018,7
서울,영등포구,2014100102,0.004,0.3,0.017,0.011,11
서울,용산구,2014100102,0.005,0.2,0.019,0.01,7
서울,은평구,2014100102,0.003,0.4,0.019,0.013,8
서울,종로구,2014100102,0.003,0.1,0.017,0.011,6
서울,중구,2014100102,0.003,0.1,0.017,0.015,10
서울,중랑구,2014100102,0.004,0.3,0.022,0.008,7
서울,강남구,2014100103,0.004,0.2,0.016,0.012,9
서울,강동구,2014100103,0.003,0.2,0.017,0.005,11
서울,강북구,2014100103,0.004,0.2,0.009,0.013,11
서울,강서구,2014100103,0.005,0.3,0.012,0.015,8
서울,관악구,2014100103,0.003,0.3,0.009,0.019,10
서울,광진구,2014100103,0.003,0.3,0.021,0.005,8
서울,구로구,2014100103,0.004,0.3,0.012,0.012,9
서울,금천구,2014100103,0.004,0.3,0.015,0.007,8
서울,노원구,2014100103,0.004,0.2,0.019,0.009,6
서울,도봉구,2014100103,0.003,0.2,0.016,0.009,8
서울,동대문구,2014100103,0.003,0.2,0.015,0.01,10
서울,동작구,2014100103,0.005,0.1,0.017,0.01,9
서울,마포구,2014100103,0.003,0.3,0.018,0.012,9
서울,서대문구,2014100103,0.004,0.1,0.02,0.015,8
서울,서초구,2014100103,0.003,0.2,0.015,0.009,6
서울,성동구,2014100103,-999,0.2,0.016,0.009,9
서울,성북구,2014100103,0.002,0.1,0.016,0.008,10
서울,송파구,2014100103,0.003,0.3,0.015,0.012,6
서울,양천구,2014100103,0.004,0.3,0.013,0.016,-999
서울,영등포구,2014100103,0.004,0.3,0.019,0.009,10
서울,용산구,2014100103,0.005,0.2,0.019,0.009,8
서울,은평구,2014100103,0.003,0.4,0.02,0.013,10
서울,종로구,2014100103,0.003,0.1,0.018,0.009,9
서울,중구,2014100103,0.003,0.1,0.019,0.013,7
서울,중랑구,2014100103,0.004,0.3,0.023,0.007,10
서울,강남구,2014100104,0.004,0.2,0.017,0.011,8
서울,강동구,2014100104,0.002,0.2,0.017,0.005,8
서울,강북구,2014100104,0.003,0.2,0.01,0.012,11
서울,강서구,2014100104,0.006,0.3,0.014,0.013,9
서울,관악구,2014100104,0.003,0.3,0.01,0.017,10
서울,광진구,2014100104,0.003,0.3,0.021,0.006,8
서울,구로구,2014100104,0.004,0.3,0.012,0.012,9
서울,금천구,2014100104,0.004,0.3,0.016,0.006,9
서울,노원구,2014100104,0.004,0.1,0.02,0.008,9
서울,도봉구,2014100104,0.003,0.2,0.019,0.008,6
서울,동대문구,2014100104,0.003,0.2,0.014,0.01,8
서울,동작구,2014100104,0.006,0.2,0.018,0.011,7
서울,마포구,2014100104,0.003,0.3,0.018,0.011,6
서울,서대문구,2014100104,0.003,0.1,0.021,0.015,6
서울,서초구,2014100104,0.003,0.2,0.016,0.008,10
서울,성동구,2014100104,-999,0.2,0.013,0.011,8
서울,성북구,2014100104,0.002,0.1,0.017,0.007,5
서울,송파구,2014100104,0.003,0.3,0.016,0.011,7
서울,양천구,2014100104,0.005,0.2,0.014,0.014,9
서울,영등포구,2014100104,0.004,0.3,0.018,0.008,4
서울,용산구,2014100104,0.004,0.2,0.019,0.009,8
서울,은평구,2014100104,0.003,0.4,0.02,0.012,5
서울,종로구,2014100104,0.005,0.2,0.017,0.009,7
서울,중구,2014100104,0.003,0.1,0.02,0.011,6
서울,중랑구,2014100104,0.004,0.3,0.023,0.007,8
서울,강남구,2014100105,0.004,0.2,0.016,0.011,9
서울,강동구,2014100105,0.003,0.2,0.015,0.007,6
서울,강북구,2014100105,0.004,0.2,0.01,0.013,10
서울,강서구,2014100105,0.006,0.3,0.014,0.013,6
서울,관악구,2014100105,0.003,0.3,0.01,0.017,9
서울,광진구,2014100105,0.003,0.3,0.02,0.006,7
서울,구로구,2014100105,0.004,0.3,0.011,0.013,7
서울,금천구,2014100105,0.004,0.3,0.016,0.006,7
서울,노원구,2014100105,0.005,0.1,0.019,0.01,4
서울,도봉구,2014100105,0.002,0.2,0.021,0.008,7
서울,동대문구,2014100105,0.003,0.2,0.013,0.013,6
서울,동작구,2014100105,0.005,0.2,0.018,0.011,7
서울,마포구,2014100105,0.003,0.3,0.018,0.011,6
서울,서대문구,2014100105,0.004,0.4,0.021,0.015,9
서울,서초구,2014100105,0.003,0.2,0.015,0.008,9
서울,성동구,2014100105,-999,0.2,0.014,0.011,9
서울,성북구,2014100105,0.002,0.1,0.017,0.008,7
서울,송파구,2014100105,0.003,0.3,0.016,0.011,6
서울,양천구,2014100105,0.006,0.2,0.015,0.014,9
서울,영등포구,2014100105,0.004,0.3,0.018,0.009,7
서울,용산구,2014100105,0.004,0.2,0.018,0.01,10
서울,은평구,2014100105,0.003,0.4,0.02,0.012,5
서울,종로구,2014100105,0.004,0.1,0.017,0.009,3
서울,중구,2014100105,0.003,0.1,0.018,0.012,6
서울,중랑구,2014100105,0.005,0.3,0.02,0.009,5
서울,강남구,2014100106,0.004,0.2,0.012,0.016,7
서울,강동구,2014100106,0.003,0.3,0.012,0.011,10
서울,강북구,2014100106,0.004,0.2,0.008,0.017,11
서울,강서구,2014100106,0.005,0.3,0.01,0.017,7
서울,관악구,2014100106,0.003,0.3,0.008,0.021,8
서울,광진구,2014100106,0.003,0.3,0.018,0.007,10
서울,구로구,2014100106,0.003,0.3,0.009,0.017,11
서울,금천구,2014100106,0.006,0.3,0.015,0.007,13
서울,노원구,2014100106,0.005,0.2,0.016,0.013,10
서울,도봉구,2014100106,0.003,0.2,0.018,0.012,8
서울,동대문구,2014100106,0.003,0.2,0.009,0.017,8
서울,동작구,2014100106,0.006,0.2,0.012,0.018,11
서울,마포구,2014100106,0.003,0.3,0.015,0.014,8
서울,서대문구,2014100106,0.004,0.1,0.02,0.016,7
서울,서초구,2014100106,0.003,0.2,0.011,0.013,5
서울,성동구,2014100106,-999,0.2,0.011,0.015,7
서울,성북구,2014100106,0.002,0.1,0.012,0.014,9
서울,송파구,2014100106,0.003,0.4,0.012,0.015,10
서울,양천구,2014100106,0.004,0.2,0.012,0.016,5
서울,영등포구,2014100106,0.004,0.3,0.014,0.011,8
서울,용산구,2014100106,0.005,0.2,0.016,0.012,6
서울,은평구,2014100106,0.003,0.4,0.017,0.017,9
서울,종로구,2014100106,0.003,0.2,0.013,0.014,9
서울,중구,2014100106,0.003,0.1,0.014,0.018,10
서울,중랑구,2014100106,0.003,0.3,0.015,0.015,7
서울,강남구,2014100107,0.004,0.2,0.005,0.025,11
서울,강동구,2014100107,0.003,0.3,0.007,0.018,10
서울,강북구,2014100107,0.004,0.2,0.004,0.022,6
서울,강서구,2014100107,0.005,0.4,0.005,0.025,12
서울,관악구,2014100107,0.003,0.3,0.004,0.029,14
서울,광진구,2014100107,0.003,0.3,0.013,0.013,11
서울,구로구,2014100107,0.004,0.3,0.003,0.026,11
서울,금천구,2014100107,0.005,0.3,0.011,0.012,8
서울,노원구,2014100107,0.004,0.2,0.015,0.016,10
서울,도봉구,2014100107,0.003,0.2,0.007,0.022,10
서울,동대문구,2014100107,0.003,0.3,0.004,0.026,10
서울,동작구,2014100107,0.005,0.2,0.004,0.026,12
서울,마포구,2014100107,0.003,0.3,0.01,0.021,6
서울,서대문구,2014100107,0.004,0.6,0.018,0.019,6
서울,서초구,2014100107,0.003,0.2,0.007,0.018,10
서울,성동구,2014100107,-999,0.2,0.006,0.021,8
서울,성북구,2014100107,0.002,0.2,0.007,0.02,8
서울,송파구,2014100107,0.003,0.4,0.006,0.024,8
서울,양천구,2014100107,0.005,0.2,0.006,0.025,11
서울,영등포구,2014100107,0.004,0.4,0.008,0.019,11
서울,용산구,2014100107,0.005,0.2,0.012,0.017,6
서울,은평구,2014100107,0.003,0.4,0.014,0.02,6
서울,종로구,2014100107,0.004,0.2,0.01,0.018,8
서울,중구,2014100107,0.003,0.1,0.009,0.024,10
서울,중랑구,2014100107,0.004,0.3,0.012,0.019,13
서울,강남구,2014100108,0.004,0.3,0.004,0.028,8
서울,강동구,2014100108,0.003,0.3,0.005,0.022,13
서울,강북구,2014100108,0.004,0.2,0.009,0.018,9
서울,강서구,2014100108,0.005,0.4,0.005,0.026,9
서울,관악구,2014100108,0.003,0.4,0.004,0.032,12
서울,광진구,2014100108,0.003,0.3,0.008,0.019,11
서울,구로구,2014100108,0.004,0.3,0.004,0.027,11
서울,금천구,2014100108,0.005,0.3,0.008,0.017,14
서울,노원구,2014100108,0.005,0.2,0.011,0.021,9
서울,도봉구,2014100108,0.003,0.3,0.009,0.02,8
서울,동대문구,2014100108,0.003,0.3,0.002,0.031,10
서울,동작구,2014100108,0.005,0.3,0.005,0.028,13
서울,마포구,2014100108,0.003,0.3,0.008,0.026,8
서울,서대문구,2014100108,0.004,0.2,0.013,0.026,11
서울,서초구,2014100108,0.003,0.3,0.005,0.021,9
서울,성동구,2014100108,-999,0.3,0.009,0.019,11
서울,성북구,2014100108,0.002,0.2,0.007,0.019,11
서울,송파구,2014100108,0.003,0.4,0.004,0.025,11
서울,양천구,2014100108,0.004,0.3,0.004,0.03,9
서울,영등포구,2014100108,0.004,0.4,0.008,0.021,7
서울,용산구,2014100108,0.005,0.3,0.009,0.02,11
서울,은평구,2014100108,0.003,0.4,0.009,0.027,10
서울,종로구,2014100108,0.004,0.2,0.008,0.02,9
서울,중구,2014100108,0.003,0.2,0.007,0.027,9
서울,중랑구,2014100108,0.004,0.4,0.011,0.021,12
서울,강남구,2014100109,0.004,0.3,0.004,0.029,15
서울,강동구,2014100109,0.003,0.3,0.005,0.021,14
서울,강북구,2014100109,0.004,0.2,0.013,0.015,11
서울,강서구,2014100109,0.005,0.4,0.006,0.026,14
서울,관악구,2014100109,0.003,0.4,0.006,0.029,12
서울,광진구,2014100109,0.003,0.4,0.008,0.018,16
서울,구로구,2014100109,0.004,0.4,0.005,0.027,13
서울,금천구,2014100109,0.004,0.3,0.006,0.021,13
서울,노원구,2014100109,0.004,0.2,0.015,0.018,13
서울,도봉구,2014100109,0.003,0.3,0.013,0.018,9
서울,동대문구,2014100109,0.002,0.3,0.004,0.03,14
서울,동작구,2014100109,0.007,0.2,0.01,0.023,14
서울,마포구,2014100109,0.003,0.4,0.008,0.027,16
서울,서대문구,2014100109,0.004,0.5,0.012,0.029,12
서울,서초구,2014100109,0.003,0.4,0.005,0.024,13
서울,성동구,2014100109,-999,0.2,0.011,0.019,13
서울,성북구,2014100109,0.002,0.3,0.007,0.021,10
서울,송파구,2014100109,0.003,0.4,0.008,0.023,15
서울,양천구,2014100109,0.005,0.3,0.005,0.029,13
서울,영등포구,2014100109,0.004,0.5,0.007,0.021,10
서울,용산구,2014100109,0.005,0.3,0.007,0.025,12
서울,은평구,2014100109,0.003,0.5,0.01,0.026,14
서울,종로구,2014100109,0.005,0.2,0.008,0.022,13
서울,중구,2014100109,0.003,0.2,0.008,0.027,13
서울,중랑구,2014100109,0.005,0.4,0.013,0.019,10
서울,강남구,2014100110,0.004,0.3,0.005,0.029,18
서울,강동구,2014100110,0.002,0.3,0.009,0.019,24
서울,강북구,2014100110,0.004,0.2,0.012,0.015,11
서울,강서구,2014100110,0.005,0.5,0.006,0.027,17
서울,관악구,2014100110,0.003,0.4,0.008,0.026,18
서울,광진구,2014100110,0.004,0.4,0.01,0.019,15
서울,구로구,2014100110,0.004,0.4,0.009,0.023,21
서울,금천구,2014100110,0.005,0.3,0.011,0.017,13
서울,노원구,2014100110,0.004,0.2,0.018,0.015,9
서울,도봉구,2014100110,0.003,0.3,0.015,0.017,10
서울,동대문구,2014100110,0.002,0.3,0.008,0.024,17
서울,동작구,2014100110,0.006,0.3,0.01,0.023,16
서울,마포구,2014100110,0.003,0.4,0.01,0.026,23
서울,서대문구,2014100110,0.004,0.5,0.01,0.033,11
서울,서초구,2014100110,0.003,0.3,0.011,0.019,20
서울,성동구,2014100110,-999,0.3,0.008,0.025,15
서울,성북구,2014100110,0.002,0.3,0.008,0.019,17
서울,송파구,2014100110,0.003,0.3,0.013,0.018,14
서울,양천구,2014100110,0.005,0.3,0.007,0.029,16
