E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.427794,0.337880,0.110040,0.119470
11,2,0.8,6,0.447311,0.288883,0.108147,0.123812
11,2,0.8,7,0.463487,0.259095,0.106553,0.126378
11,2,0.8,8,0.497014,0.251823,0.103170,0.126997
11,2,0.8,9,0.516530,0.256703,0.101149,0.126582
11,2,0.8,10,0.496953,0.296192,0.103176,0.123174
11,2,0.8,11,0.523160,0.256322,0.100453,0.126615
11,2,0.8,12,0.548890,0.260396,0.097705,0.126267
11,2,0.8,13,0.575278,0.199625,0.094804,0.131353
11,2,0.8,14,0.592899,0.212373,0.092817,0.130302
11,2,0.8,15,0.603030,0.176387,0.091655,0.133246
