REAL,ESTIMATE
0.202425,0.260922
0.353716,0.221423
0.276753,0.291822
0.202952,0.211321
0.154982,0.230175
0.167633,0.146707
0.195572,0.216910
0.296257,0.185525
0.454402,0.260773
0.248814,0.314122
0.155509,0.222069
0.167106,0.143405
0.154982,0.165559
0.076436,0.202119
0.134950,0.193162
0.220348,0.232978
0.480232,0.219427
0.312599,0.348958
0.205061,0.222606
0.246705,0.176242
0.138113,0.202602
0.279916,0.225375
0.253031,0.251356
0.314707,0.287288
0.269900,0.249768
0.021613,0.231336
0.164997,0.135019
0.148656,0.179984
0.161834,0.199020
0.193991,0.276390
0.248814,0.215344
0.209278,0.219731
0.088034,0.169323
0.342119,0.131418
0.312072,0.234691
0.172377,0.255473
0.114391,0.189641
0.212441,0.202443
0.286241,0.213200
0.283606,0.221465
0.391144,0.226002
0.426990,0.272583
0.575646,0.320799
0.363732,0.434673
0.361624,0.299326
0.308382,0.294739
0.228255,0.288346
0.190828,0.306964
0.059041,0.222606
0.170796,0.213406
0.180285,0.200447
0.128624,0.199384
0.137059,0.154157
0.224038,0.171418
0.402214,0.214920
0.425936,0.306468
0.517132,0.283804
0.371112,0.304868
0.090669,0.273718
0.206642,0.188441
0.131787,0.271079
0.115973,0.245623
0.319452,0.224296
0.570901,0.315702
0.598313,0.407025
0.680548,0.512555
0.589352,0.537875
0.468635,0.422382
0.498946,0.314419
0.549288,0.369084
0.488139,0.464871
0.400633,0.387750
0.261993,0.369314
0.247760,0.308607
0.240907,0.309345
0.356879,0.291285
0.152873,0.408765
0.216131,0.349255
0.208751,0.316060
0.108065,0.249283
0.283606,0.240178
0.429626,0.254301
0.477596,0.304548
0.572483,0.305635
0.707433,0.370932
0.677385,0.415134
0.355298,0.430917
0.200843,0.290247
0.124407,0.288350
0.234054,0.274350
0.340011,0.332344
0.396415,0.383301
0.264628,0.374723
0.308382,0.223864
0.317343,0.240143
0.305746,0.263508
0.317870,0.334309
0.301002,0.351457
0.180812,0.359893
0.228255,0.224736
0.312072,0.244957
0.377438,0.263386
0.286769,0.290891
0.164997,0.272758
0.198735,0.255736
0.195045,0.293801
0.107538,0.297658
0.204533,0.206141
0.354771,0.219866
0.296257,0.282404
0.333685,0.332455
0.435424,0.278165
0.356352,0.367402
0.124407,0.364353
0.247760,0.169143
0.303637,0.259625
0.341065,0.286971
0.471270,0.306240
0.706378,0.360002
0.600949,0.530546
0.444386,0.687190
0.289404,0.330011
0.351081,0.288982
0.455983,0.329936
0.422773,0.424687
0.291513,0.492095
0.073274,0.296756
0.105957,0.204021
0.382710,0.212153
0.437533,0.336286
0.429099,0.412641
0.418028,0.399072
0.407486,0.351047
0.476015,0.319608
0.428044,0.372423
0.208224,0.354267
0.293094,0.298164
0.149710,0.354372
0.193463,0.295850
0.530311,0.290780
0.475488,0.435163
0.429099,0.421797
