REAL,ESTIMATE
0.537164,0.256482
0.615182,0.475109
0.598313,0.530075
0.398524,0.563652
0.175013,0.303225
0.476542,0.299366
0.325778,0.416006
0.576173,0.413298
0.355298,0.428196
0.284660,0.358382
0.303637,0.283778
0.273590,0.277431
0.101740,0.277269
0.084344,0.263714
0.288350,0.294582
0.440696,0.419256
0.232999,0.441746
0.165525,0.211262
0.186083,0.262642
0.241434,0.232169
0.259884,0.289490
0.332630,0.312066
0.343173,0.344576
0.255140,0.312872
0.377965,0.325494
0.511861,0.408624
0.438060,0.442775
0.213495,0.402933
0.375857,0.250821
0.431207,0.344951
0.412230,0.404687
0.562994,0.397379
0.492356,0.483844
0.605166,0.460927
0.780179,0.725820
0.641539,0.610506
0.641012,0.521434
0.513969,0.466919
0.518714,0.456639
0.155509,0.414470
0.511334,0.287276
0.688324,0.485909
0.181734,0.487926
0.192409,0.271194
0.170796,0.206245
0.334212,0.298729
0.167106,0.239888
0.279916,0.329594
0.480759,0.361596
0.603585,0.466268
0.210078,0.426721
0.241688,0.265369
0.379020,0.297760
0.314180,0.280016
0.367422,0.343432
0.335266,0.341156
0.442277,0.380241
0.356879,0.370542
0.227728,0.230259
0.412757,0.303783
0.353716,0.300692
0.374802,0.415047
0.328413,0.463156
0.528730,0.277001
0.667897,0.396087
0.392198,0.551820
0.545598,0.323170
0.157617,0.322992
0.590406,0.323017
0.593042,0.457818
0.663679,0.644090
0.527148,0.507045
0.150501,0.259389
0.192409,0.252221
0.059568,0.106087
0.244070,0.299751
0.462309,0.365736
0.586716,0.443774
0.482868,0.430640
0.461255,0.413807
0.610438,0.534354
0.339483,0.378078
0.452293,0.296394
0.357934,0.350982
0.417765,0.455710
0.488139,0.347109
0.367949,0.414090
0.230364,0.362505
0.130733,0.265434
0.328413,0.304874
0.490248,0.480593
0.486031,0.491018
0.538218,0.499899
0.726410,0.640780
0.610438,0.560894
0.183975,0.319635
0.183975,0.215622
0.122298,0.288589
0.264101,0.325075
0.232999,0.361787
0.269373,0.370729
0.111755,0.347668
0.225619,0.135280
0.034265,0.201803
0.144439,0.219482
0.273063,0.279585
0.165525,0.312235
0.433316,0.311550
0.415393,0.251863
0.138113,0.264062
0.068002,0.174486
0.221929,0.159063
0.229837,0.263763
0.187138,0.288018
0.356879,0.294152
0.551397,0.364872
0.380601,0.422664
0.507380,0.459724
0.437006,0.288091
0.195572,0.341074
0.314180,0.216686
0.366368,0.298607
0.261465,0.343828
0.138640,0.296518
0.117027,0.200981
0.209278,0.212819
0.388508,0.277596
0.307855,0.285634
0.563521,0.347675
0.487612,0.478881
0.247760,0.294292
0.498682,0.354668
0.226674,0.347287
0.070638,0.254805
0.150764,0.273297
0.204006,0.291774
0.348445,0.315719
0.091724,0.381672
0.313126,0.254103
0.297312,0.262062
0.294676,0.234080
0.227728,0.317087
0.214022,0.262990
0.154454,0.237413
0.093832,0.185923
0.285714,0.228680
0.322088,0.239034
0.230891,0.299820
0.113337,0.218231
0.230364,0.184755
0.163943,0.268504
0.139694,0.188920
0.401687,0.245063
0.250395,0.292724
0.323142,0.201985
0.302056,0.304819
0.219821,0.230512
0.085925,0.254828
0.128097,0.150178
0.336848,0.260520
0.344228,0.285221
0.214549,0.292753
0.179230,0.174985
0.210859,0.173807
0.405377,0.293966
0.180812,0.292495
0.276753,0.231158
0.264628,0.255136
0.197681,0.204324
0.183975,0.291716
0.153400,0.205517
0.136004,0.233100
0.073801,0.173084
0.103848,0.171130
0.183975,0.187063
0.175540,0.213829
0.115445,0.181622
0.191355,0.140438
0.175013,0.164945
0.134950,0.163459
0.218766,0.165827
0.056932,0.200970
0.221402,0.168047
0.309963,0.206202
0.167106,0.221068
0.000000,0.209899
0.096995,0.142239
0.283079,0.190338
0.215604,0.209088
0.188192,0.207865
0.322615,0.218452
0.213495,0.210554
0.088034,0.180099
0.074855,0.143544
0.182920,0.191282
0.147601,0.208242
0.279916,0.186652
0.355825,0.230273
0.154982,0.264534
0.071692,0.179819
0.057986,0.130962
0.166052,0.183254
0.181866,0.193840
0.324196,0.216082
0.277280,0.300737
0.252504,0.211787
0.276753,0.241537
0.303110,0.189067
0.117027,0.251747
0.258830,0.186979
0.408540,0.243984
0.270427,0.305623
0.145493,0.254152
0.181866,0.176066
0.272536,0.205245
0.232999,0.280445
0.178176,0.219601
0.145493,0.255025
0.216131,0.198434
0.321560,0.169169
0.246705,0.222803
0.253031,0.219188
0.356616,0.175122
0.310490,0.241427
0.193991,0.305306
0.153927,0.201761
0.332103,0.202418
0.282024,0.286475
0.231418,0.292215
0.163943,0.220556
0.155509,0.188473
0.285714,0.196622
0.327886,0.228027
0.412757,0.260814
0.215604,0.274184
0.139694,0.134493
0.259884,0.141756
0.288350,0.251724
0.443332,0.296478
0.247760,0.330191
0.345282,0.241845
0.359515,0.353118
0.372167,0.431766
0.309963,0.366025
0.350554,0.270705
0.240380,0.356805
0.379020,0.263314
0.281497,0.381231
0.178176,0.281141
0.260938,0.213497
0.369004,0.258387
0.181339,0.354546
0.189773,0.224167
0.334739,0.194981
0.179230,0.316957
0.191355,0.266069
0.064312,0.150360
0.253558,0.184333
0.331576,0.274402
0.500791,0.312369
0.482868,0.373595
0.326305,0.354520
0.194518,0.274718
0.271481,0.200637
0.115973,0.301913
0.235635,0.246364
0.371639,0.313402
0.293094,0.381222
0.414338,0.294190
0.529257,0.437825
0.412757,0.453795
0.389035,0.344637
0.217712,0.326049
0.199262,0.266447
0.366895,0.211248
0.439114,0.335949
0.450185,0.432722
0.226674,0.413668
0.246178,0.214646
0.595150,0.279314
0.746705,0.703296
0.859251,0.827631
0.574064,0.573613
0.285714,0.377809
0.051133,0.203264
0.175013,0.278321
0.457565,0.291662
0.439114,0.440357
0.462309,0.494724
0.458619,0.298606
0.597259,0.471677
0.345282,0.596361
