E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,3,0.8,5,0.598871,0.353576,0.088374,0.082144
11,3,0.8,6,0.602140,0.358949,0.088014,0.081802
11,3,0.8,7,0.626200,0.432239,0.085311,0.076984
11,3,0.8,8,0.633987,0.412644,0.084418,0.078301
11,3,0.8,9,0.640922,0.353580,0.083614,0.082144
11,3,0.8,10,0.647172,0.375845,0.082883,0.080716
11,3,0.8,11,0.666361,0.302012,0.080598,0.085357
11,3,0.8,12,0.662948,0.333479,0.081009,0.083411
11,3,0.8,13,0.680209,0.285497,0.078907,0.086361
11,3,0.8,14,0.697270,0.285986,0.076774,0.086332
11,3,0.8,15,0.693282,0.319066,0.077278,0.084308
