REAL,ESTIMATE
0.056509,0.119617
0.092331,0.094401
0.275984,0.108370
0.346115,0.158135
0.189707,0.167575
0.080222,0.132787
0.202825,0.108370
0.262361,0.138908
0.274470,0.190132
0.269425,0.190117
0.244702,0.173109
0.140262,0.191212
0.168517,0.151440
0.275984,0.198613
0.176085,0.204821
0.135217,0.155256
0.273461,0.169448
0.352674,0.237382
0.165994,0.226633
0.217962,0.179974
0.283047,0.219335
0.245207,0.302458
0.265388,0.186295
0.200050,0.242516
0.113522,0.211258
0.178103,0.162279
0.181635,0.234609
0.244198,0.275700
0.146317,0.213785
0.375378,0.195803
0.213925,0.286498
0.101287,0.213924
0.426211,0.170086
0.348638,0.287309
0.378406,0.282249
0.266398,0.277472
0.365288,0.328125
0.290616,0.291259
0.180121,0.254711
0.047931,0.243660
0.462751,0.280514
0.603344,0.372777
0.479818,0.449149
0.604440,0.397053
0.354692,0.416894
0.359233,0.279272
0.189203,0.259152
0.268920,0.335485
0.349647,0.312032
0.317861,0.293116
0.611504,0.587237
0.493441,0.470110
0.350151,0.361968
0.209384,0.245669
0.242180,0.292720
0.626640,0.559809
0.220484,0.271114
0.533300,0.471071
0.185671,0.186804
0.274975,0.220553
0.299193,0.332878
0.268920,0.311931
0.438698,0.274562
0.416246,0.400980
0.526236,0.432038
0.487386,0.452765
0.354692,0.389970
0.152371,0.285231
0.303229,0.244182
0.305752,0.291950
0.077195,0.327939
0.449546,0.497979
0.420283,0.417989
0.357215,0.418082
0.301968,0.312423
0.367810,0.301795
0.419778,0.389537
0.437437,0.339938
0.652371,0.588275
0.534813,0.582351
0.407669,0.383871
0.565590,0.384102
0.450555,0.460316
0.345106,0.329762
0.316852,0.381194
0.397074,0.364097
0.342583,0.330855
0.578204,0.341249
0.424319,0.469754
0.551968,0.545897
0.566599,0.519639
0.495964,0.482255
0.422805,0.429721
0.581736,0.466959
0.512109,0.628160
0.559031,0.447805
0.562563,0.534375
0.345106,0.518776
0.362260,0.357530
0.600404,0.377302
0.730071,0.670536
0.842079,0.714613
1.000000,0.837287
0.559536,0.707578
0.357719,0.527752
0.331483,0.353711
0.468718,0.302884
0.325429,0.550408
0.357215,0.401060
0.408678,0.423278
0.437941,0.413188
0.327952,0.430015
0.393542,0.361491
0.369324,0.538178
0.510091,0.496561
0.779011,0.654086
0.810797,0.722550
0.671544,0.612774
0.423814,0.408257
0.614026,0.436082
0.603935,0.394106
0.182139,0.379812
0.233602,0.275596
0.458628,0.299816
0.410696,0.367166
0.421292,0.394980
0.336024,0.344202
0.478305,0.295159
0.288093,0.500023
0.297679,0.355999
0.166498,0.359005
0.306256,0.338501
0.454591,0.456230
0.540868,0.466194
0.685671,0.464914
0.411201,0.502714
0.546418,0.482108
0.507064,0.469614
0.452069,0.442752
0.393542,0.485723
0.338042,0.390461
0.343088,0.320457
0.150353,0.358874
0.296165,0.312418
0.331483,0.305456
0.335015,0.424502
0.291120,0.387012
0.602422,0.399523
0.545409,0.597793
0.346115,0.357586
0.458123,0.484582
0.493946,0.482976
0.263875,0.403042
0.350656,0.339665
0.282543,0.388986
0.291625,0.302681
0.479818,0.335673
0.302220,0.382136
0.097376,0.149011
0.290111,0.181312
0.721493,0.383162
0.620081,0.581491
0.455600,0.554612
0.597881,0.592404
0.536327,0.458898
0.490918,0.348004
0.296165,0.497103
0.282543,0.321516
0.261857,0.277360
0.406660,0.359628
0.267407,0.211816
0.056256,0.134432
0.125126,0.183937
0.143794,0.258978
0.111504,0.220815
0.579717,0.324026
0.731584,0.713282
0.393542,0.404169
0.425328,0.449115
0.261857,0.352481
0.080222,0.224952
0.135721,0.183800
0.166498,0.190723
0.158426,0.160608
0.156912,0.172489
0.403633,0.197221
0.345610,0.286440
0.106963,0.270555
0.259334,0.206185
0.513118,0.247794
0.360242,0.346598
0.325933,0.436031
0.632190,0.580832
0.210898,0.359616
0.212412,0.205167
0.292634,0.234393
0.346115,0.310203
0.126135,0.295283
0.230575,0.206236
0.108476,0.199422
0.098890,0.152281
0.102422,0.184879
0.502018,0.482137
0.417760,0.398256
0.360747,0.347851
0.233602,0.221175
0.354692,0.242605
0.204339,0.273785
0.308274,0.227584
0.242684,0.282464
0.276993,0.257754
0.221493,0.240654
0.270938,0.248406
0.129667,0.286932
0.169021,0.179870
0.311302,0.257344
0.272452,0.296819
0.347124,0.278924
0.342583,0.376526
0.375378,0.298455
0.411201,0.414831
0.305752,0.341001
0.239152,0.294869
0.120081,0.244631
0.215439,0.199810
0.272957,0.312285
0.382947,0.282324
0.279011,0.298727
0.085267,0.284240
0.184157,0.259695
0.214430,0.247622
0.252775,0.221683
0.161453,0.248097
0.227043,0.251794
0.189203,0.130734
0.170030,0.197024
0.170030,0.169153
0.138244,0.180588
0.315338,0.173818
0.191726,0.287673
0.079213,0.194635
0.138244,0.159784
0.194753,0.193455
0.115035,0.184984
0.281534,0.161776
0.178103,0.249489
0.352674,0.167226
0.232089,0.282738
0.193744,0.256966
0.133703,0.202080
0.230575,0.165334
0.196266,0.231342
0.286579,0.212597
0.251261,0.242733
0.268416,0.232723
0.198789,0.233342
0.204339,0.221587
0.224521,0.268890
0.137235,0.233118
0.076690,0.175441
0.188698,0.170437
0.074168,0.225059
0.152371,0.180535
0.203835,0.178882
0.109990,0.226836
0.089808,0.157570
0.100404,0.160156
0.205853,0.181259
0.239657,0.183084
0.048436,0.210062
0.030272,0.140370
0.013623,0.107010
0.057013,0.118746
0.243693,0.137882
0.417255,0.196098
0.223007,0.297158
0.056509,0.185466
0.100404,0.130938
0.143794,0.145874
0.073663,0.146821
0.000000,0.116288
0.188698,0.078461
0.081231,0.166504
0.066095,0.130661
0.274470,0.142128
0.256811,0.215619
0.089304,0.173902
0.135217,0.117656
0.073663,0.170802
0.169526,0.112435
0.142028,0.136446
0.057013,0.176622
0.059536,0.104204
0.088295,0.099132
0.073158,0.153369
0.077195,0.122815
0.009586,0.112477
0.118567,0.105758
0.171039,0.125207
0.011100,0.137959
0.008073,0.097661
0.077195,0.084293
0.083249,0.097485
0.278507,0.109183
0.218466,0.168818
0.087790,0.157337
0.214430,0.110289
0.220989,0.148643
0.210898,0.161788
0.054995,0.136490
0.108981,0.102908
0.072654,0.134626
0.003532,0.103838
0.122099,0.100484
0.084763,0.145045
0.201312,0.115037
0.079213,0.160351
0.001009,0.134923
0.177598,0.090009
0.247730,0.129361
0.128658,0.184189
0.008829,0.116320
0.150858,0.080916
0.159435,0.145854
0.055499,0.115543
0.007064,0.111342
0.099899,0.102311
0.234612,0.106311
0.093340,0.168367
0.017659,0.140406
0.002018,0.091752
0.066095,0.080760
0.063572,0.114945
0.160949,0.106826
0.259839,0.134032
0.177094,0.178263
0.040363,0.130044
0.014632,0.108996
0.010595,0.097036
0.227043,0.083460
0.225530,0.158519
0.089304,0.171337
0.030272,0.103440
0.123613,0.088240
0.209889,0.132089
0.123613,0.141791
0.020182,0.124328
0.007568,0.089448
0.034813,0.083386
0.143794,0.105303
0.221493,0.144538
0.071645,0.148116
0.175076,0.098388
0.035822,0.148468
0.014127,0.104831
0.067104,0.087390
0.109990,0.106527
0.111504,0.122184
0.008577,0.110370
0.116549,0.089327
0.193239,0.111107
0.121594,0.124407
0.009586,0.128414
0.188698,0.088139
0.170535,0.133082
0.152371,0.137865
0.050454,0.134412
0.023209,0.098865
0.106963,0.081359
0.213421,0.109117
0.133451,0.164950
0.152876,0.128852
0.372351,0.129881
0.177094,0.190693
0.099899,0.144115
0.129667,0.117095
0.322906,0.141186
0.226034,0.179387
0.094854,0.157547
0.201312,0.141247
0.118567,0.156426
0.234107,0.134569
0.280525,0.213138
0.162462,0.239749
0.178103,0.145434
0.069627,0.154806
0.192735,0.155588
0.199294,0.167599
0.171544,0.186121
0.153885,0.178070
0.312311,0.165983
0.275732,0.274018
0.126640,0.202862
0.254793,0.147787
0.155343,0.264854
