REAL,ESTIMATE
0.334511,0.276977
0.481837,0.342729
0.413724,0.395709
0.342079,0.317971
0.318365,0.274560
0.263875,0.320989
0.115540,0.271531
0.200303,0.213175
0.406660,0.231245
0.390515,0.325310
0.265893,0.317725
0.149849,0.357096
0.184662,0.248928
0.295913,0.252500
0.094349,0.273109
0.278002,0.220585
0.304743,0.348685
0.310797,0.322136
0.282038,0.290349
0.165994,0.272260
0.214934,0.232389
0.258829,0.232211
0.191221,0.296042
0.317356,0.247398
0.239152,0.314075
0.265893,0.262454
0.268920,0.288594
0.257820,0.259237
0.231080,0.230152
0.240161,0.253115
0.344097,0.290871
0.228052,0.318334
0.221998,0.266647
0.292634,0.273449
0.283552,0.276229
0.285066,0.269653
0.215439,0.211717
0.296165,0.236337
0.260848,0.277602
0.299193,0.267740
0.086781,0.260805
0.206357,0.193174
0.283047,0.232580
0.292634,0.227925
0.256307,0.178609
0.279011,0.236169
0.335015,0.095309
0.231584,0.291876
0.151362,0.227580
0.280020,0.150422
0.375883,0.262205
0.269425,0.230322
0.144299,0.216531
0.150858,0.211779
0.112513,0.218018
0.234612,0.195605
0.351160,0.264576
0.228557,0.287759
0.173058,0.033679
0.211907,0.228265
0.135217,0.252537
0.100404,0.203083
0.198285,0.128301
0.180626,0.189269
0.204844,0.227274
0.277497,0.214026
0.234107,0.200345
0.164480,0.226676
0.215439,0.211402
0.146821,0.250442
0.252270,0.207640
0.242180,0.234003
0.248234,0.240962
0.094349,0.240612
0.251261,0.181549
0.243693,0.238665
0.236630,0.233611
0.273461,0.242505
0.157921,0.274039
0.042381,0.213005
0.094349,0.158177
0.144803,0.195524
0.064581,0.201095
0.113017,0.161476
0.173058,0.148917
0.184157,0.206362
0.234612,0.174449
0.111504,0.235336
0.057518,0.188848
0.040363,0.141362
0.146317,0.169165
0.087286,0.181956
0.077195,0.135422
0.087790,0.171394
0.005550,0.167252
0.124622,0.111029
0.163976,0.167982
0.088799,0.187891
0.082240,0.123318
0.123108,0.153462
0.094349,0.160386
0.149344,0.108154
0.130172,0.153560
0.143290,0.169815
0.265388,0.113022
0.208375,0.178207
0.073663,0.180945
0.023209,0.103826
0.092331,0.125424
0.021191,0.150783
0.075177,0.092993
0.171039,0.129730
0.137235,0.172482
0.152371,0.108487
0.126135,0.137107
0.030272,0.155461
0.023713,0.094076
0.015641,0.119107
0.007568,0.131479
0.145308,0.083522
0.139253,0.121209
0.045913,0.147476
0.004541,0.082938
0.117558,0.097710
0.266398,0.135584
0.185166,0.116424
0.034813,0.139123
0.029263,0.121679
0.026236,0.083775
0.017154,0.091634
0.034813,0.103811
0.032291,0.093267
0.127649,0.104066
0.258829,0.121760
0.150353,0.124782
0.260343,0.109517
0.223512,0.144417
0.031282,0.132087
0.021191,0.089325
0.064581,0.096061
