E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.517782,0.323321,0.039618,0.029555
10,4,0.8,6,0.666186,0.367573,0.032963,0.028572
10,4,0.8,7,0.630843,0.374869,0.034664,0.028407
10,4,0.8,8,0.672537,0.405397,0.032648,0.027705
10,4,0.8,9,0.654122,0.393391,0.033553,0.027983
10,4,0.8,10,0.614890,0.428659,0.035405,0.027157
10,4,0.8,11,0.772638,0.102012,0.027204,0.034047
10,4,0.8,12,0.706082,0.401130,0.030930,0.027804
10,4,0.8,13,0.665911,0.425284,0.032976,0.027237
10,4,0.8,14,0.715399,0.369933,0.030436,0.028519
10,4,0.8,15,0.748270,0.370120,0.028624,0.028515
