REAL,ESTIMATE
0.106044,0.067745
0.104968,0.088094
0.033750,0.082206
0.032080,0.043293
0.049708,0.039636
0.049782,0.067752
0.040727,0.054770
0.055201,0.053029
0.055869,0.062892
0.041766,0.063777
0.005582,0.055549
0.010295,0.033732
0.030707,0.032765
0.044401,0.052141
0.048001,0.051603
0.050079,0.053359
0.048743,0.055825
0.034344,0.063913
0.037906,0.054441
0.036348,0.047892
0.057724,0.042341
0.046591,0.062430
0.015045,0.054065
0.015342,0.036989
0.014823,0.040418
0.022245,0.045745
0.047407,0.047134
0.060545,0.046978
0.032265,0.053674
0.031671,0.041866
0.047407,0.044272
0.037609,0.057641
0.020983,0.053235
0.014229,0.040918
0.024620,0.038763
0.049114,0.036057
0.077319,0.045688
0.074573,0.058418
0.064330,0.059254
0.066483,0.069201
0.055943,0.076012
0.055052,0.060635
0.072792,0.052895
0.053122,0.060204
0.046591,0.051285
0.034047,0.050722
0.024620,0.046613
0.021354,0.042237
0.051898,0.041315
0.061064,0.051338
0.043102,0.054017
0.044883,0.051053
0.048929,0.053286
0.073608,0.055520
0.083554,0.068279
0.050450,0.070685
0.033601,0.050509
0.021206,0.041193
0.024546,0.037939
0.046145,0.043417
0.075835,0.056181
0.093871,0.077410
0.105896,0.088513
0.099290,0.090016
0.126530,0.082323
0.166388,0.092226
0.157296,0.125418
0.202684,0.132780
0.134992,0.157969
0.083777,0.084504
0.051712,0.058582
0.044364,0.056006
0.048298,0.051619
0.056388,0.055650
0.051601,0.058200
0.032525,0.056962
0.044364,0.050534
0.049337,0.052175
0.064775,0.057296
0.084074,0.062132
0.119219,0.069254
0.142043,0.092422
0.125342,0.099175
0.077616,0.090740
0.009642,0.074169
0.000000,0.054634
0.014192,0.054070
0.078284,0.056956
0.061584,0.093658
0.018979,0.065177
0.015268,0.045675
0.011557,0.044591
0.026624,0.047096
0.043696,0.053620
0.026550,0.064515
0.008254,0.052903
0.018014,0.055627
0.055646,0.041899
0.075686,0.051838
0.046739,0.063749
0.004802,0.058148
0.033453,0.026736
0.013264,0.048034
0.051564,0.038449
0.059802,0.051539
0.068561,0.052178
0.062252,0.071274
0.066334,0.062403
0.086300,0.060381
0.085039,0.060202
0.026476,0.064157
0.064998,0.038610
0.054310,0.072606
0.056982,0.076819
0.081921,0.074802
0.115471,0.072156
0.114469,0.078808
0.075983,0.076888
0.050970,0.065035
0.049114,0.039204
0.063514,0.052586
0.075761,0.064915
0.088008,0.070999
0.038797,0.074833
0.026773,0.048904
0.066408,0.043696
0.093426,0.060721
0.077394,0.063088
0.080808,0.069533
0.090828,0.076638
0.077839,0.077987
0.166388,0.075128
0.040504,0.121707
0.125565,0.060966
0.043993,0.092054
0.034121,0.051286
0.092164,0.062484
0.099661,0.073282
0.115619,0.070660
