REAL,ESTIMATE
59.000000,67.666184
60.000000,59.338213
61.000000,61.035144
73.000000,63.823406
76.000000,76.208062
75.000000,75.184098
78.000000,73.855491
67.000000,67.008340
66.000000,66.113761
55.000000,55.093482
48.000000,48.043953
40.000000,40.136252
37.000000,37.110205
36.000000,39.545945
39.000000,38.383802
43.000000,40.434566
49.000000,44.415301
53.000000,50.263443
55.000000,54.442653
62.000000,57.187937
55.000000,65.001690
55.000000,58.835960
71.000000,59.051571
55.000000,78.378028
48.000000,58.038708
44.000000,48.844368
43.000000,44.138791
42.000000,42.845125
39.000000,41.875793
41.000000,38.891498
41.000000,40.759389
42.000000,41.050726
45.000000,41.756273
43.000000,44.628727
44.000000,42.870799
43.000000,43.850529
42.000000,42.677116
46.000000,41.939442
42.000000,45.686912
44.000000,42.299996
48.000000,43.620744
55.000000,47.172132
54.000000,54.161958
55.000000,53.490652
34.000000,55.775112
30.000000,35.690036
37.000000,32.052577
46.000000,38.978465
41.000000,46.557866
41.000000,41.350139
38.000000,40.790630
32.000000,38.037409
36.000000,33.071005
39.000000,35.804213
39.000000,38.325528
42.000000,38.232479
48.000000,41.381733
46.000000,47.405027
46.000000,46.605129
48.000000,47.057845
43.000000,49.671083
46.000000,43.230052
49.000000,45.717874
49.000000,50.227261
57.000000,49.384751
64.000000,56.017758
69.000000,62.746511
70.000000,67.302707
75.000000,68.009840
76.000000,72.676426
84.000000,73.809973
79.000000,82.213213
85.000000,77.606697
107.000000,84.232290
107.000000,105.900274
117.000000,105.473482
104.000000,115.527585
103.000000,102.402773
104.000000,102.145298
81.000000,102.399439
76.000000,78.915827
79.000000,74.552618
76.000000,76.847543
67.000000,74.061985
68.000000,65.236998
62.000000,67.049881
78.000000,61.431713
81.000000,76.401905
85.000000,80.554104
90.000000,84.008625
101.000000,88.735580
106.000000,100.399138
94.000000,106.173939
69.000000,94.330892
68.000000,68.982340
78.000000,66.553724
105.000000,75.970494
110.000000,103.246988
105.000000,106.644348
85.000000,100.461928
119.000000,81.053491
107.000000,115.874527
102.000000,104.690277
102.000000,99.212503
97.000000,99.151096
96.000000,91.025323
85.000000,88.520832
84.000000,77.805556
98.000000,78.561417
84.000000,90.107443
78.000000,78.167932
99.000000,71.950487
103.000000,93.895903
113.000000,98.325734
102.000000,110.839726
101.000000,100.520240
96.000000,101.663520
93.000000,90.481732
91.000000,94.540766
55.000000,90.838150
36.000000,49.282234
27.000000,32.493527
26.000000,26.025690
40.000000,26.354048
36.000000,38.491246
29.000000,34.228422
25.000000,29.059317
22.000000,24.924632
13.000000,22.922595
17.000000,15.811572
13.000000,19.515096
15.000000,16.417791
16.000000,18.473242
14.000000,18.306106
19.000000,17.309458
19.000000,21.623901
20.000000,21.009279
23.000000,21.751664
23.000000,24.249180
22.000000,24.468246
26.000000,23.939372
21.000000,27.654820
25.000000,23.352732
33.000000,26.789828
26.000000,32.279230
21.000000,25.129286
11.000000,21.211840
26.000000,13.691767
19.000000,25.232375
16.000000,20.007733
13.000000,17.396685
21.000000,15.448804
11.000000,22.976487
17.000000,14.700261
24.000000,20.409746
20.000000,26.108341
23.000000,22.999926
24.000000,24.912130
24.000000,25.068239
24.000000,25.572678
17.000000,25.821109
28.000000,19.846685
27.000000,29.988351
34.000000,28.551803
44.000000,34.059681
46.000000,45.784972
48.000000,45.259710
54.000000,46.203206
46.000000,51.231061
45.000000,41.445034
43.000000,41.573474
51.000000,39.868162
57.000000,47.855920
46.000000,53.922813
50.000000,44.178327
53.000000,47.488584
51.000000,50.766486
51.000000,47.503775
54.000000,48.490789
58.000000,51.223256
55.000000,55.678010
57.000000,54.201796
54.000000,55.496318
62.000000,53.256325
59.000000,60.938299
70.000000,56.848393
55.000000,67.060613
47.000000,53.834821
45.000000,47.222535
31.000000,45.847159
32.000000,34.156060
38.000000,35.081151
62.000000,40.289159
