REAL,ESTIMATE
0.107438,0.197558
0.095041,0.128146
0.066116,0.119401
0.144628,0.088476
0.223140,0.149695
0.157025,0.199139
0.169421,0.148430
0.169421,0.164029
0.074380,0.159468
0.082645,0.097892
0.099174,0.109246
0.169421,0.121333
0.165289,0.169630
0.148760,0.164723
0.119835,0.162803
0.074380,0.130645
0.057851,0.096885
0.074380,0.081517
0.099174,0.101485
0.136364,0.131237
0.090909,0.148579
0.041322,0.114169
0.037190,0.082848
0.037190,0.066599
0.037190,0.068146
0.053719,0.064389
0.095041,0.083032
0.095041,0.119230
0.066116,0.115087
0.132231,0.091165
0.074380,0.139519
0.041322,0.096649
0.028926,0.071164
0.057851,0.055223
0.061983,0.086535
0.161157,0.086838
0.111570,0.157143
0.095041,0.120538
0.161157,0.108906
0.128099,0.159030
0.140496,0.142833
0.123967,0.149125
0.078512,0.140099
0.078512,0.101597
0.057851,0.108691
0.057851,0.087855
0.049587,0.082248
0.111570,0.071927
0.136364,0.125077
0.086777,0.144274
0.090909,0.118522
0.132231,0.110169
0.119835,0.136097
0.107438,0.137058
0.090909,0.129146
0.074380,0.118671
0.053719,0.103811
0.049587,0.077879
0.123967,0.076673
0.194215,0.127222
0.338843,0.171028
0.268595,0.252428
0.169421,0.228045
0.177686,0.164302
0.260331,0.162290
0.305785,0.210898
0.268595,0.233487
0.152893,0.220782
0.214876,0.159324
0.123967,0.199692
0.095041,0.129739
0.115702,0.110127
0.086777,0.126040
0.119835,0.112948
0.082645,0.144348
0.057851,0.136660
0.090909,0.112239
0.099174,0.118465
0.194215,0.129040
0.268595,0.193488
0.380165,0.229723
0.264463,0.295159
0.111570,0.223988
0.008264,0.132772
0.012397,0.046562
0.020661,0.049010
0.049587,0.051673
0.078512,0.062977
0.045455,0.094338
0.024793,0.066941
0.045455,0.042682
0.128099,0.074254
0.099174,0.133164
0.078512,0.122366
0.041322,0.120113
0.020661,0.109348
0.128099,0.083449
0.157025,0.148932
0.111570,0.153489
0.012397,0.119504
0.028926,0.040319
0.000000,0.051248
0.070248,0.015857
0.057851,0.079167
0.111570,0.074961
0.049587,0.126461
0.165289,0.088947
0.111570,0.173499
0.132231,0.131629
0.037190,0.152312
0.057851,0.063739
0.132231,0.094565
0.148760,0.148143
0.082645,0.147941
0.247934,0.097320
0.214876,0.221280
0.185950,0.216950
0.157025,0.177313
0.107438,0.147445
0.128099,0.121964
0.115702,0.129841
0.177686,0.140624
0.144628,0.189554
0.057851,0.174295
0.123967,0.080684
0.119835,0.130592
0.078512,0.128652
0.095041,0.108183
0.144628,0.108250
0.165289,0.163494
0.301653,0.171618
0.161157,0.221196
0.190083,0.159622
0.082645,0.177729
0.057851,0.106379
0.177686,0.088366
0.194215,0.172513
0.305785,0.177126
