REAL,ESTIMATE
0.367769,0.350186
0.404959,0.324066
0.260331,0.340162
0.756198,0.387653
0.479339,0.410099
0.371901,0.395531
0.322314,0.204005
0.256198,0.287547
0.132231,0.191898
0.326446,0.215584
0.219008,0.332780
0.276860,0.194937
0.285124,0.294406
0.140496,0.288844
0.086777,0.250716
0.101240,0.110420
0.099174,0.135862
0.078512,0.059332
0.289256,0.201371
0.219008,0.252533
0.082645,0.168497
0.024793,0.121461
0.028926,0.060953
0.045455,0.053191
0.020661,0.078815
0.057851,0.072748
0.078512,0.100145
0.041322,0.108182
0.119835,0.082386
0.371901,0.130503
0.570248,0.297765
0.074380,0.302049
0.095041,0.101117
0.404959,0.153116
0.359504,0.426055
0.483471,0.466569
0.561983,0.543127
1.000000,0.976075
0.917355,0.844158
0.595041,0.678878
0.590909,0.512520
0.549587,0.472165
0.599174,0.566846
0.157025,0.373805
0.644628,0.622088
0.724174,0.691814
0.244835,0.248070
0.181818,0.236642
0.161157,0.192186
0.268595,0.250451
0.157025,0.238675
0.177686,0.271734
0.371901,0.322936
0.276860,0.284196
0.242234,0.268331
0.303220,0.293097
0.446281,0.294518
0.508264,0.487785
0.223140,0.368584
0.214876,0.230367
0.219008,0.285472
0.227273,0.208354
0.095041,0.181379
0.384298,0.173930
0.561983,0.389464
0.363636,0.404440
0.252066,0.337335
0.285124,0.258971
0.487603,0.298100
0.450413,0.493339
0.219008,0.323727
0.082645,0.127580
0.202479,0.196579
0.235537,0.250101
0.326446,0.210401
0.268595,0.368835
0.074380,0.291346
0.119835,0.128411
0.086777,0.179941
0.359504,0.180312
0.285124,0.329853
0.177686,0.215467
0.198347,0.166143
0.309917,0.212805
0.326446,0.342919
0.297521,0.260215
0.334711,0.288572
0.454545,0.271339
0.646694,0.505902
0.347107,0.463660
0.190083,0.176666
0.103306,0.274050
0.148760,0.188960
0.297521,0.327063
0.355372,0.313824
0.574380,0.448871
0.483471,0.371459
0.322314,0.317296
0.330579,0.331284
0.128099,0.296309
0.053719,0.235689
0.037190,0.130742
