E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.482449,0.353319,0.120593,0.136345
11,2,0.8,6,0.509158,0.348542,0.117440,0.136847
11,2,0.8,7,0.531554,0.373615,0.114729,0.134188
11,2,0.8,8,0.559352,0.318096,0.111273,0.140008
11,2,0.8,9,0.570467,0.307848,0.109861,0.141057
11,2,0.8,10,0.588955,0.288333,0.107471,0.143031
11,2,0.8,11,0.596001,0.332224,0.106545,0.138551
11,2,0.8,12,0.606920,0.353029,0.105096,0.136375
11,2,0.8,13,0.617287,0.319193,0.103701,0.139896
11,2,0.8,14,0.628863,0.266089,0.102120,0.145249
11,2,0.8,15,0.643413,0.272317,0.100099,0.144632
