REAL,ESTIMATE
0.718039,0.273490
0.766492,0.756345
0.725628,0.594628
0.572096,0.615111
0.339171,0.435933
0.635727,0.432851
0.565674,0.541177
0.690018,0.661362
0.589609,0.593215
0.347928,0.486655
0.387040,0.442098
0.416813,0.424456
0.196147,0.281366
0.126095,0.337809
0.363689,0.363234
0.469936,0.453848
0.192061,0.309798
0.211325,0.164669
0.213660,0.303056
0.249270,0.257160
0.285464,0.290966
0.382954,0.307765
0.322242,0.359471
0.282545,0.321472
0.513719,0.313461
0.610625,0.447642
0.421483,0.524574
0.211909,0.265617
0.463514,0.288995
0.652072,0.433544
0.616462,0.629924
0.719206,0.535034
0.646235,0.608219
0.813193,0.643558
1.000000,1.013170
0.748395,0.706077
0.751897,0.691166
0.589609,0.589456
0.776999,0.626875
0.171045,0.545277
0.568009,0.384179
0.677758,0.617507
0.148862,0.195404
0.266783,0.362907
0.201985,0.327607
0.508465,0.341907
0.241097,0.408515
0.430823,0.463248
0.625219,0.485870
0.727963,0.604272
0.199650,0.468173
0.437245,0.306363
0.545242,0.413418
0.461763,0.362097
0.542323,0.505606
0.513135,0.450039
0.508465,0.486494
0.385873,0.503956
0.347928,0.380449
0.597198,0.539413
0.532983,0.517295
0.611792,0.654351
0.531232,0.602856
0.666667,0.468049
0.839463,0.538714
0.489784,0.529549
0.629889,0.540565
0.298307,0.546708
0.743724,0.392383
0.693520,0.637384
0.704028,0.544003
0.677175,0.580143
0.230590,0.337151
0.423818,0.450688
0.230590,0.430676
0.441915,0.353033
0.674839,0.581102
0.856392,0.857919
0.667834,0.645807
0.683596,0.638807
0.806188,0.649606
0.565674,0.521130
0.695855,0.567914
0.638062,0.460506
0.643316,0.741612
0.545242,0.440269
0.496205,0.481371
0.259194,0.499478
0.239930,0.315659
0.476941,0.498756
0.603327,0.598117
0.614127,0.581530
0.650321,0.634088
0.746643,0.689310
0.673672,0.672568
0.254524,0.489048
0.233508,0.324593
0.169877,0.367991
0.330414,0.397680
0.499124,0.384366
0.450671,0.439409
0.258027,0.403428
0.359603,0.292460
0.148862,0.328496
0.327496,0.223473
0.404845,0.288416
0.350846,0.476347
0.624051,0.407496
0.461763,0.455674
0.131932,0.356920
0.260946,0.315901
0.426153,0.315546
0.439580,0.454594
0.377700,0.446925
0.549912,0.500954
0.702277,0.540793
0.551664,0.652494
0.718039,0.569985
0.531816,0.548547
0.422650,0.489508
0.522475,0.484213
0.578517,0.512246
0.528897,0.498298
0.325161,0.403453
0.364857,0.414857
0.399883,0.313855
0.604203,0.482049
0.585522,0.444920
0.754816,0.682696
0.721541,0.653933
0.607706,0.557581
0.706363,0.570176
0.371862,0.568926
0.200234,0.453030
0.230590,0.375838
0.388208,0.407679
0.615879,0.437915
0.343841,0.340735
0.537653,0.422042
0.416229,0.388260
0.459428,0.483845
0.350846,0.425738
0.444250,0.366538
0.371278,0.490337
0.323993,0.327888
0.485698,0.324486
0.349679,0.349315
0.207239,0.294609
0.196147,0.301277
0.193812,0.317133
0.126095,0.328233
0.144191,0.174220
0.405137,0.310147
0.378867,0.329756
0.346760,0.395248
0.309982,0.327911
0.267951,0.292356
0.119089,0.303448
0.147694,0.206249
0.393462,0.280849
0.353182,0.381751
0.169877,0.353845
0.074723,0.214203
0.114419,0.193697
0.365441,0.239010
0.161705,0.351986
0.231757,0.271638
0.274956,0.290428
0.117922,0.255852
0.095738,0.174419
0.173380,0.145665
0.166375,0.261674
0.112084,0.190679
0.133100,0.166654
0.173380,0.241137
0.227087,0.213087
0.133684,0.168998
0.169877,0.137002
0.239930,0.184713
0.159370,0.237845
0.255108,0.164397
0.092820,0.211227
0.273789,0.177460
0.217747,0.186097
0.118506,0.174679
0.058961,0.167764
0.119673,0.148767
0.235844,0.162863
0.130765,0.169875
0.169294,0.181553
0.253940,0.185952
0.120257,0.174274
0.033275,0.135994
0.021600,0.132342
0.188558,0.162661
0.220082,0.188078
0.350555,0.179411
0.398132,0.255409
0.044367,0.241127
0.018681,0.107210
0.037945,0.084483
0.168126,0.175181
0.244600,0.216635
0.387040,0.231016
0.190309,0.268148
0.249854,0.162539
0.353182,0.219319
0.230590,0.197024
0.080138,0.205475
0.397971,0.139043
0.297723,0.285213
0.215995,0.247059
0.276124,0.236120
0.283713,0.219076
0.238762,0.256055
0.137770,0.200326
0.078225,0.183553
0.056042,0.205306
0.206655,0.150581
0.241681,0.201082
0.217163,0.214811
0.255108,0.234712
0.263281,0.241141
0.205487,0.187203
0.177466,0.226526
0.214244,0.212158
0.391127,0.220633
0.316988,0.292280
0.192061,0.245019
0.190309,0.202397
0.231757,0.197017
0.287215,0.199565
0.255108,0.221182
0.324577,0.268411
0.200234,0.279230
0.135435,0.193491
0.262697,0.172866
0.253940,0.258026
0.415061,0.259186
0.139201,0.304838
0.266520,0.189394
0.325161,0.268948
0.321074,0.296336
0.274372,0.288362
0.277291,0.244541
0.195563,0.208499
0.307647,0.197915
0.226503,0.317816
0.334501,0.273241
0.300058,0.329741
0.359603,0.238380
0.130765,0.320565
0.208406,0.202097
0.364273,0.266759
0.198482,0.289008
0.143608,0.253269
0.041448,0.201026
0.242849,0.200584
0.347344,0.231561
0.413894,0.301929
0.448920,0.325286
0.214244,0.359580
0.140105,0.181363
0.217163,0.188262
0.069469,0.265152
0.259194,0.252391
0.386457,0.243650
0.325161,0.331430
0.441331,0.348251
0.520140,0.433428
0.418564,0.399608
0.329247,0.328269
0.138938,0.198683
0.137770,0.227674
0.367192,0.270149
0.433742,0.349203
0.470520,0.384218
0.231173,0.400210
0.257443,0.294938
0.521308,0.359983
0.627554,0.501384
0.769410,0.565688
0.483946,0.524692
0.380035,0.412097
0.098657,0.385366
0.215412,0.306034
0.457093,0.381543
0.486281,0.510247
0.462347,0.530050
0.576766,0.397360
0.610625,0.591617
0.415645,0.626009
0.602452,0.429065
0.687099,0.495265
0.132516,0.177227
0.107998,0.303560
0.479276,0.328399
0.403970,0.344456
0.490368,0.311604
0.331582,0.297872
0.464098,0.402219
0.543491,0.584416
0.593695,0.517939
0.562172,0.618750
0.576766,0.509873
0.311150,0.371736
0.441915,0.341018
0.224168,0.409167
0.281961,0.281875
0.475190,0.426689
0.370695,0.429849
0.315820,0.407599
0.234092,0.404681
0.068301,0.240937
0.113835,0.167500
0.313485,0.209103
0.184764,0.212134
0.152072,0.192594
0.239346,0.232145
0.288967,0.235519
0.317572,0.336961
0.396964,0.315617
0.584355,0.364071
0.269702,0.441804
0.376532,0.292433
0.128430,0.293102
0.356100,0.245441
0.364857,0.321749
0.140105,0.280096
0.059253,0.184210
0.349095,0.206418
0.460595,0.397835
0.237595,0.301351
0.207239,0.275756
0.388792,0.236299
0.476357,0.355687
0.457093,0.409666
0.212493,0.297560
0.401635,0.289629
0.539988,0.362654
0.540572,0.515314
0.593695,0.470428
0.591944,0.531706
0.280210,0.410162
0.055458,0.285376
0.218330,0.261275
0.412726,0.371981
0.383538,0.358501
0.494454,0.439581
0.217747,0.455967
0.245184,0.373973
0.453006,0.371198
0.558085,0.375174
0.481027,0.429711
0.229422,0.189798
0.368360,0.308265
0.485698,0.386914
0.608290,0.446492
0.632224,0.493402
0.414478,0.469144
0.215995,0.230365
0.412726,0.349191
0.284297,0.489496
0.414478,0.408366
0.532399,0.458563
0.453590,0.451007
0.465266,0.449618
0.598365,0.587994
0.424402,0.449533
0.328663,0.452010
0.233508,0.335397
0.327496,0.230025
0.485698,0.244087
0.219498,0.410478
0.359019,0.279716
0.463514,0.372735
0.556918,0.420014
0.706363,0.658680
0.721541,0.566751
0.552831,0.682340
0.588441,0.469413
0.529480,0.530329
0.048453,0.488885
0.326328,0.317822
0.602452,0.452851
0.613543,0.533756
0.149445,0.437978
0.308231,0.297109
0.682428,0.432371
0.409224,0.493751
0.336836,0.465524
0.282545,0.418489
0.279626,0.334517
0.393462,0.342088
0.367776,0.370260
0.346760,0.369486
0.225336,0.169935
0.245768,0.288002
0.506130,0.299398
0.421483,0.434772
0.152948,0.286557
0.170461,0.283524
0.444834,0.251224
0.221833,0.374919
0.466433,0.311665
0.442499,0.493535
0.094571,0.434552
0.431407,0.302581
0.579101,0.441082
0.684764,0.550065
0.656743,0.584002
0.284297,0.282708
0.081728,0.156435
0.262113,0.318076
0.286048,0.371586
0.342090,0.469184
0.483363,0.420082
0.559837,0.446597
0.720957,0.714995
0.987741,0.787677
0.294804,0.647011
0.472271,0.347666
0.688850,0.392922
0.751897,0.573260
0.393462,0.492149
0.167834,0.463014
0.457677,0.488516
0.586690,0.582720
0.655575,0.517663
0.668418,0.690477
0.633975,0.690025
0.373614,0.561949
0.541156,0.377450
0.446585,0.424130
0.157034,0.369430
0.129013,0.428946
0.355517,0.328648
0.119673,0.292257
0.176883,0.213736
0.359019,0.284575
0.213076,0.394674
0.259778,0.284071
0.633975,0.295086
0.551664,0.561514
0.671921,0.423107
0.322825,0.461621
0.067717,0.291407
0.189726,0.288390
0.387040,0.301763
0.518389,0.508926
0.398716,0.534225
0.535318,0.452014
0.233508,0.373592
0.224168,0.292672
0.421483,0.339460
0.577350,0.422376
0.499708,0.473175
0.395213,0.432288
0.511967,0.379774
0.395797,0.446275
0.475190,0.412798
0.495038,0.418980
0.357852,0.505608
0.364857,0.390446
0.504378,0.426743
0.430239,0.512039
0.181553,0.333054
0.180385,0.331482
0.279043,0.302375
0.489200,0.311015
0.550496,0.403327
0.475773,0.476795
0.312318,0.443820
0.336836,0.355582
0.197315,0.460077
0.100992,0.251562
0.223584,0.286435
0.230590,0.355854
0.393462,0.325045
0.431407,0.380236
0.362522,0.391114
0.415645,0.367659
0.275540,0.342349
0.299475,0.272069
0.404553,0.288812
0.499708,0.422588
0.500292,0.461313
0.374197,0.422714
0.481027,0.363443
0.510800,0.527211
0.566258,0.541163
0.503211,0.564068
0.618797,0.533405
0.407472,0.574677
0.247519,0.468189
0.556334,0.381824
0.370695,0.363022
0.098657,0.264563
0.508465,0.272500
0.407472,0.414320
0.184472,0.293198
0.158786,0.243527
0.347344,0.279231
0.249854,0.285274
0.377700,0.356010
0.264448,0.336577
0.201401,0.279688
0.199650,0.231005
0.115003,0.268968
0.265616,0.256361
0.360187,0.305709
0.277875,0.378355
0.072971,0.262663
0.108581,0.200797
0.338587,0.237763
0.115003,0.305106
0.423234,0.179611
0.302977,0.337363
0.326328,0.277029
0.227087,0.315133
0.072971,0.200961
0.096906,0.215089
0.228255,0.157157
0.308231,0.239501
0.254524,0.273145
0.185639,0.293096
0.154699,0.203646
0.269119,0.108445
0.295388,0.233100
0.251022,0.281964
0.248687,0.208752
0.260946,0.259446
0.069177,0.232156
0.042032,0.196426
0.168710,0.162134
0.243433,0.222532
0.005254,0.230762
0.115003,0.167044
0.308815,0.199943
0.191477,0.180475
0.000000,0.134666
0.027437,0.130659
0.276124,0.180353
0.102160,0.228088
0.183888,0.159609
0.338587,0.226252
0.457093,0.251652
0.371862,0.278565
0.297723,0.205372
0.207239,0.252356
0.131932,0.190446
0.239930,0.103249
0.199066,0.220595
0.260946,0.269715
0.165207,0.220886
0.208406,0.154255
0.130765,0.186932
0.110333,0.208029
0.086398,0.177011
0.078809,0.109618
0.144775,0.175985
0.250438,0.209297
0.329831,0.205963
0.210158,0.241638
0.102744,0.206378
0.207823,0.146737
0.399883,0.209781
