REAL,ESTIMATE
0.217747,0.311536
0.308523,0.246976
0.300642,0.276098
0.248103,0.256119
0.107998,0.265868
0.154699,0.198128
0.176883,0.241934
0.263281,0.223651
0.489200,0.249196
0.380619,0.310020
0.303561,0.271016
0.228838,0.249666
0.098657,0.224938
0.067134,0.188144
0.071038,0.169134
0.217929,0.231721
0.479276,0.250664
0.329831,0.308910
0.248687,0.275945
0.223584,0.237607
0.183662,0.245925
0.457319,0.210774
0.233508,0.346841
0.366608,0.284266
0.312318,0.310519
0.008173,0.242941
0.122592,0.174794
0.096322,0.203357
0.141273,0.236740
0.278459,0.236547
0.352598,0.263066
0.268535,0.271384
0.165791,0.214911
0.321074,0.177059
0.254524,0.225324
0.149445,0.241669
0.067717,0.204630
0.215995,0.225108
0.347344,0.241329
0.316988,0.268819
0.391710,0.280735
0.399883,0.284970
0.443082,0.366884
0.373614,0.413940
0.337420,0.312695
0.364857,0.324624
0.263281,0.288345
0.196731,0.282189
0.043783,0.250956
0.127846,0.198068
0.143024,0.230644
0.197315,0.222290
0.204904,0.234335
0.259194,0.194866
0.440163,0.235815
0.486865,0.282220
0.590193,0.331624
0.438412,0.352081
0.157034,0.340308
0.262113,0.235671
0.238179,0.303310
0.219498,0.338630
0.411559,0.323880
0.618214,0.389739
0.612960,0.507135
0.716287,0.631047
0.645651,0.560621
0.559253,0.460245
0.580269,0.467971
0.674839,0.428341
0.596030,0.529187
0.388208,0.460895
0.475773,0.414599
0.389959,0.457078
0.261529,0.441356
0.342674,0.383930
0.193812,0.444306
0.307064,0.344166
0.280794,0.339631
0.168126,0.276406
0.408056,0.216483
0.471687,0.329802
0.580852,0.354902
0.694688,0.446109
0.780502,0.509938
0.789842,0.572592
0.263865,0.552955
0.157034,0.366949
0.094571,0.336371
0.293637,0.335318
0.415645,0.463232
0.431407,0.459127
0.277875,0.422735
0.298307,0.325960
0.374781,0.405676
0.416813,0.285596
0.339171,0.347182
0.332750,0.320291
0.142440,0.350496
0.237595,0.187901
0.384705,0.214278
0.464098,0.320690
0.257443,0.389228
0.164623,0.297781
0.198482,0.279100
0.234092,0.269503
0.126095,0.302786
0.266783,0.210002
0.423818,0.257612
0.337420,0.328969
0.447752,0.385048
0.490368,0.359296
0.465849,0.393162
0.175131,0.447247
0.296556,0.231188
0.424985,0.344367
0.403970,0.397947
0.573847,0.391051
0.865149,0.442706
0.684764,0.596495
0.564507,1.015388
0.214828,0.465871
0.375365,0.330884
0.512551,0.384933
0.493870,0.448246
0.371278,0.508534
0.122592,0.376843
0.165791,0.242482
0.447752,0.300152
0.486865,0.393214
0.486865,0.419075
0.481611,0.511668
0.431991,0.455854
0.566258,0.353757
0.469936,0.457290
0.326328,0.394760
0.408640,0.379114
0.195563,0.387139
0.339755,0.323487
0.626970,0.411477
0.513135,0.533634
0.462931,0.407010
