E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.667761,0.583689,0.098310,0.080784
11,2,0.8,6,0.679251,0.608633,0.096595,0.078327
11,2,0.8,7,0.693295,0.610843,0.094457,0.078105
11,2,0.8,8,0.690556,0.605786,0.094878,0.078611
11,2,0.8,9,0.699077,0.564184,0.093562,0.082655
11,2,0.8,10,0.709919,0.584074,0.091861,0.080747
11,2,0.8,11,0.719446,0.567091,0.090340,0.082379
11,2,0.8,12,0.725772,0.569519,0.089316,0.082148
11,2,0.8,13,0.738281,0.538348,0.087255,0.085070
11,2,0.8,14,0.741537,0.491595,0.086711,0.089274
11,2,0.8,15,0.748622,0.505580,0.085514,0.088037
