REAL,ESTIMATE
0.424426,0.314467
0.347944,0.342137
0.441354,0.359345
0.562273,0.349026
0.528416,0.478755
0.409311,0.416212
0.363966,0.392649
0.351270,0.361031
0.145707,0.383771
0.183192,0.337804
0.410520,0.301973
0.420798,0.351280
0.394196,0.343061
0.230955,0.415183
0.297574,0.313465
0.419476,0.384449
0.186518,0.368129
0.434099,0.297301
0.515115,0.367090
0.541112,0.383217
0.467605,0.457111
0.247026,0.416108
0.279927,0.374790
0.218259,0.323497
0.186215,0.240376
0.353083,0.337357
0.266022,0.370177
0.300484,0.315734
0.284764,0.377028
0.221282,0.316025
0.191657,0.428394
0.169891,0.293509
0.259976,0.265457
0.203748,0.303307
0.224305,0.229810
0.279927,0.264658
0.302297,0.273291
0.281741,0.270834
0.184401,0.279226
0.279927,0.258603
0.266626,0.289653
0.305320,0.279712
0.161427,0.296837
0.212213,0.234777
0.320435,0.281340
0.237606,0.281996
0.215840,0.288113
0.262394,0.265083
0.330713,0.289222
0.272068,0.291289
0.198307,0.278441
0.226119,0.254744
0.325272,0.259803
0.210399,0.304862
0.120314,0.248373
0.140266,0.245894
0.116082,0.225560
0.178356,0.191857
0.261790,0.226100
0.187424,0.247548
0.129383,0.225279
0.125151,0.216783
0.137848,0.192705
0.082225,0.189163
0.180169,0.153798
0.136034,0.211308
0.149940,0.154461
0.208585,0.142087
0.209190,0.173295
0.147521,0.216468
0.170496,0.176103
0.177146,0.187542
0.111850,0.174858
0.161427,0.164047
0.240629,0.165314
0.130593,0.199794
0.227328,0.156626
0.159008,0.196682
0.172914,0.177124
0.181378,0.201297
0.078597,0.176049
0.045345,0.158277
0.080411,0.121784
0.086457,0.129535
0.057437,0.126508
0.023579,0.127273
0.257557,0.089779
0.240024,0.188792
0.271463,0.155068
0.110036,0.191473
0.058041,0.129436
0.058646,0.131348
0.159008,0.107525
0.134220,0.165710
0.098549,0.118628
0.056832,0.144907
0.031439,0.096760
0.118501,0.128235
0.210399,0.124521
0.108827,0.186839
0.058646,0.150137
0.079202,0.097690
0.138452,0.072072
0.182588,0.112026
0.137243,0.135607
0.137243,0.135844
0.237001,0.113491
0.163241,0.174536
0.059855,0.153951
0.041717,0.145514
0.056832,0.125510
0.028416,0.113611
0.053204,0.089387
0.149335,0.093919
0.127570,0.129348
0.124547,0.130130
0.101572,0.120457
0.016929,0.107071
0.014510,0.092525
0.018742,0.105525
0.006651,0.089314
0.191959,0.044950
0.142684,0.078961
0.051391,0.098958
0.008464,0.094924
0.095526,0.064746
0.211608,0.118422
0.136034,0.142853
0.006651,0.113707
0.026602,0.070664
0.021765,0.064707
0.010278,0.075280
0.036276,0.094166
0.017533,0.090351
0.069528,0.099084
0.140871,0.090559
0.098549,0.079573
0.164752,0.092118
0.097340,0.118785
0.008464,0.115478
0.004837,0.070974
0.004232,0.029881
