REAL,ESTIMATE
0.250907,0.130836
0.102781,0.145014
0.089480,0.127485
0.181378,0.121602
0.045949,0.166133
0.024788,0.111663
0.004837,0.058474
0.061064,0.097166
0.226119,0.124405
0.032648,0.113276
0.093108,0.033154
0.041717,0.102946
0.117291,0.063552
0.170496,0.151888
0.111245,0.121870
0.137243,0.088908
0.284160,0.112587
0.356106,0.182948
0.180169,0.194950
0.105804,0.174762
0.308948,0.179897
0.314994,0.240480
0.327086,0.227976
0.349456,0.250292
0.292019,0.281681
0.191657,0.267263
0.265417,0.232099
0.336759,0.247120
0.155381,0.265238
0.132406,0.227786
0.350060,0.245672
0.426844,0.268509
0.178356,0.295202
0.155381,0.240665
0.207376,0.252459
0.183192,0.267646
0.213422,0.230342
0.131197,0.226033
0.075574,0.215190
0.211004,0.156629
0.186820,0.189809
0.333132,0.306913
0.109432,0.270764
0.441959,0.187078
0.204353,0.363239
0.234583,0.215146
0.467352,0.271334
0.363966,0.302326
0.416566,0.297350
0.201330,0.347209
0.362757,0.317192
0.237606,0.312390
0.153567,0.218280
0.036276,0.262631
0.535067,0.233655
0.421403,0.363613
0.400242,0.284055
0.576179,0.391536
0.343410,0.429804
0.367594,0.320084
0.254534,0.385885
0.308343,0.251387
0.322249,0.302567
0.256953,0.308817
0.483071,0.456060
0.360339,0.398982
0.365175,0.297898
0.238815,0.374849
0.231560,0.250933
0.628174,0.345278
0.273277,0.463724
0.519347,0.245033
0.174123,0.189981
0.264813,0.295190
0.319831,0.301309
0.221282,0.298429
0.441354,0.254987
0.285369,0.390518
0.444377,0.351332
0.457074,0.367974
0.296856,0.383153
0.136638,0.297146
0.298670,0.339617
0.336759,0.303481
0.102781,0.136698
0.405079,0.382473
0.357316,0.375488
0.305320,0.258481
0.215236,0.311934
0.409311,0.354813
0.444377,0.343858
0.550181,0.380737
0.659008,0.446791
0.510278,0.494340
0.393289,0.433508
0.543531,0.437803
0.481258,0.440430
0.450423,0.358089
0.387545,0.431898
0.360943,0.409023
0.406892,0.398755
0.672310,0.357440
0.495768,0.573379
0.475212,0.468229
0.513301,0.532455
0.477630,0.507550
0.403265,0.444751
0.570133,0.429013
0.444377,0.527469
0.496977,0.412328
0.489117,0.540554
0.300484,0.475302
0.480653,0.521561
0.759976,0.671578
0.634825,0.582673
0.766022,0.547982
0.908706,0.738018
0.582830,0.759416
0.403869,0.522046
0.409915,0.507329
0.545345,0.418975
0.383918,0.409178
0.528416,0.441480
0.472793,0.547363
0.539299,0.458030
0.462515,0.507042
0.509069,0.439270
0.548368,0.462971
0.640871,0.634475
0.942563,0.841598
1.000000,0.767163
0.805925,0.759877
0.558646,0.721831
0.758767,0.611046
0.642080,0.568944
0.341596,0.479671
0.461306,0.419745
0.707376,0.521772
0.652963,0.516332
0.535671,0.554455
0.453446,0.555506
0.633011,0.473410
0.422007,0.536930
0.490931,0.554999
0.310157,0.529371
0.483071,0.448900
0.558646,0.553102
0.677146,0.551000
0.772672,0.580795
0.435913,0.681948
0.689843,0.527666
0.788996,0.660037
0.633011,0.592687
0.579807,0.531435
0.565901,0.658563
0.516929,0.552811
0.304716,0.491975
0.351874,0.376291
0.542926,0.400253
0.545949,0.405184
0.435308,0.539969
0.822249,0.765609
0.742443,0.694604
0.529021,0.639224
0.696493,0.600731
0.764813,0.673446
0.515115,0.570846
0.585852,0.539034
0.435913,0.638136
0.481862,0.416308
0.718863,0.467220
0.457678,0.616627
0.173519,0.408196
0.454655,0.362974
0.908706,0.898744
0.822249,0.568484
0.585248,0.670434
0.776904,0.704914
0.764208,0.761704
0.561669,0.586901
0.425635,0.540800
0.417775,0.461855
0.313180,0.444466
0.526602,0.398309
0.347037,0.507235
0.077388,0.356517
0.140266,0.259584
0.296252,0.262363
0.210399,0.272923
0.693470,0.682325
0.912334,0.670339
0.524788,0.742765
0.640871,0.612822
0.383313,0.402661
0.140266,0.179670
0.240629,0.215755
0.265417,0.306086
0.253325,0.283391
0.181378,0.311714
0.384522,0.328806
0.351874,0.294284
0.146917,0.236296
0.407497,0.368675
0.582225,0.440782
0.385127,0.439151
0.356106,0.414232
0.605200,0.428360
0.195284,0.233870
0.321040,0.252553
0.311366,0.405982
0.336155,0.279549
0.180774,0.289961
0.324542,0.329755
0.100488,0.317263
0.194680,0.263000
0.160822,0.274921
0.474607,0.240953
0.423821,0.440377
0.389964,0.292560
0.337364,0.407596
0.463120,0.303221
0.310762,0.397424
0.337969,0.292349
0.296252,0.343915
0.307739,0.272724
0.244861,0.316282
0.345828,0.347694
0.249093,0.330168
0.227932,0.229841
0.325272,0.270936
0.269045,0.292417
0.400242,0.417750
0.431681,0.357970
0.402056,0.340671
0.381499,0.350751
0.327086,0.347984
0.311971,0.315670
0.216445,0.309750
0.250907,0.293445
0.285973,0.252383
0.351270,0.288286
0.289601,0.314412
0.116082,0.295021
0.285271,0.239380
0.422105,0.342960
0.229746,0.322883
0.203748,0.301349
0.251511,0.302943
0.259976,0.229187
0.211608,0.266885
0.217654,0.237390
0.192261,0.264591
0.247279,0.225571
0.199516,0.237953
0.099758,0.253092
0.197098,0.219803
0.208585,0.236038
0.100967,0.199059
0.311366,0.262341
0.236397,0.232080
0.409311,0.393718
0.267836,0.319591
0.189843,0.230839
0.180774,0.253280
0.226723,0.209114
0.287183,0.224709
0.360339,0.239649
0.295042,0.287597
0.341596,0.243868
0.212817,0.298768
0.204353,0.214558
0.230351,0.282161
0.114873,0.225031
0.077993,0.181983
0.188029,0.180928
0.130593,0.199467
0.237606,0.236760
0.279927,0.208165
0.100967,0.268741
0.100967,0.239645
0.104595,0.166962
0.206167,0.234276
0.265417,0.256197
0.084039,0.156549
0.065901,0.131989
0.029625,0.114342
0.130593,0.101290
0.238815,0.260878
0.448005,0.252057
0.240024,0.265904
0.071947,0.176957
0.104595,0.151794
0.167473,0.139536
0.045949,0.175221
0.016324,0.136995
0.196493,0.141990
0.100363,0.125154
0.065901,0.097116
0.310157,0.106724
0.299879,0.207450
0.091294,0.206834
0.112455,0.177970
0.089480,0.133947
0.175333,0.135284
0.077993,0.151752
0.080411,0.136710
0.070738,0.133907
0.087666,0.079008
0.045345,0.130287
0.137848,0.112800
0.021161,0.137034
0.271463,0.092007
0.252116,0.202166
0.029021,0.072581
0.048972,0.088789
0.083434,0.086443
0.118501,0.141019
0.285369,0.129999
0.209794,0.154879
0.093108,0.150986
0.189541,0.131630
0.204353,0.165657
0.152358,0.180482
0.087062,0.162946
0.124547,0.139106
0.102177,0.167748
0.006651,0.095289
0.136034,0.075250
0.093108,0.172977
0.200121,0.224118
0.043531,0.166934
0.021161,0.091667
0.188634,0.084382
