E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,2,0.8,5,0.598071,0.516646,0.034989,0.026426
10,2,0.8,6,0.625404,0.398499,0.033778,0.029480
10,2,0.8,7,0.683162,0.450817,0.031065,0.028168
10,2,0.8,8,0.687243,0.440907,0.030864,0.028421
10,2,0.8,9,0.560377,0.481344,0.036592,0.027374
10,2,0.8,10,0.411546,0.459034,0.042336,0.027957
10,2,0.8,11,0.666848,0.442633,0.031855,0.028378
10,2,0.8,12,0.690833,0.382880,0.030687,0.029860
10,2,0.8,13,0.715718,0.211005,0.029426,0.033763
10,2,0.8,14,0.695086,0.236415,0.030475,0.033215
10,2,0.8,15,0.768219,0.123438,0.026570,0.035587
