REAL,ESTIMATE
0.101511,0.091256
0.171058,0.125812
0.184117,0.132528
0.108192,0.138004
0.110318,0.108070
0.088907,0.101558
0.060208,0.086377
0.069091,0.084676
0.060436,0.080558
0.079341,0.078772
0.075393,0.121011
0.036899,0.080750
0.033141,0.058242
0.027788,0.059390
0.094981,0.057600
0.049806,0.098320
0.073647,0.070245
0.086554,0.078074
0.017614,0.072721
0.009491,0.055313
0.021411,0.053538
0.030446,0.065000
0.024258,0.052438
0.032040,0.044177
0.028927,0.050024
0.023916,0.043112
0.051401,0.039167
0.113507,0.048406
0.138486,0.072985
0.027333,0.083116
0.044871,0.038385
0.123985,0.050754
0.133931,0.084462
0.151393,0.094513
0.171665,0.158857
0.269607,0.248929
0.300129,0.259760
0.236808,0.245165
0.199301,0.199237
0.191254,0.189075
0.169539,0.082187
0.041758,0.076844
0.101587,0.059045
0.134158,0.083451
0.055804,0.066879
0.056640,0.046376
0.044492,0.050615
0.068863,0.052960
0.053982,0.038055
0.059563,0.041120
0.080404,0.069686
0.070610,0.063119
0.063701,0.059966
0.101739,0.070245
0.165363,0.109612
0.155493,0.130520
0.108040,0.124060
0.235442,0.110905
0.198239,0.227452
0.090198,0.167792
0.048288,0.079178
0.088832,0.085377
0.126262,0.094424
0.096196,0.100696
0.080708,0.089846
0.105687,0.090543
0.139929,0.076757
0.179182,0.155108
0.088376,0.065532
0.055273,0.089758
0.097335,0.073052
0.110470,0.106494
0.100144,0.101085
0.084959,0.121080
0.030218,0.113465
0.065902,0.060578
0.061271,0.074025
0.104396,0.081367
0.070913,0.102774
0.118214,0.068812
0.103789,0.167974
0.117986,0.099388
0.125807,0.104458
0.124364,0.102674
0.109331,0.115964
0.124706,0.115902
0.263306,0.154379
0.150938,0.165957
0.099992,0.110469
0.066662,0.091514
0.065143,0.088431
0.086174,0.067053
0.087161,0.098740
0.126034,0.086805
0.175993,0.111015
0.110242,0.171171
0.090654,0.115787
0.038418,0.070887
0.013211,0.078126
0.012907,0.051527
0.031585,0.061883
0.077063,0.065025
0.120872,0.079692
0.040012,0.080475
0.057247,0.058233
0.055501,0.064080
0.061119,0.062225
0.067952,0.064211
0.050338,0.067291
0.066662,0.064515
0.046390,0.063730
0.041151,0.056810
0.056032,0.065310
0.141599,0.069655
0.129679,0.100787
0.073115,0.097067
0.080100,0.074866
0.083517,0.066366
0.077747,0.071695
0.096500,0.071934
0.122922,0.124308
0.091565,0.118054
0.070762,0.085125
0.106674,0.075045
0.107053,0.098580
0.082378,0.097377
0.124516,0.096171
0.234834,0.197711
0.278946,0.235412
0.198922,0.227357
0.118480,0.121746
0.186622,0.183216
0.153291,0.157868
0.127249,0.139832
0.035684,0.115325
0.028623,0.078549
0.025435,0.053236
0.041455,0.038891
0.055349,0.063242
0.048895,0.068274
0.058234,0.048230
0.043353,0.043849
0.025662,0.046416
0.033331,0.049714
0.082909,0.053570
0.052008,0.072897
0.060891,0.064994
0.051856,0.068474
0.085567,0.069098
0.075469,0.076196
0.083061,0.071578
0.081011,0.081234
0.033635,0.070923
0.029914,0.048637
0.044568,0.046780
0.059297,0.056776
0.073267,0.059609
0.077595,0.067260
0.056791,0.071683
0.053603,0.059613
0.046086,0.058368
0.052008,0.055012
0.075165,0.058517
0.091337,0.070732
0.031660,0.075941
0.024751,0.052433
0.044188,0.050539
0.034622,0.057158
0.047301,0.053755
0.046010,0.055778
0.025435,0.054973
0.040771,0.041467
0.089515,0.045733
0.111001,0.069079
0.087845,0.081529
0.113659,0.073690
0.129147,0.093354
0.073647,0.073735
0.029155,0.071434
0.017614,0.058761
0.068863,0.055134
0.084580,0.064669
0.088756,0.069158
0.026194,0.085797
0.021259,0.044689
0.011616,0.041978
0.022550,0.036748
0.045479,0.048828
0.117303,0.051161
0.090426,0.073093
0.048516,0.058771
0.038266,0.056371
0.043049,0.058166
0.019968,0.060013
0.014274,0.046362
0.006985,0.049815
0.012679,0.037975
0.071673,0.034636
0.077443,0.048521
0.047567,0.061475
0.024220,0.047202
0.027029,0.036436
0.011237,0.035655
0.035381,0.033890
0.089667,0.043422
0.114950,0.061023
0.035836,0.070132
0.041910,0.043069
0.062030,0.051234
0.046466,0.053944
0.010478,0.046442
0.014388,0.038479
0.043960,0.039807
0.013439,0.040658
0.098778,0.033045
0.130590,0.066632
0.096804,0.081495
0.063549,0.070597
0.012679,0.052239
0.006833,0.041798
0.024599,0.037731
0.032192,0.043499
0.026270,0.053130
0.030825,0.044341
0.037469,0.039161
0.026725,0.040301
0.004252,0.038755
0.018450,0.033841
0.038835,0.032761
0.057247,0.035564
0.066434,0.039544
0.070306,0.052900
0.066813,0.052505
0.037355,0.053964
0.052008,0.047924
0.042821,0.051997
0.024827,0.046431
0.016248,0.037656
0.049351,0.034793
0.051705,0.047169
0.067649,0.046376
0.026867,0.054607
0.048829,0.039270
0.041758,0.048983
0.048971,0.040514
0.046466,0.049046
0.039670,0.047363
0.023840,0.050088
0.027409,0.039785
0.031585,0.047062
0.052540,0.044647
0.075469,0.053071
0.082150,0.052274
0.027712,0.062903
0.042897,0.040252
0.054362,0.049201
0.038342,0.047968
0.029762,0.051678
0.025814,0.044196
0.037658,0.046674
0.047984,0.042420
0.056640,0.048661
0.065599,0.053214
0.063625,0.056415
0.050110,0.051270
0.050793,0.048548
0.034925,0.051847
0.043505,0.047483
0.058196,0.049782
0.059069,0.056514
0.057095,0.057924
0.067952,0.057084
0.103105,0.059972
0.052995,0.079357
0.010174,0.057033
0.020879,0.042147
0.041455,0.043769
0.063397,0.047697
0.083972,0.057338
0.062486,0.071196
0.065143,0.059838
0.096880,0.059610
0.090274,0.078249
0.100828,0.075890
0.066434,0.091798
0.057095,0.066502
0.093767,0.062501
0.057703,0.084170
0.052692,0.069601
0.055425,0.069187
0.095741,0.065012
0.100676,0.085452
0.109939,0.087793
0.100904,0.099894
0.097183,0.087586
0.119657,0.087738
0.068104,0.108261
0.139473,0.085460
0.052995,0.116755
0.058614,0.069449
0.071824,0.077961
0.052388,0.078794
0.069471,0.074536
0.093918,0.071741
0.108306,0.089294
0.094754,0.100599
0.064688,0.084639
0.086782,0.072434
0.110698,0.078170
0.038873,0.103690
0.043429,0.070806
0.078961,0.075343
0.039633,0.084898
0.024524,0.058851
0.015944,0.062461
0.059411,0.053038
0.138486,0.063153
0.036292,0.094506
0.065751,0.055255
0.041986,0.066857
0.049958,0.048829
0.067041,0.056624
0.064308,0.071572
0.082985,0.081020
0.093311,0.066991
0.077215,0.069583
0.067497,0.073151
0.041531,0.072742
0.053375,0.054828
0.070154,0.055920
0.045479,0.067535
0.024751,0.054363
0.050110,0.046778
0.061195,0.055010
0.036596,0.058446
0.028851,0.058062
0.046656,0.048154
0.067421,0.053105
0.089515,0.056894
0.039253,0.070642
0.062562,0.057813
0.088680,0.063145
0.087389,0.068016
0.186546,0.079276
0.206059,0.135610
0.061878,0.159865
0.108951,0.059076
0.043657,0.092440
0.064915,0.060842
0.060664,0.069533
0.122922,0.066210
0.060284,0.113820
0.051059,0.056652
0.083289,0.053014
0.093311,0.065967
0.063093,0.075716
0.067800,0.062168
0.071900,0.078177
0.092324,0.065349
0.108724,0.095289
0.095968,0.097779
0.132184,0.101960
0.054210,0.110590
0.053223,0.075176
0.101055,0.070790
0.079341,0.102076
0.095019,0.078162
0.071369,0.091657
0.072736,0.080056
0.102726,0.083554
0.097487,0.090665
0.060740,0.093861
0.085111,0.077178
0.077443,0.094456
0.089894,0.082270
0.058614,0.090278
0.070154,0.076752
0.059980,0.086217
0.069471,0.070107
0.106750,0.082231
0.139625,0.099758
0.160580,0.110826
0.097183,0.135538
0.084580,0.099267
0.158075,0.086357
0.064536,0.151502
0.161263,0.079873
0.147445,0.144969
0.055728,0.133915
0.047529,0.074077
0.098322,0.060121
0.128616,0.104714
0.063169,0.101897
0.107357,0.075724
0.103485,0.124745
0.113355,0.089783
0.084808,0.112122
0.032268,0.083519
0.382127,0.087630
1.000000,0.993149
