REAL,ESTIMATE
0.080480,0.045904
0.065902,0.059363
0.058310,0.056798
0.060512,0.055040
0.105459,0.055374
0.096386,0.085918
0.035684,0.081921
0.027561,0.060188
0.046542,0.049511
0.048895,0.050926
0.046693,0.050108
0.058158,0.057889
0.059297,0.063330
0.043011,0.056766
0.010402,0.049591
0.015223,0.038749
0.027864,0.040949
0.049275,0.042279
0.052388,0.052339
0.049199,0.057542
0.053906,0.054111
0.042332,0.055688
0.045665,0.051770
0.037355,0.051757
0.057399,0.047691
0.055121,0.050488
0.014805,0.048936
0.021411,0.035526
0.019816,0.040130
0.026042,0.038861
0.039405,0.039768
0.062638,0.042945
0.037886,0.051575
0.035457,0.034854
0.051173,0.037687
0.041682,0.047029
0.023081,0.045969
0.016400,0.037008
0.029383,0.035515
0.055577,0.038911
0.082074,0.047742
0.088983,0.064436
0.071141,0.069254
0.066434,0.053757
0.061119,0.052190
0.052236,0.046927
0.078810,0.047491
0.057019,0.065391
0.049579,0.057021
0.037658,0.051761
0.024524,0.049308
0.021031,0.044311
0.051059,0.040637
0.065826,0.054920
0.048895,0.056348
0.051249,0.048094
0.059828,0.049420
0.089667,0.058518
0.090426,0.074646
0.057171,0.078622
0.034773,0.065607
0.024296,0.049059
0.026649,0.042248
0.049768,0.048598
0.079721,0.058832
0.097031,0.074009
0.114798,0.077103
0.104624,0.086121
0.129375,0.080660
0.175158,0.103233
0.188444,0.106078
0.226558,0.077312
0.143117,0.074130
0.088907,0.119583
0.064004,0.074111
0.049806,0.070982
0.052312,0.064727
0.064232,0.069322
0.054969,0.068693
0.038266,0.059914
0.048060,0.047425
0.059297,0.056579
0.067497,0.060892
0.098018,0.072804
0.131653,0.114847
0.156860,0.147884
0.147521,0.127991
0.082378,0.122615
0.010174,0.089603
0.000000,0.054769
0.014881,0.049076
0.072887,0.052936
0.069015,0.077490
0.023157,0.070730
0.021107,0.046458
0.015033,0.039818
0.032723,0.038154
0.046314,0.044728
0.034090,0.050764
0.013173,0.043445
0.021790,0.035185
0.061195,0.042701
0.094298,0.065839
0.052236,0.084399
0.008579,0.058545
0.034849,0.031596
0.014236,0.034871
0.052995,0.023902
0.077671,0.049417
0.071824,0.062938
0.066510,0.057656
0.074406,0.048665
0.101207,0.055403
0.094830,0.068317
0.032647,0.076055
0.070002,0.040868
0.062144,0.064886
0.068863,0.050980
0.096044,0.064130
0.124136,0.086426
0.121403,0.121362
0.087996,0.090740
0.054286,0.100172
0.061119,0.053378
0.074634,0.065577
0.088300,0.068798
0.095285,0.092271
0.046390,0.094562
0.034014,0.065081
0.079265,0.057161
0.106826,0.081681
0.094070,0.088484
0.096196,0.092302
0.099081,0.101047
0.089363,0.096218
0.148356,0.082796
0.052312,0.113207
0.135449,0.076669
0.046162,0.096781
0.055425,0.068414
0.116544,0.070075
0.111609,0.100032
0.101511,0.100973
