REAL,ESTIMATE
0.534992,0.330956
0.491533,0.385110
0.356811,0.428933
0.808782,0.637291
0.539338,0.505601
0.443728,0.476087
0.469804,0.333371
0.352465,0.372352
0.248164,0.423429
0.391578,0.366774
0.295969,0.346816
0.352465,0.331995
0.330736,0.319892
0.235127,0.313613
0.182976,0.305814
0.148209,0.265575
0.182976,0.269462
0.191668,0.244174
0.417653,0.270986
0.356811,0.317189
0.130826,0.289730
0.035217,0.208135
0.043908,0.106298
0.100405,0.084384
0.069984,0.142205
0.135172,0.111247
0.135172,0.153182
0.096059,0.175414
0.200360,0.128375
0.456766,0.218398
0.678406,0.310029
0.161247,0.361864
0.152555,0.171364
0.461112,0.327595
0.469804,0.370187
0.591488,0.396361
0.626255,0.425374
0.982617,0.736194
0.904391,0.759253
0.695789,0.672338
0.656676,0.677316
0.639293,0.543926
0.661022,0.469205
0.196014,0.440395
0.608872,0.491969
0.778361,0.566271
0.300315,0.348534
0.330736,0.307711
0.274239,0.306465
0.361157,0.313079
0.256856,0.305788
0.269894,0.305945
0.565413,0.309019
0.374195,0.317417
0.239473,0.295544
0.256856,0.291782
0.569759,0.298818
0.617563,0.407693
0.361157,0.344392
0.335082,0.306582
0.278585,0.321741
0.222089,0.317579
0.217743,0.281037
0.491533,0.306988
0.634947,0.444689
0.487187,0.423961
0.339428,0.390050
0.391578,0.337218
0.548029,0.431213
0.539338,0.655664
0.291623,0.544232
0.148209,0.355205
0.256856,0.253565
0.287277,0.304342
0.343773,0.316154
0.309006,0.358400
0.143863,0.302531
0.174284,0.219552
0.191668,0.251071
0.517608,0.272198
0.343773,0.346311
0.287277,0.280561
0.322044,0.255244
0.374195,0.312721
0.365503,0.395928
0.278585,0.316472
0.348119,0.268795
0.374195,0.330909
0.652330,0.381202
0.408961,0.596890
0.191668,0.191321
0.126480,0.267118
0.204706,0.170919
0.304661,0.296624
0.293796,0.293641
0.548029,0.547945
0.513262,0.367832
0.322044,0.379793
0.339428,0.349774
0.130826,0.130662
0.048254,0.257150
0.048254,0.048001
0.109096,0.123423
0.300315,0.300071
0.309006,0.286791
0.148209,0.273615
0.265548,0.207816
0.117788,0.276947
0.239473,0.170069
0.200360,0.241626
0.056946,0.210828
0.143863,0.078007
0.056946,0.140272
0.061292,0.092528
0.196014,0.088582
0.495879,0.200479
0.634947,0.327262
0.174284,0.370442
0.361157,0.293748
0.387232,0.353747
0.265548,0.343877
0.330736,0.307016
0.178630,0.300727
0.126480,0.218518
0.200360,0.159069
0.196014,0.251061
0.230781,0.247427
0.152555,0.268755
0.165593,0.175609
0.465458,0.209361
0.313352,0.344641
0.465458,0.288062
0.404616,0.324649
0.378540,0.296664
0.269894,0.448967
0.161247,0.300502
0.065638,0.205910
0.030871,0.063025
0.017833,0.092353
0.043908,0.055126
0.165593,0.182053
0.161247,0.209772
0.117788,0.222713
0.083021,0.174188
0.035217,0.186982
0.043908,0.094503
0.074329,0.096810
0.165593,0.094237
0.187322,0.156631
0.161247,0.165533
0.239473,0.141116
0.100405,0.208040
0.100405,0.099442
0.056946,0.086412
0.039562,0.051364
0.039562,0.033589
0.052600,0.054742
0.100405,0.060568
0.156901,0.118577
0.139517,0.165578
0.061292,0.141088
0.117788,0.100449
0.130826,0.129522
0.200360,0.131855
0.213397,0.171789
0.230781,0.188249
0.043908,0.192827
0.056946,0.020862
0.117788,0.046329
0.074329,0.122143
0.083021,0.083739
0.109096,0.081775
0.043908,0.123539
0.056946,0.079279
0.348119,0.095604
0.243818,0.255322
0.135172,0.213442
0.152555,0.148726
0.096059,0.156045
0.122134,0.109802
0.109096,0.127996
0.113442,0.089678
0.135172,0.089262
0.061292,0.145472
0.222089,0.062656
0.148209,0.224527
0.043908,0.169381
0.039562,0.026998
0.043908,0.038952
0.043908,0.084972
0.087367,0.078246
0.069984,0.085293
0.087367,0.073819
0.056946,0.104960
0.078675,0.063275
0.035217,0.108552
0.039562,0.062453
0.039562,0.032185
0.022179,0.044933
0.143863,0.041884
0.100405,0.145884
0.056946,0.102969
0.026525,0.055403
0.035217,0.048669
0.035217,0.048069
0.043908,0.062076
0.135172,0.062430
0.152555,0.130546
0.035217,0.147114
0.039562,0.040990
0.104750,0.064701
0.026525,0.114348
0.000000,0.039365
0.013937,0.004095
0.022179,0.043667
0.009141,0.061375
0.156901,0.037175
0.161247,0.156862
0.087367,0.165636
0.035217,0.090954
0.000450,0.043441
0.000450,0.027999
0.043908,0.025312
0.052600,0.048598
0.026525,0.068365
0.039562,0.064848
0.030871,0.072858
0.026525,0.075375
0.022179,0.081227
0.052600,0.064827
0.122134,0.079314
0.174284,0.131860
0.069984,0.164445
0.083021,0.075551
0.113442,0.077142
0.052600,0.105700
0.048254,0.056033
0.039562,0.060192
0.026525,0.059968
0.052600,0.042802
0.083021,0.078122
0.148209,0.112343
0.174284,0.157653
0.039562,0.158850
0.048254,0.047537
0.048254,0.077105
0.126480,0.065599
0.052600,0.109763
0.039562,0.052019
0.030871,0.039120
0.048254,0.052541
0.039562,0.064357
0.074329,0.079125
0.074329,0.103684
0.035217,0.088916
0.013487,0.052107
0.056946,0.043211
0.161247,0.091767
0.135172,0.145477
0.061292,0.117275
0.056946,0.067050
0.069984,0.073773
0.143863,0.078940
0.139517,0.129983
0.130826,0.133935
0.083021,0.118159
0.043908,0.081736
0.096059,0.047233
0.056946,0.117408
0.078675,0.073226
0.196014,0.069579
0.143863,0.173183
0.196014,0.150850
0.217743,0.200765
0.187322,0.188883
0.096059,0.165360
0.061292,0.088847
0.043908,0.042053
0.126480,0.042904
0.191668,0.120592
0.222089,0.168948
0.178630,0.204186
0.139517,0.181980
0.161247,0.152527
0.204706,0.168206
0.269894,0.203194
0.200360,0.222920
0.161247,0.178728
0.196014,0.174964
0.196014,0.203691
0.226435,0.192899
0.282931,0.212358
0.404616,0.245820
0.352465,0.331681
0.343773,0.323465
0.335082,0.355818
0.287277,0.340190
0.322044,0.304009
0.252510,0.320715
0.139517,0.283383
0.326390,0.189537
0.304661,0.342550
0.478495,0.311112
0.269894,0.437453
0.230781,0.283620
0.295969,0.282251
0.352465,0.307244
0.369849,0.447247
0.239473,0.338617
0.230781,0.262534
0.317698,0.246278
0.282931,0.331810
0.178630,0.307823
0.226435,0.234949
0.169939,0.232010
0.139517,0.202635
0.083021,0.199447
0.113442,0.170333
0.117788,0.161084
0.209051,0.144795
0.272067,0.213337
0.298142,0.262608
0.235127,0.287872
0.343773,0.225469
0.269894,0.297681
0.322044,0.272575
0.413307,0.315091
0.274239,0.329117
0.265548,0.279498
0.304661,0.293792
0.348119,0.326169
0.191668,0.365534
0.326390,0.232803
0.187322,0.342402
0.287277,0.230023
0.265548,0.332384
0.226435,0.268456
0.200360,0.272998
0.282931,0.235556
0.282931,0.286869
0.521954,0.278259
0.326390,0.410571
0.330736,0.292589
0.339428,0.330151
0.322044,0.343133
0.847895,0.546448
0.630601,0.632920
0.348119,0.531385
0.239473,0.353125
0.300315,0.299565
0.417653,0.433284
0.387232,0.405127
0.487187,0.548811
0.269894,0.407019
0.391578,0.305694
0.365503,0.376056
0.448074,0.326169
0.465458,0.407317
0.513262,0.324164
0.365503,0.430511
0.400270,0.327199
0.530646,0.411063
0.534992,0.350255
0.443728,0.426844
0.339428,0.473149
0.304661,0.409550
0.439383,0.480966
0.295969,0.506535
0.382886,0.359533
0.400270,0.359828
0.408961,0.363987
0.517608,0.427133
0.330736,0.394448
0.287277,0.361538
0.391578,0.370281
0.282931,0.383836
0.326390,0.517183
0.435037,0.346140
0.400270,0.356180
0.304661,0.376419
0.322044,0.315395
0.478495,0.360227
0.595834,0.466634
0.765323,0.498940
0.543684,0.472303
0.521954,0.475705
0.174284,0.462806
0.343773,0.456835
1.000000,0.741876
0.695789,0.530984
0.330736,0.567163
0.330736,0.306953
0.435037,0.351423
0.582796,0.542126
0.243818,0.407984
0.328563,0.313850
0.356811,0.319463
0.304661,0.306629
0.282931,0.325378
0.217743,0.305678
0.243818,0.298068
0.191668,0.221126
0.291623,0.263146
0.439383,0.296307
0.269894,0.325968
0.278585,0.266365
0.313352,0.259362
0.300315,0.323506
0.417653,0.366265
0.330736,0.352504
0.204706,0.284403
0.235127,0.276626
0.348119,0.264956
0.421999,0.358123
0.656676,0.392851
0.474150,0.512682
0.152555,0.396330
0.369849,0.249569
0.261202,0.466528
0.322044,0.337048
0.391578,0.410583
0.552375,0.334718
0.552375,0.527342
0.804436,0.409826
0.413307,0.611220
0.295969,0.349564
0.469804,0.391768
0.978271,0.726718
0.548029,0.547975
0.291623,0.463171
0.322044,0.336875
0.378540,0.324589
0.482841,0.340892
0.530646,0.515108
0.513262,0.347502
0.439383,0.413178
0.426345,0.306782
0.404616,0.451811
0.182976,0.319444
0.169939,0.320364
0.169939,0.278536
0.169939,0.271321
0.143863,0.285748
0.165593,0.254519
0.156901,0.269588
0.174284,0.236922
0.322044,0.234995
0.387232,0.282799
0.378540,0.303067
0.235127,0.292799
0.148209,0.231991
0.148209,0.192321
0.322044,0.173153
0.248164,0.281733
0.243818,0.221307
0.235127,0.254878
0.113442,0.242492
0.074329,0.166805
0.252510,0.138857
0.404616,0.251387
0.343773,0.312398
0.348119,0.293167
0.248164,0.328765
0.474150,0.311530
0.404616,0.419934
0.200360,0.337825
0.230781,0.225870
0.122134,0.265506
0.235127,0.161152
0.217743,0.269584
0.069984,0.265423
0.126480,0.105707
0.209051,0.177921
0.309006,0.233896
0.274239,0.288960
0.374195,0.278466
0.222089,0.285473
0.182976,0.219992
0.148209,0.252344
0.156901,0.200801
0.352465,0.154101
0.200360,0.280197
0.230781,0.194404
0.222089,0.278720
0.295969,0.253437
0.204706,0.288414
0.113442,0.218681
0.143863,0.142678
0.369849,0.166211
0.439383,0.335285
0.217743,0.338042
0.135172,0.268821
0.252510,0.182981
0.226435,0.255394
0.156901,0.235818
0.235127,0.211778
0.291623,0.230135
0.213397,0.264280
0.187322,0.228951
0.435037,0.260730
0.226435,0.355543
0.113442,0.212622
0.256856,0.103124
0.226435,0.275338
0.117788,0.258517
0.169939,0.115847
0.256856,0.168258
0.174284,0.258803
0.187322,0.206668
0.161247,0.181985
0.178630,0.208636
0.213397,0.219162
0.113442,0.189151
0.083021,0.122118
0.152555,0.185097
0.209051,0.152119
0.100405,0.180653
0.091713,0.148766
0.126480,0.128657
0.113442,0.120840
0.261202,0.117418
0.191668,0.240592
0.196014,0.188487
0.169939,0.199616
0.061292,0.160604
0.065638,0.063056
0.130826,0.104553
0.161247,0.116445
0.078675,0.134021
0.100405,0.096939
0.235127,0.126811
0.130826,0.221585
0.209051,0.133677
0.291623,0.201548
0.113442,0.237708
0.113442,0.126649
0.013487,0.138890
0.039562,0.000000
0.039562,0.037214
0.043908,0.046756
0.013487,0.043475
0.069984,0.080637
0.174284,0.110805
0.143863,0.174085
0.104750,0.166799
0.078675,0.137779
0.143863,0.082193
0.069984,0.124339
0.061292,0.085730
0.100405,0.040024
0.126480,0.082590
0.165593,0.114466
0.104750,0.148981
0.087367,0.127349
0.100405,0.099721
0.161247,0.100857
0.200360,0.144804
0.126480,0.193650
0.156901,0.126489
0.187322,0.136897
0.169939,0.169091
0.139517,0.170271
0.152555,0.141040
0.152555,0.129700
0.152555,0.140571
0.174284,0.152344
0.091713,0.180388
0.104750,0.105115
0.100405,0.093506
0.104750,0.103494
