REAL,ESTIMATE
0.143863,0.135432
0.113442,0.158165
0.089540,0.137572
0.135172,0.121923
0.174284,0.148136
0.083021,0.169715
0.074329,0.120003
0.074329,0.102927
0.122134,0.100387
0.143863,0.122989
0.148209,0.139741
0.156901,0.151170
0.152555,0.143290
0.087367,0.133364
0.061292,0.109402
0.061292,0.107875
0.074329,0.087940
0.139517,0.094085
0.143863,0.126606
0.104750,0.136728
0.100405,0.115787
0.098722,0.115369
0.071666,0.107898
0.091713,0.098740
0.122134,0.103440
0.091713,0.115676
0.052600,0.100823
0.052600,0.083928
0.056946,0.086650
0.078675,0.085795
0.078675,0.090621
0.113442,0.089120
0.096059,0.105950
0.091713,0.094400
0.100405,0.097165
0.087367,0.101607
0.048254,0.093483
0.039562,0.071541
0.048254,0.070442
0.096059,0.073568
0.135172,0.092913
0.104750,0.107298
0.109096,0.098532
0.113442,0.094915
0.117788,0.097878
0.100405,0.100983
0.117788,0.100193
0.096059,0.104333
0.087367,0.093841
0.074329,0.094120
0.074329,0.090391
0.074329,0.093482
0.113442,0.087831
0.135172,0.105505
0.143863,0.113160
0.091713,0.125491
0.156901,0.101254
0.165593,0.139456
0.152555,0.131257
0.143863,0.136285
0.104750,0.127252
0.078675,0.114638
0.091713,0.097167
0.161247,0.109120
0.191668,0.145070
0.226435,0.168034
0.243818,0.169786
0.178630,0.194553
0.191668,0.177185
0.261202,0.189370
0.278585,0.220943
0.248164,0.233355
0.235127,0.219040
0.200360,0.224655
0.139517,0.216001
0.096059,0.173052
0.148209,0.137152
0.122134,0.180742
0.178630,0.154345
0.152555,0.196823
0.143863,0.197511
0.165593,0.198475
0.174284,0.202616
0.217743,0.214059
0.304661,0.221956
0.361157,0.269396
0.322044,0.282319
0.313352,0.285888
0.061292,0.286873
0.083021,0.118407
0.078675,0.121520
0.143863,0.115627
0.152555,0.170391
0.104750,0.172315
0.083021,0.140236
0.078675,0.132012
0.148209,0.136559
0.130826,0.175947
0.126480,0.175389
0.087367,0.130278
0.074329,0.111684
0.143863,0.093837
0.213397,0.141431
0.213397,0.228699
0.074329,0.197114
0.104750,0.101430
0.048254,0.127097
0.117788,0.090648
0.156901,0.125849
0.143863,0.162094
0.069984,0.137000
0.174284,0.096809
0.191668,0.158829
0.213397,0.169836
0.087367,0.204592
0.104750,0.097760
0.200360,0.131907
0.235127,0.148700
0.178630,0.208505
0.304661,0.171912
0.274239,0.275422
0.222089,0.186248
0.191668,0.229999
0.161247,0.205731
0.196014,0.187714
0.187322,0.182133
0.235127,0.193089
0.217743,0.230670
0.152555,0.237939
0.165593,0.173438
0.094478,0.209717
0.217151,0.154343
0.163420,0.237171
0.148209,0.202978
0.182976,0.181530
0.278585,0.206139
0.204706,0.285532
0.213397,0.231559
0.117788,0.238385
0.117788,0.148931
0.178630,0.159836
0.109096,0.176929
0.126480,0.151413
