E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.420966,0.512454,0.118117,0.152781
10,4,0.8,6,0.451038,0.521349,0.115009,0.151381
10,4,0.8,7,0.461835,0.511275,0.113873,0.152966
10,4,0.8,8,0.465154,0.393440,0.113521,0.170411
10,4,0.8,9,0.445144,0.488756,0.115625,0.156450
10,4,0.8,10,0.486299,0.517081,0.111254,0.152055
10,4,0.8,11,0.490026,0.522864,0.110850,0.151141
10,4,0.8,12,0.493770,0.415176,0.110442,0.167330
10,4,0.8,13,0.480024,0.400258,0.111932,0.169451
10,4,0.8,14,0.443849,0.446236,0.115760,0.162826
10,4,0.8,15,0.500843,0.479920,0.109668,0.157796
