REAL,ESTIMATE
0.235529,0.415949
0.191617,0.330238
0.137725,0.305384
0.268130,0.281070
0.410512,0.329445
0.441783,0.429438
0.409847,0.358140
0.435795,0.479921
0.423154,0.437045
0.606786,0.352951
0.491683,0.476640
0.292083,0.363554
0.391883,0.328639
0.383899,0.399858
0.413839,0.414046
0.558882,0.477821
0.542914,0.447897
0.616101,0.442122
0.756487,0.741389
0.705921,0.634928
0.595476,0.560224
0.448436,0.485855
0.570193,0.429490
0.172322,0.483958
0.500333,0.332402
0.643380,0.426972
0.130406,0.452993
0.206919,0.248968
0.131737,0.323980
0.350632,0.272822
0.186294,0.393512
0.236860,0.307011
0.558882,0.533641
0.654025,0.614137
0.180306,0.510781
0.441783,0.451816
0.455090,0.391354
0.381238,0.451246
0.465735,0.440322
0.268130,0.379324
0.520958,0.350464
0.404524,0.499088
0.264138,0.389879
0.512309,0.333611
0.500333,0.428694
0.602794,0.478999
0.413174,0.552113
0.455090,0.491512
0.873586,0.872912
0.339987,0.580444
0.427811,0.363073
0.166999,0.176569
0.667332,0.667173
0.656687,0.557188
0.596806,0.597749
0.367265,0.443091
0.111776,0.341280
0.276114,0.198052
0.087159,0.342870
0.367931,0.278158
0.518962,0.333040
0.546906,0.490895
0.442448,0.486572
0.465070,0.378297
0.459747,0.382773
0.310712,0.443850
0.385230,0.415696
0.469062,0.371878
0.508649,0.450128
0.459747,0.444401
0.305389,0.413431
0.128410,0.282465
0.096474,0.215973
0.258150,0.273511
0.375915,0.402805
0.611444,0.451510
0.512309,0.522413
0.731204,0.668811
0.657352,0.534241
0.204923,0.422324
0.190951,0.290372
0.286094,0.319856
0.236194,0.412697
0.434464,0.364985
0.341317,0.448141
0.123087,0.237266
0.309381,0.214741
0.055223,0.264704
0.246840,0.249321
0.433134,0.315191
0.206254,0.402516
0.503992,0.239416
0.480373,0.424623
0.220892,0.382578
0.138390,0.274246
0.336660,0.226878
0.224218,0.410954
0.119095,0.371221
0.349301,0.291580
0.532269,0.379116
0.373919,0.418215
0.493679,0.323148
0.342648,0.359137
0.176979,0.258542
0.481038,0.324445
0.375915,0.355031
0.353293,0.296200
0.149035,0.200530
0.158350,0.188639
0.302728,0.202583
0.433799,0.317196
0.431138,0.397707
0.616101,0.391274
0.538922,0.549303
0.356620,0.417876
0.525615,0.344057
0.252162,0.328446
0.145043,0.268484
0.172987,0.238122
0.192282,0.222589
0.322688,0.356180
0.121091,0.182215
0.266800,0.157551
0.306055,0.292158
0.244178,0.307977
0.206919,0.357144
0.298071,0.250267
0.201597,0.284146
0.122422,0.230443
0.291417,0.215628
0.389222,0.251362
0.208250,0.317787
0.142382,0.193209
0.197605,0.263277
0.132402,0.267078
0.157019,0.234081
0.377911,0.224942
0.263473,0.256163
0.331337,0.294182
0.232202,0.290622
0.145709,0.184014
0.064538,0.262489
0.147039,0.190515
0.286094,0.230703
0.337325,0.245054
0.240852,0.297217
0.202262,0.177495
0.196939,0.203657
0.413839,0.243208
0.160346,0.327320
0.254158,0.212524
0.379242,0.262639
0.264138,0.329629
0.143713,0.161794
0.192947,0.182440
0.186294,0.182075
0.087159,0.211728
0.169661,0.179660
0.255489,0.200888
0.254824,0.243674
0.207585,0.224276
0.249501,0.173308
0.202262,0.208499
0.129075,0.198699
0.258816,0.180418
0.131071,0.247191
0.315369,0.215058
0.291841,0.270311
0.262384,0.231689
0.076514,0.236360
0.125749,0.115381
0.302063,0.175368
0.222888,0.287858
0.263473,0.245471
0.266800,0.213197
