REAL,ESTIMATE
0.172322,0.210236
0.137725,0.181837
0.156354,0.189425
0.174318,0.199443
0.287425,0.211173
0.475715,0.246620
0.212908,0.361913
0.240186,0.190964
0.198935,0.204779
0.121091,0.197720
0.041631,0.191506
0.039658,0.155217
0.043636,0.165732
0.047614,0.175442
0.051592,0.178209
0.055571,0.139597
0.059549,0.133678
0.063527,0.162527
0.067505,0.156756
0.071483,0.154714
0.075462,0.164894
0.079440,0.162882
0.083418,0.153689
0.087396,0.156319
0.091374,0.142865
0.095353,0.155635
0.099331,0.183281
0.103309,0.176167
0.107287,0.182593
0.111265,0.171821
0.115244,0.176351
0.119222,0.143053
0.123200,0.151334
0.127178,0.170929
0.256656,0.177520
0.318696,0.197923
0.351297,0.220473
0.505655,0.224282
0.537591,0.269947
0.660679,0.282035
0.473719,0.333875
0.408516,0.279696
0.331337,0.263506
0.304724,0.247193
0.258816,0.244591
0.113772,0.231144
0.233533,0.187005
0.188955,0.223970
0.166334,0.212515
0.107784,0.191661
0.246840,0.157473
0.467731,0.208759
0.539587,0.274750
0.534265,0.325603
0.398536,0.295218
0.125749,0.289289
0.306055,0.188150
0.184298,0.268693
0.114438,0.233284
0.452428,0.230521
0.739188,0.444782
0.750499,0.627535
0.736527,0.629175
0.625416,0.606141
0.544910,0.403323
0.607452,0.337442
0.646041,0.336744
0.544910,0.354433
0.465070,0.174918
0.483699,0.392757
0.377246,0.507769
0.379242,0.408689
0.446440,0.479460
0.218896,0.473924
0.277445,0.273048
0.300732,0.333314
0.126414,0.313138
0.346640,0.242520
0.550233,0.281525
0.587492,0.402412
0.780439,0.508126
0.992681,0.633016
0.888889,0.547396
0.399867,0.552553
0.310047,0.391633
0.264138,0.320175
0.250832,0.260877
0.363939,0.306728
0.496341,0.434510
0.428476,0.533070
0.502994,0.500184
0.397206,0.474283
0.315369,0.364804
0.402528,0.445261
0.332668,0.398291
0.208583,0.463341
0.363939,0.262625
0.396540,0.372464
0.485695,0.327960
0.332668,0.375362
0.290752,0.316115
0.212242,0.403441
0.240186,0.329391
0.155023,0.384683
0.255489,0.285418
0.534265,0.294445
0.423819,0.413991
0.433799,0.371467
0.645376,0.316029
0.504990,0.506581
0.114438,0.358497
0.197605,0.365730
0.330007,0.095052
0.427146,0.444589
0.603460,0.448311
0.887558,0.436170
0.870259,0.676059
0.672655,0.644988
0.332003,0.473305
0.521623,0.399714
0.612774,0.494194
0.664005,0.497688
0.316700,0.413979
0.123087,0.271949
0.134398,0.249671
0.546241,0.277801
0.683300,0.506630
0.696607,0.617230
0.530938,0.419541
0.534265,0.390314
0.604125,0.445484
0.526281,0.501901
0.242848,0.311256
0.416500,0.244039
0.155689,0.321817
0.240852,0.341828
0.656021,0.400757
0.618097,0.649933
0.461078,0.503385
