E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.672413,0.641079,0.091410,0.110782
10,5,0.8,6,0.674206,0.665481,0.091160,0.106950
10,5,0.8,7,0.687822,0.662613,0.089235,0.107407
10,5,0.8,8,0.689631,0.668305,0.088976,0.106497
10,5,0.8,9,0.696239,0.668939,0.088023,0.106396
10,5,0.8,10,0.712920,0.645371,0.085572,0.110118
10,5,0.8,11,0.714944,0.642108,0.085270,0.110623
10,5,0.8,12,0.733951,0.613710,0.082378,0.114928
10,5,0.8,13,0.734095,0.615560,0.082356,0.114652
10,5,0.8,14,0.741059,0.575715,0.081270,0.120448
10,5,0.8,15,0.729882,0.572819,0.083006,0.120858
