REAL,ESTIMATE
0.489577,0.501729
0.409981,0.492094
0.390398,0.314304
0.154769,0.377395
0.336702,0.297256
0.476311,0.410992
0.545799,0.477871
0.392925,0.451239
0.229129,0.442056
0.246643,0.331560
0.271195,0.319782
0.295746,0.385514
0.320298,0.348260
0.344849,0.431758
0.369401,0.409267
0.393952,0.443920
0.418504,0.451242
0.443055,0.397784
0.467607,0.384409
0.492158,0.399168
0.516710,0.433400
0.541261,0.494161
0.565813,0.523663
0.590364,0.473015
0.614916,0.425471
0.639467,0.501165
0.664019,0.545043
0.688570,0.572028
0.713122,0.570009
0.737673,0.577071
0.762225,0.663591
0.786776,0.686931
0.660709,0.742799
0.296273,0.618676
0.396715,0.307219
0.358812,0.420271
0.533797,0.371960
0.244473,0.536212
0.379659,0.356343
0.503474,0.406594
0.524953,0.507554
0.385344,0.502625
0.424510,0.439215
0.460518,0.455670
0.351232,0.424611
0.282375,0.411259
0.416930,0.395389
0.697410,0.470337
0.365761,0.663266
0.225521,0.433238
0.245736,0.354143
0.297536,0.339350
0.398610,0.372625
0.442198,0.422530
0.279217,0.448531
0.250790,0.363497
0.300695,0.343679
0.256475,0.370846
0.142767,0.376683
0.326595,0.315535
0.334176,0.365899
0.302590,0.361067
0.442830,0.362088
0.379027,0.486592
0.343020,0.263097
0.382817,0.201771
0.246368,0.205177
0.188882,0.254356
0.313329,0.244147
0.258370,0.330425
0.137081,0.295152
0.325332,0.241312
0.272268,0.287828
0.171826,0.361245
0.298168,0.255200
0.186355,0.285145
0.077701,0.225836
0.153190,0.209817
0.149716,0.275195
0.091598,0.235319
0.148452,0.223162
0.302590,0.234021
0.259002,0.271197
0.260897,0.239957
0.198358,0.283546
0.101706,0.249657
0.078964,0.195863
0.139608,0.213393
0.066961,0.204554
0.105496,0.174937
0.133291,0.220590
0.020846,0.206933
0.173721,0.170773
0.240682,0.210568
0.055591,0.238562
0.125711,0.183608
0.149084,0.190933
0.145294,0.192946
0.143399,0.201662
0.200253,0.204701
0.213519,0.205788
0.320910,0.193625
0.267846,0.221199
0.084649,0.235814
0.063803,0.171419
0.142767,0.156913
0.046747,0.172022
0.139608,0.149164
0.272268,0.194424
0.277322,0.215323
0.238155,0.192747
0.142135,0.190827
0.030954,0.160895
0.017056,0.161383
0.018320,0.144982
0.003790,0.134148
0.223626,0.137921
0.137081,0.176938
0.054327,0.174256
0.000000,0.139618
0.204675,0.112556
0.291851,0.169763
0.217941,0.187643
0.018320,0.183133
0.026532,0.121846
0.027795,0.108338
0.018951,0.134349
0.025900,0.141088
0.053696,0.138128
0.140240,0.111817
0.269109,0.114490
0.137081,0.175762
0.277322,0.160478
0.219204,0.190523
0.024637,0.138761
0.020846,0.099756
0.094125,0.134831
