REAL,ESTIMATE
0.168667,0.248705
0.294378,0.144981
0.319646,0.234306
0.222363,0.265371
0.276690,0.255584
0.312066,0.288155
0.273531,0.214681
0.252053,0.219248
0.207833,0.240743
0.157296,0.243962
0.193304,0.222342
0.253316,0.192546
0.296273,0.258903
0.154138,0.283877
0.388503,0.212506
0.236892,0.310487
0.272268,0.217607
0.441567,0.250749
0.355654,0.381039
0.416930,0.296354
0.261529,0.360092
0.370183,0.247668
0.319015,0.328078
0.147821,0.308105
0.063803,0.185868
0.413771,0.193790
0.305749,0.317571
0.286797,0.289767
0.354390,0.320142
0.236260,0.283956
0.371762,0.264185
0.200253,0.320114
0.248895,0.275944
0.333544,0.312158
0.253316,0.295657
0.343651,0.258483
0.253316,0.355214
0.260897,0.275243
0.284902,0.287133
0.186987,0.285579
0.497789,0.204025
0.296905,0.436049
0.416298,0.291126
0.196462,0.374108
0.258370,0.248053
0.324700,0.258626
0.297536,0.378162
0.421352,0.288932
0.268478,0.393468
0.428301,0.300215
0.274795,0.323166
0.233102,0.344236
0.158560,0.266945
0.242577,0.243001
0.248895,0.233588
0.190145,0.234862
0.392293,0.299796
0.368288,0.337514
0.199621,0.361886
0.191093,0.253728
0.243209,0.264896
0.296273,0.277014
0.326595,0.295996
0.383449,0.327658
0.453569,0.308578
0.584965,0.365061
0.608970,0.454720
0.621605,0.486611
0.526216,0.500941
0.465572,0.403547
0.532533,0.388346
0.506633,0.458581
0.509160,0.474783
0.543904,0.495091
0.487050,0.445645
0.611497,0.449220
0.557170,0.513455
0.455464,0.528634
0.643083,0.467634
0.521794,0.566647
0.524953,0.520818
0.635502,0.517684
0.318383,0.629620
0.425142,0.393243
0.604548,0.480164
0.725837,0.562823
0.815540,0.621505
0.998737,0.745344
0.746052,0.771580
0.478206,0.694400
0.518004,0.493069
0.641188,0.576054
0.526216,0.661897
0.579912,0.532549
0.596336,0.647103
0.503474,0.568417
0.562224,0.537592
0.474416,0.537107
0.529375,0.494824
0.645610,0.537065
0.919773,0.683652
1.000000,0.852322
0.847757,0.870882
0.564119,0.749917
0.805433,0.648384
0.711308,0.756622
0.308907,0.309322
0.355654,0.414306
0.522426,0.392456
0.508528,0.468006
0.569172,0.457349
0.491472,0.488443
0.569804,0.495746
0.502843,0.517353
0.432091,0.519943
0.327858,0.290043
0.373342,0.469705
0.509160,0.490368
0.705622,0.593839
0.735944,0.681465
0.466835,0.721253
0.651927,0.513072
0.747947,0.573810
0.614656,0.580054
0.516109,0.613667
0.503474,0.430178
0.416930,0.500068
0.269109,0.407427
0.415035,0.377867
0.483260,0.503127
0.573594,0.476047
0.502211,0.599992
0.814277,0.789409
0.740366,0.760712
0.612761,0.699607
0.701832,0.720064
0.735944,0.659132
0.349337,0.540262
0.460518,0.388051
0.502211,0.436835
0.481996,0.530130
0.692988,0.537676
0.404927,0.524243
0.169931,0.256912
0.372710,0.379274
0.832596,0.814424
0.807328,0.648901
0.629185,0.598202
0.758054,0.524623
0.696147,0.661763
0.566646,0.580383
0.384713,0.497281
0.355022,0.433243
0.373342,0.399126
0.486418,0.409391
0.342388,0.497472
0.094757,0.139077
0.198989,0.287008
0.290568,0.284706
0.164264,0.380484
0.677195,0.632991
0.942514,0.714021
0.642451,0.716689
0.658244,0.566750
0.368288,0.414481
0.256475,0.354670
0.228048,0.364897
0.251421,0.322910
0.329754,0.266834
0.308907,0.355314
0.511055,0.348246
0.440303,0.489900
0.259634,0.405486
0.425774,0.336455
0.627922,0.437857
0.432091,0.492524
0.479245,0.509533
0.733010,0.733625
0.328490,0.340451
0.352495,0.328031
0.447884,0.393538
0.538219,0.483229
0.260265,0.405035
0.252053,0.302926
0.190777,0.288696
0.202780,0.293071
0.181933,0.355611
0.574858,0.264089
0.574858,0.478495
0.517372,0.484193
0.437145,0.433836
0.444093,0.394148
0.282375,0.305950
0.385344,0.379824
0.362603,0.392705
0.401769,0.359457
0.295009,0.348747
0.433354,0.249460
0.273531,0.392459
0.223626,0.304495
0.367025,0.282711
0.310802,0.358542
0.432091,0.334826
0.492735,0.446537
0.490840,0.480952
0.462413,0.485458
0.393557,0.409751
0.367025,0.320815
0.220467,0.393917
0.253316,0.285257
0.373342,0.283906
0.470625,0.400703
0.331649,0.442394
0.161718,0.320586
0.183828,0.253912
0.204675,0.258935
0.334176,0.272770
0.202148,0.325643
0.265319,0.318661
0.269109,0.311279
0.198358,0.292884
0.266582,0.298191
0.206570,0.324126
0.272900,0.236422
0.159823,0.246656
0.145294,0.201595
0.200884,0.213298
0.191409,0.265326
0.144030,0.256733
0.336071,0.193256
0.263424,0.277876
0.329754,0.247640
0.280480,0.337422
0.224889,0.254178
0.200884,0.245401
0.296905,0.245701
0.319015,0.263209
0.274795,0.311543
0.220467,0.248682
0.344283,0.197920
0.231207,0.271908
0.221099,0.227393
0.243209,0.263942
0.166140,0.247247
0.109286,0.200969
0.223626,0.196297
0.138345,0.229162
0.103601,0.204590
0.190777,0.182275
0.104864,0.209886
0.108023,0.196523
0.148452,0.194052
0.218572,0.206028
0.266582,0.230977
0.131396,0.233085
0.077069,0.162863
0.056854,0.160806
0.120025,0.144438
0.229311,0.171244
0.471257,0.213903
0.270373,0.319712
0.102969,0.228005
0.135186,0.155755
0.197726,0.177377
0.078332,0.224938
0.032849,0.140968
0.196462,0.125385
0.123816,0.164330
0.089071,0.153744
0.324700,0.171433
0.301327,0.276258
0.132028,0.216332
0.135818,0.145738
0.108654,0.159476
0.205938,0.166636
0.156033,0.205069
0.100442,0.174481
0.063171,0.142874
0.078332,0.124472
0.056854,0.143732
0.101706,0.176260
0.048010,0.158633
0.224889,0.132495
0.163613,0.189386
0.027795,0.163754
0.054959,0.136543
0.083386,0.139841
0.099194,0.129339
0.258355,0.135110
0.263424,0.187650
0.199621,0.221747
0.223626,0.188853
0.259002,0.170678
0.258370,0.200470
0.061276,0.205668
0.169931,0.094426
0.082123,0.143803
0.012003,0.135376
0.174984,0.125503
0.154769,0.187872
0.240051,0.178387
0.061276,0.212788
0.012003,0.126540
0.238787,0.127279
0.283639,0.227858
0.131396,0.190131
0.029059,0.153918
0.180670,0.119098
0.180038,0.152197
0.061908,0.203648
0.023373,0.140802
0.148452,0.139583
0.265951,0.141211
0.121289,0.191780
0.039166,0.186856
0.015793,0.136207
0.052432,0.121559
0.145294,0.116459
0.195831,0.146197
0.236260,0.202941
0.174984,0.198329
0.034112,0.161747
0.046115,0.117233
0.039798,0.149619
0.267214,0.135403
0.256475,0.181685
0.103601,0.170902
0.077069,0.117840
0.130764,0.130371
0.233733,0.153068
0.136450,0.209187
0.049905,0.157690
0.016425,0.114738
0.081491,0.120542
0.197094,0.138099
0.304485,0.211027
0.068225,0.214076
0.277322,0.114408
0.097915,0.185363
0.036639,0.132527
0.099179,0.143003
0.119394,0.163912
0.092230,0.132704
0.067593,0.131521
0.179406,0.120921
0.262792,0.192105
0.176248,0.222688
0.028427,0.140080
0.244473,0.117801
0.245104,0.179478
0.140240,0.213386
0.060644,0.189206
0.038534,0.124660
0.161718,0.118758
0.271004,0.148105
0.174352,0.215038
0.161718,0.195189
0.316488,0.156213
0.229943,0.191462
0.187618,0.196569
