E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.566061,0.447395,0.035932,0.029779
10,4,0.8,6,0.589129,0.482222,0.034964,0.028825
10,4,0.8,7,0.571352,0.446218,0.035713,0.029810
10,4,0.8,8,0.723254,0.559181,0.028696,0.026597
10,4,0.8,9,0.649878,0.518695,0.032276,0.027791
10,4,0.8,10,0.668682,0.363000,0.031398,0.031972
10,4,0.8,11,0.699550,0.524466,0.029899,0.027624
10,4,0.8,12,0.665894,0.388094,0.031529,0.031336
10,4,0.8,13,0.763290,0.544327,0.026539,0.027041
10,4,0.8,14,0.728869,0.404443,0.028403,0.030914
10,4,0.8,15,0.787726,0.563787,0.025132,0.026457
