REAL,ESTIMATE
0.025878,0.058036
0.010108,0.033516
0.022581,0.026116
0.041434,0.034933
0.033190,0.044473
0.038495,0.043521
0.043728,0.045139
0.032330,0.051530
0.054122,0.043428
0.107814,0.067408
0.127957,0.126898
0.038602,0.125532
0.042867,0.023468
0.101577,0.044043
0.118853,0.078747
0.159211,0.094539
0.177634,0.126124
0.262581,0.133603
0.270573,0.262746
0.225663,0.237813
0.187527,0.210552
0.173405,0.208612
0.177778,0.106001
0.042151,0.124446
0.087527,0.023381
0.131111,0.052501
0.058423,0.086179
0.050609,0.035842
0.040072,0.059356
0.060573,0.040921
0.057778,0.054198
0.050753,0.058558
0.083728,0.052951
0.064659,0.107098
0.075986,0.080751
0.096989,0.090655
0.153190,0.073991
0.153692,0.154216
0.124946,0.139788
0.211828,0.075212
0.195269,0.204468
0.108674,0.162917
0.044014,0.056525
0.088961,0.024720
0.131111,0.055125
0.082867,0.120651
0.088746,0.064411
0.101434,0.086107
0.147814,0.060465
0.182007,0.121119
0.083441,0.131940
0.053620,0.033688
0.095197,0.033314
0.103799,0.064019
0.090681,0.049495
0.077276,0.045402
0.028746,0.084299
0.062867,0.038815
0.060358,0.048515
0.108817,0.065735
0.069892,0.107346
0.109964,0.095110
0.098136,0.162705
0.118136,0.080285
0.117993,0.145609
0.119570,0.144171
0.105018,0.159839
0.118781,0.086056
0.249821,0.118628
0.153692,0.233086
0.110609,0.115578
0.071900,0.091426
0.063513,0.047912
0.083011,0.017513
0.078925,0.083900
0.116022,0.089018
0.168674,0.150376
0.098423,0.207394
0.081219,0.133373
0.041935,0.078603
0.013190,0.047740
0.023226,0.023098
0.034337,0.029031
0.081290,0.043941
0.118495,0.092211
0.037778,0.101503
0.059785,0.049779
0.057993,0.062970
0.060072,0.066214
0.068566,0.052229
0.048387,0.081128
0.059713,0.057838
0.047168,0.062776
0.047025,0.043550
0.061720,0.047674
0.151326,0.060046
0.123799,0.160589
0.067742,0.102537
0.071470,0.060114
0.071828,0.065718
0.070179,0.061026
0.093620,0.026171
0.117634,0.080347
0.082509,0.092356
0.073548,0.083236
0.104014,0.059836
0.104731,0.095868
0.078781,0.088329
0.137563,0.075650
