REAL,ESTIMATE
0.097706,0.040399
0.097491,0.058795
0.030681,0.064375
0.028387,0.034947
0.054086,0.037292
0.059211,0.049033
0.061434,0.048173
0.063620,0.046212
0.059498,0.052140
0.041111,0.059442
0.005279,0.048703
0.002452,0.028872
0.003310,0.026404
0.004167,0.031756
0.005024,0.030137
0.005881,0.024193
0.006739,0.023348
0.007596,0.021564
0.008453,0.023873
0.009310,0.024503
0.010168,0.028349
0.011025,0.033232
0.011882,0.031618
0.012739,0.024507
0.013597,0.023484
0.014454,0.028259
0.015311,0.028834
0.016168,0.022770
0.017025,0.022716
0.017883,0.024320
0.018740,0.024729
0.019597,0.022455
0.020454,0.023499
0.021312,0.023940
0.029140,0.023540
0.050036,0.028065
0.080502,0.038532
0.077348,0.058909
0.071183,0.053197
0.064731,0.035940
0.060287,0.032211
0.056774,0.033000
0.084803,0.034905
0.055341,0.056641
0.054194,0.040864
0.038208,0.040035
0.024516,0.031183
0.017993,0.022936
0.046452,0.024416
0.075125,0.042698
0.046953,0.062761
0.040573,0.042610
0.051828,0.040275
0.082939,0.047757
0.091685,0.066795
0.050108,0.086548
0.031254,0.045399
0.023943,0.034041
0.024588,0.027527
0.052043,0.027407
0.077921,0.041606
0.098136,0.070519
0.103656,0.094495
0.079068,0.086339
0.119570,0.069363
0.153978,0.110282
0.155914,0.156365
0.185448,0.186594
0.118710,0.148915
0.071111,0.062021
0.047599,0.037280
0.041290,0.032116
0.042330,0.030785
0.050108,0.044104
0.041434,0.051241
0.028674,0.038496
0.036846,0.032887
0.040932,0.045006
0.061075,0.049873
0.075125,0.074931
0.106595,0.087110
0.140789,0.096894
0.135484,0.104063
0.071039,0.104913
0.008817,0.058702
0.000000,0.025955
0.009749,0.018633
0.050538,0.018148
0.057276,0.036747
0.025950,0.060601
0.016129,0.047684
0.010394,0.044839
0.021649,0.038081
0.038136,0.041221
0.023226,0.046389
0.008674,0.035421
0.017204,0.031917
0.059928,0.026385
0.076703,0.035395
0.040287,0.041961
0.007133,0.023472
0.030896,0.020011
0.011326,0.029342
0.051183,0.023647
0.063154,0.051064
0.077563,0.069929
0.063799,0.081704
0.062581,0.064008
0.081219,0.054703
0.086093,0.063231
0.028244,0.086730
0.054337,0.038878
0.044731,0.044797
0.053477,0.024082
0.073907,0.024744
0.106595,0.033896
0.127670,0.081989
0.083082,0.149465
0.058566,0.097226
0.060143,0.060418
0.076487,0.048076
0.070839,0.055117
0.096760,0.069327
0.049247,0.076832
0.037491,0.048429
0.071971,0.035668
0.120502,0.054534
0.105751,0.104674
0.102119,0.111729
0.107471,0.110228
0.108172,0.073655
0.182079,0.062377
0.050645,0.101846
0.138208,0.065239
0.049247,0.052905
0.045448,0.057387
0.105972,0.034507
0.125663,0.066454
0.139511,0.068561
