REAL,ESTIMATE
0.299270,0.305395
0.328467,0.314106
0.328467,0.328354
0.324818,0.330309
0.332117,0.335564
0.306569,0.322528
0.270073,0.315739
0.266423,0.301690
0.313869,0.294477
0.354015,0.316270
0.335766,0.330327
0.346715,0.329293
0.310219,0.347595
0.273723,0.323330
0.258082,0.298475
0.245245,0.287797
0.234334,0.281410
0.223423,0.271227
0.212512,0.268796
0.201601,0.259420
0.190690,0.251062
0.179779,0.237737
0.168868,0.224816
0.157957,0.218632
0.147046,0.212278
0.136135,0.206902
0.125224,0.200923
0.114313,0.196125
0.103402,0.191341
0.092491,0.185809
0.081580,0.180131
0.070669,0.174308
0.059758,0.168368
0.048847,0.162292
0.037936,0.156071
0.027025,0.149706
0.016114,0.143203
0.005203,0.136580
0.002273,0.129860
0.000000,0.125299
0.032847,0.120776
0.080292,0.127014
0.156934,0.137678
0.167883,0.164823
0.171533,0.174224
0.175182,0.188737
0.153285,0.191925
0.098540,0.188597
0.135036,0.172407
0.113139,0.190286
0.127737,0.177595
0.109489,0.197674
0.156934,0.187114
0.218978,0.210906
0.171533,0.228100
0.142336,0.216945
0.218978,0.207661
0.204380,0.233751
0.259124,0.219768
0.186131,0.261096
0.167883,0.232013
0.124088,0.235017
0.124088,0.212321
0.237226,0.207158
0.211679,0.242811
0.291971,0.241488
0.288321,0.290357
0.215328,0.290585
0.262774,0.257949
0.306569,0.267520
0.288321,0.281301
0.295620,0.270268
0.237226,0.316114
0.281022,0.278011
0.193431,0.327837
0.153285,0.264344
0.204380,0.236082
0.153285,0.251080
0.197080,0.222749
0.193431,0.242079
0.164234,0.235411
0.211679,0.217682
0.229927,0.237103
0.335766,0.235040
0.346715,0.271513
0.518248,0.302192
0.390511,0.377285
0.193431,0.360124
0.083942,0.279744
0.098540,0.212990
0.098540,0.199130
0.160584,0.189255
0.218978,0.229645
0.197080,0.253245
0.171533,0.252596
0.124088,0.234527
0.167883,0.177794
0.178832,0.184519
0.197080,0.196585
0.116788,0.216837
0.164234,0.189567
0.226277,0.223418
0.288321,0.237070
0.222628,0.278921
0.131387,0.247769
0.138686,0.224504
0.105839,0.214519
0.208029,0.191288
0.211679,0.228406
0.321168,0.230659
0.208029,0.308436
0.281022,0.252644
0.332117,0.311412
0.361314,0.288978
0.164234,0.319322
0.178832,0.232301
0.262774,0.258933
0.310219,0.266096
0.244526,0.321983
0.385036,0.293273
0.448905,0.393208
0.372263,0.399014
0.259124,0.355758
0.218978,0.310390
0.346715,0.284446
0.284672,0.313416
0.291971,0.290229
0.237226,0.350753
0.167883,0.297710
0.273723,0.262764
0.346715,0.283889
0.343066,0.342573
0.270073,0.300089
0.295620,0.294000
0.412409,0.298758
0.529197,0.389336
0.251825,0.493832
0.354015,0.295231
0.189781,0.366765
0.200730,0.256887
0.423358,0.273022
0.295620,0.429447
0.343066,0.334470
