REAL,ESTIMATE
0.565693,0.541438
0.540146,0.508043
0.463504,0.493862
0.832117,0.668991
0.704380,0.637244
0.653285,0.562071
0.653285,0.514803
0.602190,0.541599
0.364964,0.568005
0.478102,0.471444
0.350365,0.457269
0.470803,0.392535
0.445255,0.469302
0.332117,0.426093
0.372263,0.346749
0.288321,0.368706
0.259124,0.306928
0.266423,0.287964
0.470803,0.302205
0.452555,0.469836
0.270073,0.374810
0.164234,0.274909
0.167883,0.183969
0.218978,0.199824
0.295620,0.231837
0.310219,0.299464
0.339416,0.300034
0.317518,0.338219
0.394161,0.348927
0.558394,0.459924
0.635036,0.626441
0.313869,0.366951
0.332117,0.319715
0.456204,0.389825
0.474453,0.459928
0.609489,0.469339
0.656934,0.652113
0.857664,0.855145
0.806569,0.607537
0.744526,0.615608
0.711679,0.595962
0.598540,0.590779
0.572993,0.548764
0.291971,0.538402
0.580292,0.433108
0.770073,0.551584
0.350365,0.546650
0.386861,0.385096
0.328467,0.411036
0.416058,0.373808
0.332117,0.434978
0.339416,0.357080
0.514599,0.386717
0.456204,0.433025
0.306569,0.398804
0.386861,0.304111
0.525547,0.415209
0.518248,0.524891
0.416058,0.435893
0.361314,0.408729
0.437956,0.436177
0.401460,0.464667
0.306569,0.383968
0.631387,0.347544
0.697080,0.534297
0.532847,0.538593
0.463504,0.511082
0.518248,0.484537
0.762774,0.642659
0.598540,0.602309
0.408759,0.527567
0.284672,0.461058
0.379562,0.360255
0.448905,0.417808
0.427007,0.435449
0.310219,0.425437
0.215328,0.349727
0.233577,0.282993
0.240876,0.268085
0.412409,0.287668
0.364964,0.368716
0.306569,0.328847
0.284672,0.310762
0.310219,0.305069
0.346715,0.360571
0.343066,0.350507
0.328467,0.305430
0.368613,0.314402
0.531022,0.377697
0.386861,0.490969
0.266423,0.406024
0.218978,0.299622
0.222628,0.259284
0.273723,0.300535
0.284672,0.317708
0.503650,0.318976
0.423358,0.454545
0.310219,0.368323
0.361314,0.321061
0.215328,0.369927
0.167883,0.278528
0.178832,0.242927
0.186131,0.248578
0.339416,0.256812
0.339416,0.350581
0.222628,0.326602
0.284672,0.278297
0.208029,0.277672
0.306569,0.262765
0.313869,0.303570
0.200730,0.322976
0.279197,0.261833
0.277372,0.295822
0.288321,0.301621
0.430657,0.310047
0.711679,0.684337
0.700730,0.672338
0.335766,0.324365
0.470803,0.383752
0.510949,0.456243
0.452555,0.487267
0.481752,0.460774
0.412409,0.445009
0.299270,0.438346
0.452555,0.381645
0.416058,0.459025
0.401460,0.427665
0.350365,0.422753
0.383212,0.370659
0.627737,0.409537
0.500000,0.576242
0.649635,0.593876
0.598540,0.518815
0.631387,0.527603
0.485401,0.648048
0.390511,0.391547
0.310219,0.444947
0.281022,0.388865
0.259124,0.352920
0.295620,0.311237
0.302920,0.339293
0.299270,0.313051
0.288321,0.310366
0.281022,0.312664
0.266423,0.310302
0.277372,0.290534
0.284672,0.284757
0.390511,0.292799
0.335766,0.359619
0.343066,0.330310
0.361314,0.360931
0.328467,0.345647
0.295620,0.295090
0.262774,0.291010
0.244526,0.294015
0.251825,0.287494
0.273723,0.288275
0.317518,0.293910
0.332117,0.318433
0.313869,0.312107
0.277372,0.276435
0.281022,0.279841
0.302920,0.306686
0.339416,0.307070
0.299270,0.320182
0.354015,0.304951
0.251825,0.338060
0.281022,0.282708
0.299270,0.301986
0.273723,0.297782
0.281022,0.293260
0.339416,0.282755
0.306569,0.332492
0.306569,0.318717
0.386861,0.314009
0.357664,0.337726
0.291971,0.320436
0.313869,0.302565
0.284672,0.314533
0.324818,0.313558
0.302920,0.338447
0.288321,0.299518
0.277372,0.298108
0.244526,0.304286
0.313869,0.275416
0.313869,0.308094
0.302920,0.321248
0.262774,0.291372
0.262774,0.265871
0.281022,0.296077
0.291971,0.302508
0.332117,0.292482
0.354015,0.302524
0.306569,0.319762
0.354015,0.308203
0.301095,0.329945
0.277372,0.313308
0.237226,0.291205
0.262774,0.263517
0.288321,0.295129
0.291971,0.311475
0.310219,0.305111
0.270073,0.289932
0.240876,0.281677
0.233577,0.267830
0.259595,0.264176
0.306098,0.284690
0.310219,0.304181
0.259124,0.296593
0.288321,0.278408
0.255474,0.303465
0.255474,0.277534
0.255474,0.267737
0.291971,0.268684
0.284672,0.300115
0.262774,0.294987
0.335766,0.287908
0.332117,0.322896
0.313869,0.314989
0.255474,0.280250
0.240876,0.269929
0.255474,0.286665
0.251825,0.289221
0.281022,0.277544
0.255474,0.288517
0.251825,0.278684
0.251825,0.268306
0.266423,0.273529
0.244526,0.289813
0.270073,0.264524
0.284672,0.267745
0.324818,0.290875
0.291971,0.324885
0.277372,0.295552
0.339416,0.275600
0.266423,0.308241
0.259124,0.287062
0.291971,0.281693
0.266423,0.302301
0.255474,0.294653
0.277372,0.274656
0.343066,0.291010
0.361314,0.331459
0.306569,0.322956
0.328467,0.282580
0.317518,0.305204
0.335766,0.328733
0.324818,0.322025
0.266423,0.313909
0.270073,0.299677
0.350365,0.291330
0.302920,0.340499
0.343066,0.320990
0.295620,0.318708
0.277372,0.279571
0.262774,0.294422
0.273723,0.295975
0.310219,0.302145
0.251825,0.301011
0.262774,0.270717
