E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.481207,0.408550,0.124678,0.130094
10,3,0.8,6,0.500436,0.401481,0.122345,0.130869
10,3,0.8,7,0.541087,0.323423,0.117262,0.139141
10,3,0.8,8,0.564287,0.355038,0.114260,0.135852
10,3,0.8,9,0.579045,0.373506,0.112308,0.133893
10,3,0.8,10,0.579995,0.401551,0.112181,0.130861
10,3,0.8,11,0.612133,0.369004,0.107804,0.134373
10,3,0.8,12,0.632885,0.408179,0.104880,0.130135
10,3,0.8,13,0.638290,0.394684,0.104105,0.131610
10,3,0.8,14,0.644563,0.361957,0.103199,0.135121
10,3,0.8,15,0.575656,0.367103,0.112759,0.134575
