REAL,ESTIMATE
0.782151,0.538458
0.375601,0.617217
0.390024,0.372308
0.511418,0.372459
0.250601,0.495911
0.036659,0.139433
0.037260,0.135963
0.260216,0.318520
0.421274,0.294300
0.301683,0.385469
0.171875,0.192495
0.087740,0.270074
0.255409,0.272434
0.348558,0.311140
0.373798,0.339844
0.330529,0.352154
0.335337,0.411941
0.374399,0.392325
0.495192,0.369026
0.506010,0.396826
0.295072,0.430076
0.387019,0.259039
0.365986,0.367516
0.323317,0.389840
0.540865,0.291934
0.530048,0.528624
0.739784,0.561392
0.888221,0.824990
1.000000,0.940381
0.881010,0.813948
0.659856,0.744563
0.508413,0.650524
0.162861,0.318614
0.621995,0.327073
0.742788,0.562642
0.100361,0.600419
0.171875,0.143071
0.148438,0.328508
0.385817,0.278759
0.165865,0.281510
0.281250,0.277996
0.481971,0.366556
0.621394,0.488003
0.281250,0.471997
0.371995,0.289015
0.368895,0.385412
0.286153,0.334824
0.371995,0.324798
0.357572,0.400879
0.515024,0.447860
0.288462,0.519291
0.216346,0.367750
0.439904,0.302279
0.364183,0.263103
0.405048,0.371972
0.362981,0.399247
0.535457,0.396267
0.750000,0.635585
0.528245,0.657927
0.699519,0.517618
0.272837,0.465921
0.788462,0.789487
0.860577,0.830471
0.762019,0.552783
0.662260,0.628201
0.287260,0.439324
0.317308,0.374927
0.161058,0.211414
0.484976,0.366179
0.664663,0.456767
0.590745,0.608269
0.539663,0.500049
0.551082,0.608869
0.671274,0.654805
0.520433,0.595980
0.600962,0.528358
0.528846,0.415995
0.614784,0.456264
0.829327,0.557167
0.509014,0.710140
0.371995,0.477699
0.162260,0.355586
0.381010,0.299029
0.522837,0.447130
0.614784,0.564714
0.659255,0.456461
0.802584,0.635684
0.727764,0.584651
0.304087,0.345791
0.237380,0.377901
0.245793,0.373298
0.246995,0.396861
0.322716,0.352350
0.317909,0.414304
0.168269,0.342819
0.304688,0.308525
0.083534,0.379852
0.250000,0.199751
0.288462,0.311147
0.221755,0.346227
0.403846,0.327347
0.620793,0.365241
0.135216,0.491626
0.164063,0.206076
0.285457,0.245336
0.212740,0.247954
0.237981,0.270886
0.458534,0.275546
0.493389,0.462979
0.406851,0.428886
0.568510,0.386724
0.424279,0.502750
0.241286,0.412905
0.439904,0.335243
0.442308,0.505047
0.341947,0.433699
