REAL,ESTIMATE
0.231971,0.121612
0.179087,0.189894
0.131611,0.174926
0.193510,0.140140
0.177885,0.216739
0.164663,0.176200
0.427284,0.140176
0.322115,0.271616
0.207933,0.230201
0.166466,0.141492
0.138822,0.201474
0.144231,0.185838
0.053486,0.145669
0.103365,0.160147
0.122596,0.158932
0.322115,0.134421
0.328726,0.213141
0.168870,0.256046
0.289663,0.153215
0.145433,0.294475
0.157452,0.203655
0.149038,0.158668
0.203726,0.202832
0.283654,0.213782
0.049279,0.206650
0.171274,0.185254
0.141827,0.238909
0.131611,0.192911
0.168870,0.152236
0.121995,0.167080
0.150240,0.165559
0.088942,0.185438
0.285457,0.179529
0.378005,0.237298
0.183293,0.309877
0.128005,0.209184
0.252404,0.195061
0.245793,0.232931
0.152043,0.187106
0.400841,0.171076
0.466346,0.287926
0.619591,0.328315
0.400841,0.451218
0.320913,0.423670
0.210337,0.334193
0.243389,0.246763
0.215144,0.312281
0.090144,0.246159
0.201322,0.210162
0.150841,0.209150
0.118389,0.206611
0.072716,0.194255
0.245192,0.226543
0.399639,0.256842
0.416466,0.282333
0.389983,0.250302
0.277686,0.296645
0.090745,0.253651
0.155048,0.216646
0.135817,0.229620
0.145433,0.217509
0.385817,0.211321
0.504808,0.270760
0.668269,0.330987
0.550481,0.461703
0.533053,0.441443
0.439303,0.427869
0.451923,0.456687
0.426683,0.450002
0.522837,0.504574
0.398438,0.446520
0.331130,0.373019
0.191707,0.367861
0.280649,0.302411
0.360577,0.399597
0.103966,0.442732
0.221154,0.206181
0.198587,0.095852
0.219683,0.167222
0.290264,0.235258
0.462740,0.271524
0.423077,0.376240
0.610577,0.391253
0.814904,0.440857
0.683894,0.723803
0.329327,0.440481
0.138822,0.005726
0.099159,0.285831
0.161058,0.260374
0.307091,0.300915
0.490986,0.394130
0.326322,0.390545
0.311899,0.353613
0.312500,0.389794
0.247596,0.424346
0.406851,0.278935
0.277644,0.368503
0.182091,0.339372
0.271635,0.202903
0.312500,0.324821
0.447115,0.327374
0.298077,0.412018
0.200120,0.324639
0.220553,0.377986
0.165264,0.185650
0.084736,0.183380
0.197416,0.090209
0.466947,0.272184
0.423077,0.383137
0.367788,0.342182
0.647837,0.445064
0.379808,0.670017
0.087740,0.353840
0.233774,0.160433
0.297476,0.188392
0.289663,0.219142
0.487981,0.218826
0.691707,0.412260
0.819712,0.584236
0.521034,0.810007
0.301683,0.659703
0.365986,0.367679
0.463341,0.320473
0.542067,0.408380
0.219351,0.504021
0.070913,0.325579
0.087139,0.282461
0.528245,0.307642
0.581130,0.473055
0.594952,0.585689
0.498798,0.577596
0.539063,0.460957
0.442909,0.438026
0.357572,0.425225
0.218750,0.363204
0.288462,0.340136
0.082332,0.306765
0.270433,0.248107
0.604567,0.337899
0.579928,0.482114
0.417668,0.553359
