E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.612914,0.558613,0.093500,0.083434
11,2,0.8,6,0.623459,0.536202,0.092218,0.085526
11,2,0.8,7,0.637849,0.564254,0.090438,0.082899
11,2,0.8,8,0.634100,0.551652,0.090905,0.084089
11,2,0.8,9,0.651092,0.551222,0.088769,0.084130
11,2,0.8,10,0.657209,0.544545,0.087988,0.084753
11,2,0.8,11,0.684702,0.511639,0.084386,0.087761
11,2,0.8,12,0.687112,0.518732,0.084063,0.087122
11,2,0.8,13,0.682573,0.504636,0.084670,0.088388
11,2,0.8,14,0.702619,0.469271,0.081953,0.091489
11,2,0.8,15,0.673585,0.539436,0.085860,0.085227
