REAL,ESTIMATE
0.476625,0.439650
0.283181,0.406961
0.411607,0.306091
0.574422,0.354694
0.448684,0.452307
0.369694,0.366269
0.451370,0.368712
0.300376,0.402607
0.325094,0.317403
0.216550,0.343977
0.403546,0.239886
0.491671,0.423490
0.333692,0.428743
0.173563,0.396567
0.203654,0.228956
0.387963,0.300701
0.281569,0.411627
0.320258,0.333058
0.410532,0.346028
0.384202,0.392827
0.372918,0.373245
0.388501,0.193060
0.351424,0.253206
0.364858,0.243528
0.227297,0.380716
0.314347,0.261310
0.285330,0.307476
0.301451,0.244644
0.307362,0.351862
0.270822,0.246628
0.321870,0.298013
0.261687,0.323364
0.333692,0.274476
0.348737,0.333599
0.237507,0.344496
0.296615,0.287477
0.274584,0.236722
0.257389,0.228978
0.239119,0.200170
0.432563,0.187676
0.231596,0.335130
0.340677,0.245837
0.126814,0.289455
0.250940,0.212831
0.368619,0.232263
0.347663,0.343413
0.232133,0.362966
0.277808,0.238521
0.323482,0.312363
0.241805,0.289575
0.180011,0.238594
0.329393,0.228932
0.480387,0.363216
0.240731,0.360998
0.175443,0.280937
0.178936,0.227880
0.193278,0.185736
0.345143,0.264625
0.321870,0.323597
0.288555,0.296906
0.197206,0.272751
0.174100,0.265350
0.209027,0.198220
0.202042,0.233872
0.225148,0.265104
0.248254,0.298998
0.243955,0.267748
0.327243,0.250065
0.278345,0.286496
0.196400,0.255089
0.211714,0.260598
0.147770,0.244228
0.160666,0.222822
0.284256,0.215739
0.204191,0.274908
0.125739,0.252096
0.288555,0.214736
0.202579,0.278461
0.232986,0.240709
0.176472,0.258421
0.145621,0.237649
0.043525,0.226167
0.132187,0.168809
0.165502,0.207956
0.113917,0.203859
0.144546,0.197190
0.211177,0.196868
0.252015,0.234430
0.271359,0.207784
0.176249,0.260035
0.085975,0.202954
0.002418,0.177424
0.117679,0.132811
0.101021,0.176020
0.062332,0.148129
0.107469,0.160463
0.004299,0.153433
0.117679,0.132938
0.164428,0.144211
0.070392,0.174591
0.066631,0.138316
0.057496,0.132970
0.052660,0.117127
0.101021,0.118021
0.098872,0.130169
0.146695,0.129574
0.240731,0.139494
0.188071,0.148042
0.054272,0.141559
0.008060,0.117979
0.093767,0.105523
0.015046,0.113479
0.075228,0.094290
0.177593,0.108901
0.141859,0.132755
0.148845,0.123244
0.116067,0.130362
0.022569,0.125718
0.018807,0.105365
0.006985,0.109418
0.008329,0.095897
0.137560,0.095886
0.139710,0.115795
0.063944,0.125497
0.000000,0.112325
0.140247,0.098680
0.228372,0.119057
0.173563,0.137206
0.013434,0.125156
0.019344,0.097834
0.016120,0.097637
0.012359,0.088165
0.013434,0.094813
0.056959,0.089724
0.144009,0.104371
0.180011,0.101711
0.143471,0.118214
0.235357,0.106790
0.132187,0.141960
0.020419,0.109280
0.016658,0.100648
0.076572,0.088510
