REAL,ESTIMATE
0.121440,0.151714
0.060183,0.136102
0.022031,0.122775
0.067168,0.132717
0.245567,0.140988
0.054272,0.147630
0.150457,0.125720
0.034927,0.148435
0.128963,0.125768
0.114455,0.139672
0.018807,0.125387
0.104782,0.133615
0.286943,0.128103
0.307899,0.175061
0.166040,0.153497
0.087050,0.138278
0.132187,0.136402
0.215476,0.155937
0.321333,0.148908
0.221924,0.189564
0.149919,0.168738
0.126276,0.179768
0.164428,0.139565
0.174637,0.166668
0.175712,0.165396
0.147233,0.209456
0.153681,0.166809
0.243955,0.170302
0.153681,0.184381
0.264911,0.191842
0.334766,0.241420
0.277270,0.247447
0.264911,0.220738
0.193444,0.222018
0.118216,0.220994
0.123589,0.197073
0.216550,0.197524
0.160129,0.226348
0.171951,0.205326
0.342826,0.204876
0.174637,0.297991
0.278882,0.188664
0.403009,0.243873
0.337990,0.339531
0.368082,0.290391
0.242343,0.268247
0.334766,0.259954
0.275658,0.291712
0.211714,0.281193
0.097528,0.262897
0.365932,0.194281
0.428802,0.318350
0.505020,0.380462
0.646511,0.596048
0.351961,0.356579
0.321870,0.362477
0.225685,0.293750
0.325094,0.289801
0.349812,0.275358
0.319183,0.362078
0.518001,0.340490
0.498119,0.474068
0.341752,0.450241
0.196131,0.342355
0.184847,0.274563
0.559377,0.315053
0.307362,0.342328
0.502418,0.333034
0.227834,0.282243
0.262225,0.253467
0.358947,0.365355
0.266523,0.252595
0.396561,0.264272
0.407308,0.422163
0.474476,0.438369
0.409995,0.401147
0.324019,0.352187
0.282106,0.346615
0.335841,0.325128
0.294465,0.326013
0.117141,0.251756
0.354111,0.219100
0.350349,0.338205
0.244492,0.358148
0.278345,0.212690
0.155830,0.317009
0.323482,0.218844
0.372918,0.335562
0.621709,0.379832
0.532509,0.433518
0.458356,0.436348
0.559377,0.443661
0.463192,0.443635
0.395755,0.449250
0.353036,0.381650
0.390650,0.356371
0.375067,0.372465
0.443310,0.399019
0.472864,0.480115
0.464804,0.475064
0.587319,0.530819
0.442773,0.487002
0.436862,0.575636
0.521225,0.472104
0.437399,0.402166
0.576572,0.412489
0.511016,0.455895
0.413756,0.442620
0.351424,0.457552
0.637829,0.410550
0.612574,0.609214
0.753896,0.631460
0.888769,0.692501
0.566362,0.742219
0.380978,0.416775
0.523375,0.447447
0.601290,0.603281
0.325631,0.463278
0.385277,0.417822
0.430682,0.426274
0.468565,0.448739
0.387963,0.468973
0.486835,0.450498
0.498657,0.462298
0.587856,0.574080
0.967222,0.828185
1.000000,0.933163
0.849543,0.744942
0.580870,0.697940
0.732402,0.629388
0.693176,0.537317
0.176249,0.410692
0.318109,0.361879
0.541107,0.432786
0.454057,0.372347
0.427727,0.416366
0.464950,0.468474
0.488569,0.442613
0.341214,0.380336
0.386351,0.464017
0.303600,0.370157
0.342826,0.346055
0.495433,0.475303
0.635142,0.605415
0.701773,0.629163
0.443847,0.557382
0.682429,0.623290
0.662010,0.663099
0.506717,0.453510
0.444385,0.433002
0.414293,0.408422
0.443310,0.426780
0.347125,0.359325
0.459430,0.437623
0.498657,0.421218
0.472864,0.505575
0.391188,0.491284
0.704460,0.515510
0.684578,0.708171
0.486298,0.537641
0.630306,0.530337
0.627082,0.643765
0.310317,0.320972
0.423428,0.435430
0.319721,0.483836
0.361634,0.296119
0.527136,0.402089
0.335841,0.476752
0.076840,0.242653
0.257926,0.267917
0.691564,0.406107
0.562063,0.414559
0.399248,0.493141
0.531972,0.531558
0.607738,0.602611
0.463729,0.456231
0.287480,0.279030
0.288555,0.422172
0.209027,0.274116
0.339602,0.284112
0.191832,0.314384
0.054809,0.164502
0.143471,0.150847
0.165502,0.275928
0.102096,0.279630
0.469103,0.314889
0.701236,0.601670
0.444922,0.490033
0.463192,0.429120
0.206341,0.360005
0.088662,0.244915
0.145083,0.294607
0.201505,0.217715
0.186996,0.235996
0.157980,0.260403
0.364858,0.268719
0.200161,0.250880
0.135948,0.141140
0.351424,0.292930
0.565825,0.449723
0.352499,0.321400
0.349275,0.366586
0.638904,0.306273
0.249866,0.414327
0.226760,0.277884
0.414831,0.313225
0.346051,0.323065
0.164965,0.285139
0.250940,0.262719
0.110693,0.251883
0.210102,0.211318
0.153143,0.259043
0.460505,0.302894
0.308974,0.427468
0.350349,0.333017
0.278345,0.352258
0.332080,0.226365
0.202042,0.227346
0.291241,0.232623
0.281569,0.316159
0.327243,0.272287
0.314347,0.264702
0.355185,0.299733
0.163353,0.218350
0.196668,0.171785
0.246642,0.301184
0.284793,0.276936
0.319721,0.327328
0.314347,0.296009
0.406771,0.320812
0.479850,0.383772
0.291241,0.360645
0.298764,0.304769
0.164965,0.291370
0.240193,0.254365
0.310586,0.276442
0.410532,0.308601
0.278882,0.357128
0.170339,0.290347
0.181363,0.215681
0.374252,0.254063
0.325094,0.367520
0.263837,0.365567
0.232671,0.287897
0.239119,0.270884
0.205803,0.255324
0.254702,0.205955
0.129500,0.247013
0.274584,0.229549
0.234820,0.271507
0.082214,0.263510
0.155830,0.167390
0.196131,0.185186
0.149919,0.270508
0.269210,0.216844
0.197743,0.266612
0.328855,0.255001
0.243418,0.256809
0.193982,0.229611
0.167652,0.238165
0.254164,0.173706
0.257389,0.267506
0.278345,0.245762
0.170339,0.266190
0.241805,0.203168
0.184847,0.246814
0.207953,0.210433
0.263837,0.279879
0.204191,0.250536
0.149382,0.263227
0.295003,0.198461
0.130038,0.284140
0.160666,0.203592
0.206878,0.198929
0.170339,0.235841
0.166040,0.252320
0.201505,0.177341
0.332617,0.249858
0.339065,0.269532
0.092423,0.276724
0.059645,0.185374
0.045367,0.150625
0.163929,0.172724
0.299033,0.240220
0.547555,0.245953
0.303600,0.350519
0.138098,0.194624
0.182697,0.163081
0.267061,0.199139
0.153681,0.248671
0.041376,0.212343
0.267598,0.197407
0.170339,0.228654
0.126276,0.190680
0.377754,0.169438
0.310048,0.299020
0.186996,0.268460
0.181085,0.215065
0.113380,0.223547
0.274046,0.196988
0.221386,0.239715
0.078452,0.246149
0.116067,0.185762
0.183235,0.128993
0.098334,0.215635
0.078452,0.168821
0.025255,0.176006
0.198818,0.202551
0.192907,0.204957
0.050510,0.188557
0.048361,0.174359
0.081139,0.129082
0.097797,0.172775
0.321870,0.148945
0.249328,0.211783
0.134336,0.193105
0.267598,0.158170
0.270285,0.183024
0.255776,0.191665
0.083289,0.177878
0.180548,0.173615
0.106394,0.178860
0.027942,0.145920
0.219237,0.139645
0.174100,0.199664
0.230521,0.182671
0.110156,0.178025
0.016658,0.149941
0.261687,0.152912
0.354648,0.214228
0.227297,0.228109
0.029017,0.210148
0.211177,0.137313
0.206878,0.200288
0.098872,0.186994
0.023643,0.184074
0.173563,0.165219
0.292853,0.193907
0.145621,0.188320
0.038152,0.170413
0.029554,0.140103
0.068780,0.150924
0.128963,0.145264
0.218700,0.183890
0.282644,0.181145
0.229984,0.211744
0.090811,0.190149
0.039764,0.123842
0.022569,0.122719
0.336916,0.159070
0.304138,0.203106
0.161204,0.198477
0.081677,0.156295
0.123589,0.137621
0.276733,0.168099
0.141859,0.181625
0.043525,0.179894
0.029554,0.154998
0.095110,0.146578
0.193713,0.140760
0.303600,0.167409
0.125202,0.209395
0.284256,0.164674
0.083289,0.180540
0.025255,0.153779
0.124664,0.151026
0.128426,0.174384
0.168726,0.166564
0.029554,0.151407
0.209565,0.136945
0.378829,0.168357
0.215476,0.228931
0.034390,0.177861
0.352499,0.143488
0.277808,0.200419
0.256314,0.179244
0.102096,0.215347
0.062869,0.175055
0.192370,0.159942
0.372918,0.173883
0.218700,0.270189
0.218162,0.193084
0.397098,0.217485
0.267598,0.233243
0.160666,0.246425
0.173563,0.166930
0.384202,0.271563
0.413219,0.295599
0.154756,0.325159
0.254164,0.193816
0.199355,0.241934
0.414831,0.232539
0.378829,0.349065
0.284256,0.322440
0.263837,0.282910
0.120903,0.262744
0.322945,0.242763
0.315422,0.282736
0.303063,0.307687
0.198818,0.328156
0.464267,0.241724
0.378829,0.341217
0.111768,0.313289
0.383665,0.212724
0.262762,0.331900
0.344438,0.289708
0.467491,0.282563
0.272972,0.323334
0.139710,0.266420
0.227297,0.194453
0.336378,0.279152
0.507792,0.357562
0.470715,0.414683
0.407308,0.394692
0.350349,0.400948
0.316497,0.307216
0.295540,0.309089
0.259538,0.301587
0.185384,0.271806
0.102096,0.261678
0.191295,0.240601
0.263299,0.244009
0.238581,0.197538
0.363246,0.281544
0.314347,0.363424
0.395486,0.385472
0.263837,0.360297
0.264911,0.283246
0.270822,0.287878
0.243418,0.282844
0.389575,0.258615
0.383665,0.310852
0.307362,0.314576
0.229984,0.276024
0.264374,0.224548
0.312735,0.288611
0.133799,0.372819
0.337990,0.254292
0.225685,0.304182
0.285868,0.281025
0.252552,0.296420
0.285868,0.261910
0.262225,0.279458
0.382590,0.290340
0.359484,0.360862
0.389575,0.338458
0.590005,0.350624
0.440086,0.450754
0.478775,0.456178
0.504030,0.399061
0.378291,0.451196
0.190758,0.373934
0.291241,0.299302
0.450296,0.319677
0.360559,0.414969
0.549167,0.413560
0.535733,0.497275
0.718431,0.627909
0.350887,0.385308
0.639979,0.391655
0.691026,0.585511
0.261687,0.278805
0.183235,0.332185
0.313272,0.365081
0.382590,0.335447
0.373455,0.328266
0.253090,0.414171
0.359484,0.211421
0.445997,0.402678
0.437937,0.439499
0.315959,0.399234
0.398173,0.317708
0.515314,0.486264
0.386889,0.490602
0.358947,0.399374
0.535733,0.336978
0.671145,0.506590
0.634605,0.571480
0.496507,0.557598
0.529823,0.482924
0.752821,0.712592
0.399785,0.562702
0.578184,0.476646
0.437937,0.569355
0.531435,0.472022
0.563138,0.486469
0.501881,0.495005
0.588931,0.600717
0.498119,0.484079
0.370768,0.518983
0.378291,0.501405
0.487910,0.475954
0.432563,0.433154
0.334766,0.466754
0.571736,0.425291
0.595916,0.572412
0.512628,0.499307
0.567974,0.596126
0.536271,0.630337
0.409995,0.449045
0.560989,0.452784
0.673831,0.512355
0.505642,0.554625
0.428264,0.504303
0.455669,0.521297
0.430682,0.541534
0.590005,0.527285
0.653412,0.618088
0.620634,0.543211
0.522837,0.532626
0.390113,0.391836
0.351424,0.471650
0.497582,0.443898
0.545943,0.428123
0.328318,0.482732
0.411607,0.401044
0.404621,0.474570
0.508329,0.385792
0.429339,0.458502
0.334229,0.402524
0.409457,0.355014
0.457818,0.495074
0.428264,0.531193
0.439549,0.354402
0.418592,0.401549
0.510478,0.395027
0.597528,0.452662
0.398173,0.488738
0.503493,0.470902
0.505105,0.527102
0.379903,0.466625
0.367007,0.459925
0.373992,0.395163
0.325094,0.360902
0.311123,0.307093
0.297689,0.367093
0.094035,0.303935
0.333692,0.184230
0.526599,0.340008
0.405159,0.474992
0.289092,0.331397
0.255776,0.387117
0.289092,0.258299
0.293928,0.266383
0.088662,0.201640
0.173563,0.188622
0.142397,0.178636
0.197206,0.253551
0.096722,0.172296
0.142934,0.090928
0.109618,0.176998
0.054809,0.205034
0.267598,0.213523
0.328318,0.339778
0.554003,0.310023
0.452445,0.352818
0.434175,0.316075
0.386351,0.281898
0.241805,0.271819
0.220312,0.267413
0.359484,0.257454
0.259538,0.269882
0.312735,0.260595
0.201505,0.333582
0.250940,0.253859
0.249328,0.303720
0.391725,0.301729
