E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.570256,0.422173,0.038073,0.034335
10,4,0.8,6,0.606504,0.311189,0.036432,0.037488
10,4,0.8,7,0.602932,0.466271,0.036597,0.032999
10,4,0.8,8,0.641882,0.417805,0.034756,0.034465
10,4,0.8,9,0.659225,0.369099,0.033904,0.035877
10,4,0.8,10,0.673461,0.332268,0.033188,0.036910
10,4,0.8,11,0.696569,0.110420,0.031992,0.042602
10,4,0.8,12,0.718059,0.446676,0.030838,0.033599
10,4,0.8,13,0.668577,0.362807,0.033435,0.036056
10,4,0.8,14,0.623176,0.425532,0.035652,0.034235
10,4,0.8,15,0.596485,0.410623,0.036893,0.034677
