REAL,ESTIMATE
27.000000,44.637430
28.000000,27.476943
23.000000,28.845956
26.000000,26.006664
25.000000,25.070880
28.000000,26.988458
34.000000,30.479245
40.000000,35.378172
51.000000,40.754813
56.000000,50.896359
41.000000,55.397605
35.000000,41.140909
42.000000,35.140553
47.000000,41.169400
43.000000,46.632435
45.000000,43.138606
43.000000,45.309694
46.000000,42.865907
48.000000,46.001274
34.000000,47.029333
40.000000,33.944609
38.000000,39.329581
42.000000,37.447737
40.000000,41.456477
46.000000,39.588758
46.000000,45.739848
45.000000,46.056853
49.000000,45.456614
40.000000,48.997474
44.000000,40.597561
40.000000,44.604148
49.000000,40.877023
42.000000,49.278578
46.000000,42.753857
66.000000,46.743397
42.000000,65.498497
42.000000,42.451881
43.000000,42.287601
33.000000,43.323279
43.000000,34.169579
31.000000,43.001476
30.000000,31.632527
35.000000,31.203160
46.000000,36.467308
50.000000,47.296599
50.000000,50.086244
45.000000,49.776578
46.000000,45.455491
49.000000,46.076080
42.000000,48.988028
40.000000,42.165136
53.000000,40.231166
48.000000,52.804724
49.000000,48.936122
61.000000,49.397701
73.000000,60.488226
76.000000,71.933929
89.000000,74.135327
75.000000,87.294069
91.000000,72.918388
70.000000,88.937176
64.000000,69.096724
71.000000,63.022247
95.000000,70.332146
92.000000,92.903367
88.000000,89.556376
97.000000,85.978608
111.000000,94.476141
124.000000,107.942815
120.000000,120.355648
117.000000,117.825704
102.000000,114.762012
102.000000,100.356250
102.000000,100.353531
92.000000,99.808882
107.000000,90.188531
92.000000,104.384046
86.000000,90.699432
97.000000,84.352607
96.000000,94.905255
102.000000,94.825178
82.000000,100.075869
77.000000,80.800458
78.000000,75.299668
93.000000,75.913184
101.000000,90.021746
95.000000,97.700328
88.000000,91.307129
89.000000,85.317615
81.000000,86.807025
92.000000,79.595548
105.000000,89.769360
109.000000,102.140401
95.000000,106.288308
90.000000,92.056801
91.000000,87.001974
80.000000,87.771578
76.000000,77.518020
75.000000,73.870558
88.000000,73.018637
78.000000,85.715293
103.000000,76.347021
103.000000,100.627888
96.000000,100.937955
95.000000,93.635427
100.000000,92.997228
108.000000,97.698809
98.000000,105.793369
95.000000,95.958231
75.000000,93.631331
48.000000,74.129494
35.000000,48.348395
30.000000,36.492141
33.000000,32.075814
35.000000,34.808512
30.000000,36.815752
28.000000,32.394400
30.000000,30.336376
24.000000,31.741380
19.000000,25.811342
17.000000,21.103934
14.000000,19.475193
17.000000,17.247657
15.000000,20.104021
16.000000,18.182975
21.000000,19.148447
17.000000,23.418059
27.000000,19.826985
24.000000,29.208923
26.000000,25.387373
24.000000,26.930720
25.000000,24.043042
16.000000,24.836532
19.000000,16.820602
15.000000,19.254745
18.000000,16.375431
20.000000,18.576786
15.000000,20.395764
12.000000,16.605505
12.000000,14.344152
22.000000,14.481206
22.000000,23.551875
22.000000,23.469090
17.000000,23.688464
25.000000,18.896792
21.000000,26.342744
18.000000,22.741936
13.000000,19.548839
27.000000,14.558684
25.000000,27.517618
23.000000,25.951974
28.000000,23.798578
23.000000,28.320668
25.000000,23.534379
22.000000,25.830580
25.000000,22.815983
46.000000,25.348643
45.000000,44.726959
43.000000,43.568758
38.000000,42.243625
36.000000,37.338428
50.000000,35.133009
44.000000,48.310330
40.000000,43.177289
62.000000,39.301694
53.000000,59.748098
56.000000,51.351344
64.000000,54.607495
78.000000,62.154147
63.000000,75.269093
46.000000,60.988469
45.000000,45.461243
54.000000,44.244270
58.000000,52.931248
54.000000,56.584061
58.000000,53.134428
61.000000,56.666109
56.000000,59.890446
33.000000,54.895103
26.000000,33.452589
33.000000,27.055000
32.000000,33.445487
43.000000,33.009644
43.000000,43.080631
57.000000,42.169471
43.000000,54.983871
35.000000,43.030053
50.000000,35.777103
50.000000,48.668845
44.000000,48.180406
