REAL,ESTIMATE
53.000000,49.415624
54.000000,52.354337
52.000000,54.913123
55.000000,52.173652
71.000000,54.226193
62.000000,69.436295
47.000000,60.210498
54.000000,45.376400
91.000000,53.458433
94.000000,90.634138
114.000000,92.651755
130.000000,113.162374
143.000000,128.668212
154.000000,142.382571
135.000000,154.912878
158.000000,134.304153
154.000000,157.380818
145.000000,154.373798
135.000000,147.214852
133.000000,137.818657
154.000000,137.250082
149.000000,161.954645
141.000000,155.918030
134.000000,145.455913
156.000000,136.551483
184.000000,164.169773
181.000000,199.393070
189.000000,193.429904
171.000000,200.243697
166.000000,177.648764
119.000000,171.280683
88.000000,118.101730
45.000000,84.902371
41.000000,44.091376
50.000000,38.282031
84.000000,43.750109
95.000000,77.561371
121.000000,90.166390
124.000000,121.858943
159.000000,122.674155
147.000000,165.276784
131.000000,149.253783
121.000000,128.476483
122.000000,118.296748
129.000000,116.574426
127.000000,124.760805
127.000000,121.087896
123.000000,123.232838
121.000000,119.325545
129.000000,117.662212
126.000000,127.750325
73.000000,126.730162
55.000000,66.210345
61.000000,48.734041
53.000000,56.481074
69.000000,47.917558
58.000000,65.988355
66.000000,51.790424
66.000000,60.331533
66.000000,60.414258
55.000000,61.347057
46.000000,50.424461
54.000000,40.621645
58.000000,48.120960
55.000000,52.175483
55.000000,48.075838
52.000000,49.109106
48.000000,45.825088
47.000000,42.281430
43.000000,41.666460
42.000000,37.832037
45.000000,39.007740
44.000000,46.028121
47.000000,46.240402
49.000000,49.752027
68.000000,53.378538
54.000000,70.662114
60.000000,55.116117
54.000000,58.297883
50.000000,52.232615
43.000000,46.273669
46.000000,38.637287
57.000000,40.609611
61.000000,52.717798
70.000000,57.676883
61.000000,65.976607
61.000000,55.949213
60.000000,57.820778
67.000000,58.360775
81.000000,65.981647
82.000000,80.131299
78.000000,82.198727
82.000000,77.681348
79.000000,83.610918
81.000000,92.179292
99.000000,77.325597
103.000000,91.416388
99.000000,98.051713
99.000000,95.998603
90.000000,105.915380
100.000000,101.937974
104.000000,113.697857
95.000000,113.020618
86.000000,95.437810
75.000000,84.596382
88.000000,74.126975
104.000000,89.178440
69.000000,105.707093
92.000000,66.756989
100.000000,90.218881
113.000000,97.885317
111.000000,110.991009
112.000000,107.481413
114.000000,108.971265
126.000000,109.653717
134.000000,123.411340
129.000000,131.961926
136.000000,124.631450
129.000000,132.996408
130.000000,126.164921
128.000000,127.585623
124.000000,126.160649
128.000000,121.434574
123.000000,126.001815
127.000000,124.037312
118.000000,128.586507
118.000000,119.393026
125.000000,119.518700
135.000000,126.144561
154.000000,137.447855
186.000000,158.123936
224.000000,194.653510
221.000000,239.445222
212.000000,235.605624
189.000000,226.345839
153.000000,197.279419
134.000000,155.585596
138.000000,134.964801
136.000000,139.677341
138.000000,139.334291
149.000000,142.116704
130.000000,157.677451
128.000000,134.378630
156.000000,130.940710
160.000000,164.584594
148.000000,167.874374
148.000000,153.088369
150.000000,152.412669
156.000000,151.883939
153.000000,156.094323
133.000000,147.214237
126.000000,124.548186
138.000000,118.905885
181.000000,136.023100
217.000000,192.276807
183.000000,235.908868
119.000000,194.493793
100.000000,118.728482
89.000000,99.462689
70.000000,90.839748
