REAL,ESTIMATE
0.127479,0.096894
0.133144,0.118941
0.124646,0.118303
0.135977,0.125920
0.155807,0.133659
0.101983,0.138729
0.090652,0.109992
0.093484,0.112373
0.141643,0.102731
0.220963,0.133758
0.167139,0.166472
0.220963,0.142858
0.192635,0.187547
0.101983,0.175173
0.059490,0.138200
0.107649,0.100981
0.138810,0.117370
0.192635,0.137232
0.184136,0.160533
0.175637,0.165733
0.110482,0.172675
0.073654,0.137498
0.110482,0.106910
0.092068,0.112181
0.113314,0.097410
0.093484,0.123691
0.073654,0.108412
0.053824,0.109687
0.048159,0.096527
0.031161,0.073267
0.070822,0.062682
0.101983,0.090411
0.087819,0.104237
0.082153,0.107215
0.150142,0.106339
0.104816,0.122377
0.033994,0.098811
0.048159,0.080589
0.070822,0.074312
0.101983,0.091581
0.133144,0.104654
0.127479,0.104097
0.133144,0.104938
0.150142,0.123898
0.141643,0.122027
0.138810,0.112697
0.121813,0.123724
0.104816,0.119263
0.090652,0.117347
0.053824,0.120484
0.059490,0.093640
0.065156,0.083414
0.101983,0.083378
0.116147,0.100070
0.096317,0.108319
0.133144,0.109557
0.127479,0.124258
0.085279,0.122241
0.042200,0.105927
0.093484,0.084062
0.065156,0.105368
0.065156,0.093185
0.059490,0.095387
0.133144,0.080773
0.141643,0.114807
0.240793,0.113426
0.164306,0.156577
0.178470,0.124299
0.201133,0.169329
0.201133,0.160319
0.226629,0.192197
0.212465,0.188427
0.135977,0.186708
0.144476,0.144221
0.113314,0.156776
0.084986,0.129059
0.093484,0.111805
0.082153,0.104949
0.093484,0.105661
0.081860,0.118549
0.119273,0.087051
0.101983,0.120167
0.113314,0.112860
0.169972,0.125057
0.201133,0.144922
0.328612,0.173298
0.220963,0.237595
0.096317,0.192051
0.039660,0.130853
0.036827,0.101569
0.039660,0.091658
0.070822,0.068992
0.099150,0.073948
0.062323,0.098744
0.070822,0.104762
0.067989,0.108547
0.152975,0.071758
0.110482,0.105875
0.084986,0.096399
0.056657,0.108877
0.070822,0.104431
0.087819,0.110413
0.121813,0.096023
0.090652,0.097159
0.056657,0.083446
0.079320,0.091423
0.039660,0.097548
0.118980,0.077437
0.121813,0.097222
0.138810,0.089521
0.093484,0.117455
0.181303,0.115390
0.155807,0.151254
0.131728,0.124763
0.100567,0.126816
0.107649,0.098292
0.141643,0.124133
0.147309,0.139362
0.147309,0.134956
0.198300,0.126410
0.232295,0.167352
0.195467,0.175360
0.135977,0.183572
0.099150,0.148905
0.155807,0.135739
0.150142,0.169051
0.175637,0.149442
0.141643,0.169309
0.087819,0.144973
0.178470,0.120925
0.212465,0.172314
0.201133,0.180336
0.158640,0.183761
0.178470,0.166696
0.186969,0.201655
0.297450,0.201907
0.167139,0.281256
0.209632,0.175491
0.107649,0.212278
0.133144,0.136844
0.212465,0.197744
0.161473,0.196564
0.198300,0.168756
