REAL,ESTIMATE
0.399433,0.439823
0.481586,0.425304
0.419263,0.356123
0.757790,0.673484
0.589235,0.571157
0.589235,0.540092
0.478754,0.507150
0.334278,0.308986
0.229462,0.274107
0.441926,0.321452
0.254958,0.384763
0.322946,0.268326
0.356941,0.429215
0.246459,0.351183
0.203966,0.282729
0.184136,0.198605
0.158640,0.239667
0.175637,0.217877
0.314448,0.220544
0.269122,0.328277
0.201133,0.203231
0.121813,0.155392
0.127479,0.137308
0.155807,0.242591
0.161473,0.157463
0.175637,0.154006
0.155807,0.187612
0.130312,0.157386
0.246459,0.135334
0.478754,0.272392
0.407932,0.290423
0.192635,0.264256
0.201133,0.187202
0.365439,0.259260
0.376771,0.468198
0.546742,0.528726
0.594901,0.616311
1.000000,0.782871
0.762040,0.708971
0.643059,0.642918
0.730878,0.619070
0.563739,0.533921
0.450425,0.476983
0.192635,0.206616
0.577904,0.609090
0.810198,0.706013
0.243626,0.359756
0.291785,0.291109
0.263456,0.306541
0.376771,0.383355
0.215297,0.244509
0.300283,0.295358
0.441926,0.329522
0.279037,0.254627
0.133144,0.082910
0.178470,0.169346
0.331445,0.220688
0.365439,0.248169
0.203966,0.246947
0.209632,0.235549
0.271955,0.252002
0.155807,0.246768
0.099150,0.137480
0.308782,0.176788
0.339943,0.322526
0.280453,0.367980
0.226629,0.255478
0.198300,0.217472
0.430595,0.354267
0.495751,0.374778
0.271955,0.319350
0.201133,0.246027
0.427762,0.236737
0.371105,0.459775
0.634561,0.531926
0.351275,0.499225
0.172805,0.188197
0.223796,0.162949
0.167139,0.319414
0.348442,0.306640
0.450425,0.354037
0.223796,0.359054
0.209632,0.201483
0.300283,0.192083
0.334278,0.363077
0.249292,0.276665
0.515581,0.278975
0.277620,0.315284
0.541076,0.414305
0.283286,0.287138
0.209632,0.246265
0.155807,0.234988
0.164306,0.180465
0.257790,0.220846
0.373938,0.278150
0.626062,0.497634
0.487252,0.501106
0.609065,0.393834
0.430595,0.542197
0.161473,0.297427
0.107649,0.059793
0.118980,0.205367
0.133144,0.283858
0.320113,0.226628
0.351275,0.330673
0.203966,0.288454
0.266289,0.238208
0.161473,0.257823
0.269122,0.175491
0.240793,0.286116
0.178470,0.290385
0.393768,0.247883
0.215297,0.207317
0.116147,0.198186
0.243626,0.190285
0.450425,0.335822
0.467422,0.360643
0.246459,0.271044
0.413598,0.275957
0.586402,0.329389
0.393768,0.432196
0.410765,0.436703
0.229462,0.272149
0.185552,0.203227
0.447592,0.325055
0.368272,0.326068
0.337110,0.373855
0.203966,0.244678
0.235127,0.218660
0.396601,0.270766
0.339943,0.355828
0.461756,0.384913
0.419263,0.322692
0.410765,0.352081
0.317280,0.413056
0.203966,0.308519
0.164306,0.218498
0.118980,0.185150
0.096317,0.135824
0.144476,0.129555
0.323719,0.240835
0.179114,0.284300
0.201133,0.198126
0.158640,0.220274
0.118980,0.201287
0.138810,0.163386
0.169972,0.153472
0.271955,0.205219
0.209632,0.228061
0.240793,0.183810
0.297450,0.257578
0.167139,0.309194
0.181303,0.236663
0.130312,0.167736
0.107649,0.141567
0.084986,0.186981
0.116147,0.084226
0.141643,0.137920
0.169972,0.134291
0.164306,0.141232
0.107649,0.146317
0.135977,0.128682
0.164306,0.171557
0.184136,0.188057
0.164306,0.184217
0.184136,0.168852
0.079320,0.168918
0.067989,0.099851
0.161473,0.100343
0.070822,0.144769
0.067989,0.090500
0.116147,0.104147
0.079320,0.134386
0.090652,0.106705
0.138810,0.114989
0.158640,0.121678
0.104816,0.138052
0.135977,0.128765
0.107649,0.135345
0.144476,0.108462
0.118980,0.137395
0.084986,0.111070
0.065156,0.098747
0.065156,0.104561
0.130312,0.108311
0.079320,0.118483
0.070822,0.110738
0.050992,0.104087
0.056657,0.095171
0.053824,0.098534
0.070822,0.093779
0.096317,0.093833
0.070822,0.102751
0.082153,0.102687
0.087819,0.095431
0.084986,0.097740
0.090652,0.090010
0.070822,0.097809
0.070822,0.092055
0.076487,0.095427
0.073654,0.099727
0.147309,0.090782
