E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,2,0.8,5,0.466645,0.324704,0.111239,0.148320
11,2,0.8,6,0.485551,0.338994,0.109250,0.146742
11,2,0.8,7,0.513958,0.363117,0.106190,0.144040
11,2,0.8,8,0.528263,0.351701,0.104616,0.145325
11,2,0.8,9,0.523166,0.342124,0.105180,0.146394
11,2,0.8,10,0.563635,0.228881,0.100617,0.158494
11,2,0.8,11,0.580787,0.257098,0.098620,0.155567
11,2,0.8,12,0.580944,0.269079,0.098602,0.154308
11,2,0.8,13,0.585089,0.196204,0.098113,0.161817
11,2,0.8,14,0.605775,0.248652,0.095636,0.156449
11,2,0.8,15,0.604651,0.251160,0.095772,0.156188
