REAL,ESTIMATE
0.337580,0.197569
0.457537,0.325412
0.673036,0.439904
0.513800,0.509924
0.234076,0.383172
0.488323,0.237745
0.303609,0.391811
0.557856,0.334112
0.318471,0.451552
0.341295,0.380982
0.428344,0.372817
0.329618,0.382438
0.116773,0.270042
0.127919,0.224293
0.325372,0.239130
0.489915,0.403404
0.290870,0.410332
0.222399,0.283211
0.179936,0.271491
0.288217,0.318261
0.318471,0.277304
0.409766,0.309290
0.408705,0.338379
0.326964,0.319128
0.440552,0.418631
0.565817,0.393695
0.532909,0.609332
0.249469,0.475866
0.376327,0.255516
0.451168,0.403391
0.383758,0.429467
0.555202,0.283565
0.559979,0.533039
0.761146,0.510772
0.829087,0.744600
0.793259,0.787151
0.634820,0.560215
0.525478,0.465557
0.453291,0.384243
0.159236,0.252835
0.481953,0.557790
0.621550,0.524889
0.084926,0.100789
0.166667,0.150632
0.180998,0.277758
0.390127,0.199448
0.150743,0.286700
0.251592,0.235550
0.391720,0.264193
0.551752,0.426398
0.194268,0.475781
0.298832,0.229638
0.292463,0.287061
0.291401,0.275846
0.356157,0.342752
0.322718,0.321276
0.412951,0.351067
0.299098,0.365746
0.163482,0.283621
0.343949,0.256439
0.330149,0.296303
0.394374,0.365986
0.317941,0.339842
0.472930,0.290175
0.520170,0.345686
0.357219,0.455081
0.433121,0.346171
0.225053,0.326848
0.543524,0.307266
0.566348,0.600214
0.587049,0.573141
0.449045,0.467473
0.167197,0.305597
0.202760,0.262757
0.093418,0.258834
0.276539,0.220291
0.501592,0.340782
0.469214,0.456297
0.506369,0.465351
0.460191,0.436958
0.664013,0.587177
0.476645,0.481822
0.484076,0.441471
0.329087,0.306130
0.375265,0.392909
0.531316,0.408562
0.376327,0.470297
0.246815,0.402863
0.113057,0.336027
0.289278,0.319484
0.416136,0.378469
0.379512,0.312116
0.437898,0.310004
0.567410,0.565820
0.545117,0.552156
0.190552,0.252561
0.170382,0.207895
0.175690,0.256853
0.249469,0.285613
0.210191,0.368278
0.239384,0.275945
0.097134,0.286395
0.199045,0.201601
0.033970,0.308906
0.168790,0.146506
0.168259,0.197705
0.148620,0.231273
0.368896,0.236248
0.410828,0.268932
0.050955,0.309557
0.071125,0.156452
0.208599,0.167444
0.169321,0.204266
0.149151,0.234418
0.306263,0.218312
0.401274,0.303839
0.286624,0.235429
0.378981,0.248784
0.371550,0.254067
0.142781,0.288561
0.270701,0.208976
0.253715,0.315021
0.201699,0.212402
0.084395,0.221211
0.098195,0.182544
0.101911,0.177084
0.199045,0.173407
0.232484,0.238215
0.374735,0.244936
0.309979,0.292787
0.227707,0.240867
0.499469,0.237846
0.211783,0.328211
0.063694,0.235906
0.105096,0.185513
0.185244,0.194835
0.249469,0.219268
0.086518,0.266303
0.251592,0.186480
0.271762,0.233326
0.298301,0.226639
0.181529,0.280207
0.122081,0.198328
0.092357,0.191347
0.048301,0.185200
0.196391,0.154919
0.216561,0.169740
0.161359,0.213153
0.064756,0.199941
0.186306,0.160724
0.202760,0.200024
0.121019,0.184678
0.208068,0.202057
0.142781,0.229616
0.202760,0.154192
0.175159,0.176943
0.161890,0.176122
0.050425,0.183973
0.085456,0.137798
0.229299,0.175999
0.207537,0.195715
0.140658,0.185145
0.204883,0.178547
0.199575,0.193889
0.351911,0.159223
0.158705,0.213517
0.221868,0.189962
0.175690,0.231067
0.153397,0.179804
0.097134,0.182794
0.075902,0.146336
0.097134,0.163938
0.054671,0.155970
0.042197,0.152883
0.089703,0.125294
0.070594,0.142639
0.064225,0.133025
0.126327,0.145404
0.102442,0.128302
0.077495,0.129451
0.143312,0.135358
0.000000,0.157287
0.208068,0.098484
0.358280,0.159473
0.121550,0.185344
0.007431,0.154488
0.107219,0.102412
0.299363,0.139015
0.171444,0.134903
0.132166,0.150256
0.257431,0.161565
0.251592,0.162412
0.062633,0.130236
0.050955,0.122645
0.147558,0.119568
0.102972,0.153904
0.242569,0.138979
0.389597,0.189297
0.179406,0.189092
0.052017,0.163610
0.047240,0.143547
0.125265,0.137780
0.143843,0.106319
0.264331,0.186890
0.312633,0.297049
0.284501,0.200006
0.246285,0.166616
0.323248,0.188152
0.130573,0.243366
0.310510,0.176870
0.418790,0.280160
0.239915,0.318289
0.109342,0.222963
0.127919,0.161018
0.267516,0.183844
0.227707,0.216663
0.191083,0.240045
0.150743,0.266778
0.246815,0.182060
0.369958,0.231224
0.284501,0.278635
0.242038,0.229217
0.372611,0.242545
0.268577,0.322396
0.175159,0.292129
0.144904,0.214278
0.269108,0.204842
0.267516,0.286757
0.238323,0.289474
0.142781,0.257512
0.085456,0.184884
0.262739,0.147173
0.318471,0.262990
0.479830,0.270779
0.279193,0.340228
0.118365,0.255172
0.242038,0.208565
0.326433,0.253747
0.412951,0.275893
0.329618,0.377724
0.496285,0.336184
0.498938,0.371113
0.408174,0.439791
0.467091,0.345046
0.416136,0.398594
0.273355,0.430417
0.473992,0.345939
0.358280,0.469509
0.206476,0.358631
0.268577,0.203176
0.453822,0.306015
0.219214,0.373837
0.218153,0.325503
0.310510,0.250915
0.188960,0.235621
0.253185,0.254972
0.098726,0.291297
0.263270,0.139544
0.402866,0.285482
0.602972,0.467903
0.567941,0.543274
0.379777,0.394255
0.268047,0.232840
0.355626,0.266101
0.131104,0.382989
0.252123,0.239388
0.389066,0.375229
0.227707,0.402753
0.408174,0.252470
0.563694,0.391870
0.499469,0.488458
0.492038,0.451905
0.308917,0.331770
0.252654,0.364480
0.415074,0.261993
0.468684,0.428475
0.438429,0.527006
0.231953,0.439021
0.229299,0.339133
0.634820,0.377858
0.926752,0.751923
1.000000,0.907391
0.728769,0.685987
0.373673,0.427718
0.084395,0.307265
0.169851,0.147719
0.440552,0.403772
0.483546,0.543578
0.463907,0.447998
0.413482,0.378120
0.660828,0.500947
0.356688,0.490658
0.674628,0.639555
0.609342,0.525067
0.088907,0.314111
0.113057,0.229657
0.440021,0.309945
0.381635,0.343808
0.533439,0.393160
0.282378,0.284634
0.398620,0.316622
0.657643,0.576621
0.692675,0.635880
0.589172,0.598349
0.548301,0.508556
0.440021,0.363718
0.530786,0.398535
0.364650,0.362622
0.359873,0.457293
0.556263,0.420265
0.444798,0.431296
0.336518,0.470859
0.302017,0.407778
0.066879,0.164902
0.119427,0.152887
0.334395,0.218886
0.199575,0.276690
0.154459,0.178832
0.179406,0.244046
0.347665,0.243724
0.339172,0.468263
0.544055,0.415517
0.630573,0.396404
0.238854,0.388166
0.383758,0.393814
0.132166,0.289029
0.298832,0.216566
0.414013,0.341247
0.122081,0.454715
0.059979,0.280228
0.326433,0.276371
0.569002,0.346568
0.188960,0.423661
0.166136,0.205484
0.406051,0.259912
0.659236,0.367679
0.419321,0.482327
0.174098,0.340171
0.352972,0.259622
0.618896,0.400265
0.677813,0.602143
0.579087,0.592287
0.463907,0.442011
0.295117,0.279799
0.041401,0.279625
0.178875,0.188914
0.393312,0.223957
0.501592,0.419973
0.637473,0.520880
0.171975,0.449121
0.206476,0.205083
0.414544,0.403179
0.576964,0.419587
0.421975,0.273370
0.174628,0.256612
0.447983,0.373841
0.695860,0.551098
0.670382,0.656810
0.587049,0.482426
0.307856,0.435982
0.218684,0.356119
0.360934,0.354744
0.269108,0.267220
0.529193,0.446019
0.599257,0.547500
0.506369,0.438907
0.450106,0.470780
0.460191,0.507763
0.497877,0.408846
0.317410,0.557068
0.174628,0.264637
0.361465,0.254388
0.529724,0.378184
0.245223,0.361991
0.315287,0.322072
0.395966,0.352843
0.628981,0.496547
0.757431,0.865893
0.666667,0.670268
0.466561,0.556269
0.481157,0.397048
0.486730,0.428570
0.066348,0.234940
0.306263,0.313934
0.546709,0.485564
0.594480,0.471327
0.202229,0.299174
0.361465,0.341592
0.597665,0.508990
0.541932,0.518000
0.452760,0.474936
0.274947,0.204919
0.252123,0.345580
0.444268,0.493578
0.469745,0.438546
0.438960,0.397921
0.238323,0.358831
0.277601,0.346513
0.428875,0.431565
0.511146,0.528306
0.153928,0.157904
0.257696,0.259826
0.511146,0.305620
0.231423,0.342898
0.416136,0.296890
0.338110,0.348313
0.131635,0.302035
0.447452,0.287449
0.609342,0.530510
0.659766,0.547584
0.673567,0.577242
0.252654,0.259118
0.083864,0.300313
0.242038,0.220013
0.233546,0.354077
0.263270,0.355921
0.333333,0.282224
0.442675,0.373732
0.550425,0.566503
0.669321,0.570285
0.355096,0.562579
0.331227,0.356359
0.558635,0.393607
0.772824,0.550569
0.359873,0.388100
0.255308,0.397543
0.575934,0.347736
0.529427,0.504673
0.435775,0.424016
0.406582,0.472529
0.447452,0.522001
0.230361,0.306551
0.401805,0.293686
0.399682,0.270480
0.169321,0.196343
0.075902,0.279168
0.187898,0.276187
0.135881,0.202637
0.156582,0.231562
0.149151,0.131388
0.149682,0.198284
0.150212,0.269556
0.368365,0.258520
0.350849,0.326741
0.344480,0.276501
0.219745,0.285959
0.088376,0.225461
0.341295,0.204578
0.287686,0.310052
0.227707,0.315666
0.274947,0.258657
0.627389,0.282984
0.281316,0.460347
0.261677,0.278416
0.410828,0.261677
0.309979,0.363842
0.391720,0.267452
0.288747,0.363158
0.385350,0.350153
0.305202,0.332847
0.403928,0.296421
0.535563,0.411524
0.333333,0.404504
0.407113,0.382117
0.430998,0.335296
0.286093,0.332024
0.205414,0.244774
0.108280,0.269461
0.145435,0.225709
0.326699,0.185365
0.455945,0.392413
0.318471,0.397438
0.231953,0.250466
0.274416,0.273152
0.227707,0.317440
0.064225,0.268097
0.097134,0.167923
0.133227,0.197365
0.325902,0.203356
0.283970,0.374482
0.250531,0.300132
0.323248,0.226011
0.142251,0.239855
0.135350,0.239658
0.228769,0.207221
0.313163,0.237635
0.395435,0.309820
