REAL,ESTIMATE
0.231953,0.208501
0.271762,0.201401
0.188960,0.221111
0.160297,0.179133
0.226115,0.143111
0.254246,0.184438
0.196921,0.228872
0.412420,0.214740
0.365180,0.312006
0.241507,0.302375
0.125265,0.209989
0.138004,0.187967
0.159766,0.229385
0.092357,0.213096
0.124735,0.213485
0.235669,0.217753
0.406582,0.202225
0.335456,0.328069
0.128450,0.295795
0.325902,0.201418
0.149682,0.309264
0.244692,0.224518
0.230892,0.266956
0.297771,0.248932
0.283970,0.287611
0.035032,0.239980
0.186837,0.181106
0.152866,0.222426
0.174628,0.226754
0.182059,0.256050
0.176752,0.242659
0.226115,0.206331
0.113057,0.218930
0.314225,0.181649
0.374735,0.257405
0.256369,0.285095
0.108280,0.261740
0.246815,0.192765
0.308386,0.247954
0.168259,0.249989
0.428875,0.226978
0.527070,0.331806
0.515393,0.384414
0.484076,0.356694
0.499469,0.357925
0.268577,0.387928
0.281316,0.258243
0.274947,0.332556
0.111996,0.339632
0.183917,0.223279
0.161890,0.236837
0.133758,0.234914
0.106157,0.237054
0.213376,0.228269
0.492569,0.279596
0.562102,0.384417
0.591295,0.399112
0.540870,0.328723
0.092357,0.395146
0.173036,0.200678
0.137473,0.234796
0.132166,0.235102
0.346072,0.262975
0.618896,0.294794
0.842357,0.445024
0.711253,0.499922
0.634820,0.450792
0.484607,0.340775
0.569533,0.365273
0.556794,0.343376
0.512739,0.495508
0.488323,0.345473
0.278662,0.355906
0.219745,0.221247
0.321125,0.302980
0.341295,0.365774
0.131635,0.447988
0.230892,0.264533
0.227707,0.280395
0.145170,0.215567
0.329618,0.212974
0.534501,0.289510
0.533970,0.352317
0.686306,0.384646
0.805202,0.503170
0.812102,0.444228
0.451168,0.467423
0.241507,0.342437
0.157113,0.277443
0.229299,0.249549
0.380573,0.294188
0.552548,0.391615
0.354565,0.421263
0.357749,0.346305
0.381635,0.361592
0.340234,0.355700
0.385350,0.264571
0.334660,0.208009
0.206476,0.416870
0.276008,0.486474
0.391720,0.272605
0.498938,0.441964
0.348195,0.554980
0.216030,0.418211
0.239384,0.356918
0.212314,0.365312
0.107219,0.204937
0.191614,0.156369
0.460191,0.261944
0.381635,0.392162
0.433121,0.440378
0.609873,0.406544
0.379512,0.534423
0.134289,0.400437
0.272293,0.248502
0.357219,0.302403
0.393843,0.324616
0.623673,0.378116
0.788217,0.507562
0.838110,0.586554
0.572187,0.515124
0.274947,0.475627
0.421444,0.304348
0.512739,0.392311
0.540074,0.524730
0.273885,0.577824
0.089172,0.280942
0.084395,0.202996
0.463907,0.244372
0.514331,0.490039
0.515393,0.436822
0.460722,0.521725
0.452229,0.436702
0.485669,0.448612
0.354034,0.282475
0.179936,0.304168
0.279724,0.270351
0.091826,0.326669
0.212845,0.220329
0.493631,0.261884
0.543259,0.318482
0.520170,0.547797
