E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,3,0.8,5,0.719212,0.603288,0.084706,0.075827
10,3,0.8,6,0.747259,0.609719,0.080364,0.075210
10,3,0.8,7,0.736328,0.557214,0.082083,0.080109
10,3,0.8,8,0.758424,0.622294,0.078569,0.073988
10,3,0.8,9,0.771542,0.625107,0.076406,0.073712
10,3,0.8,10,0.769125,0.615365,0.076809,0.074664
10,3,0.8,11,0.782647,0.598974,0.074526,0.076238
10,3,0.8,12,0.791000,0.596993,0.073080,0.076426
10,3,0.8,13,0.798684,0.603903,0.071724,0.075768
10,3,0.8,14,0.798550,0.564314,0.071747,0.079464
10,3,0.8,15,0.809894,0.567039,0.069698,0.079216
