REAL,ESTIMATE
0.054868,0.112332
0.161377,0.084267
0.122647,0.156206
0.039268,0.114409
0.081226,0.092570
0.276493,0.103339
0.289941,0.151906
0.151157,0.164227
0.058096,0.134953
0.158687,0.105640
0.209790,0.120372
0.279182,0.165806
0.230769,0.195475
0.197418,0.147156
0.094675,0.149882
0.129640,0.124818
0.212480,0.147929
0.173211,0.160474
0.134481,0.167513
0.184508,0.157214
0.292630,0.170973
0.161377,0.208372
0.200108,0.150229
0.290479,0.175107
0.259279,0.224670
0.231307,0.212793
0.144164,0.200894
0.132867,0.160291
0.105433,0.147171
0.195804,0.165196
0.193115,0.224252
0.156536,0.197431
0.321678,0.191176
0.225928,0.273276
0.262507,0.212019
0.400753,0.236149
0.326520,0.284284
0.322216,0.249801
0.202797,0.254431
0.329209,0.232359
0.274341,0.260278
0.229155,0.240288
0.092523,0.274735
0.389457,0.182789
0.417967,0.334055
0.462076,0.357816
0.505110,0.402476
0.334588,0.374676
0.299623,0.322056
0.213556,0.262418
0.271920,0.255726
0.412587,0.312920
0.322754,0.373106
0.490048,0.362700
0.419042,0.457270
0.321140,0.376484
0.221625,0.329409
0.273803,0.301887
0.550834,0.317741
0.329209,0.480346
0.447552,0.366010
0.212480,0.447651
0.258741,0.254920
0.293168,0.296175
0.252286,0.267103
0.373319,0.241575
0.366864,0.348218
0.416891,0.396971
0.408284,0.344762
0.282410,0.367352
0.262507,0.285831
0.260893,0.298132
0.278644,0.255120
0.072620,0.097224
0.357181,0.246399
0.362023,0.343598
0.342657,0.353087
0.339699,0.291921
0.279182,0.319559
0.323292,0.279548
0.335126,0.284283
0.526627,0.461817
0.435718,0.493110
0.377084,0.368217
0.516945,0.348139
0.420118,0.416805
0.383540,0.389090
0.291017,0.283905
0.358795,0.387165
0.322754,0.349612
0.409898,0.380129
0.330285,0.400799
0.431953,0.400958
0.481442,0.431622
0.383002,0.456695
0.356643,0.383520
0.423884,0.486726
0.355030,0.435079
0.502421,0.389046
0.440559,0.495056
0.292630,0.391462
0.334051,0.335834
0.581495,0.417852
0.547068,0.526699
0.610543,0.489282
0.721356,0.601120
0.457235,0.619242
0.332437,0.433499
0.380850,0.426796
0.467994,0.500127
0.320065,0.488763
0.325982,0.331970
0.388381,0.356653
0.386767,0.403244
0.393222,0.367597
0.467456,0.339229
0.471221,0.466668
0.582571,0.562028
0.893491,0.897863
1.000000,0.725975
0.775686,0.763141
0.554599,0.638372
0.741259,0.690000
0.663798,0.678205
0.172673,0.173393
0.307154,0.341075
0.518558,0.373432
0.479290,0.502396
0.441097,0.360009
0.415815,0.408807
0.458849,0.439813
0.319527,0.439055
0.346961,0.363821
0.186659,0.210689
0.353954,0.355243
0.568585,0.388246
0.619150,0.532292
0.726197,0.572670
0.453470,0.573374
0.670253,0.616322
0.633405,0.528370
0.511027,0.501771
0.481980,0.470402
0.366864,0.399952
0.401829,0.368236
0.336740,0.364987
0.410436,0.384633
0.459925,0.437810
0.415815,0.443506
0.308768,0.401717
0.612695,0.381413
0.592254,0.645418
0.411512,0.511992
0.559978,0.515853
0.591178,0.575592
0.260893,0.284252
0.360409,0.354987
0.284562,0.437126
0.324906,0.444918
0.544379,0.479774
0.344271,0.450355
0.082840,0.278696
0.228080,0.145765
0.505648,0.329368
0.395374,0.489239
0.267348,0.345213
0.429532,0.339513
0.634750,0.541665
0.524476,0.530024
0.323292,0.425467
0.327595,0.382641
0.275417,0.338583
0.424422,0.377164
0.254438,0.324333
0.107585,0.307427
0.155998,0.179966
0.157612,0.222419
0.155998,0.242522
0.628295,0.637738
0.816568,0.783499
0.526089,0.613487
0.535772,0.421812
0.344271,0.438827
0.178322,0.176701
0.181818,0.206651
0.211942,0.306285
0.224852,0.307860
0.253900,0.272563
0.519634,0.248872
0.460463,0.426657
0.168370,0.386883
0.294244,0.260474
0.533082,0.363630
0.360409,0.388564
0.342119,0.433475
0.641205,0.630067
0.318989,0.464383
0.215707,0.215425
0.322216,0.291578
0.352340,0.382398
0.144701,0.152009
0.228080,0.271431
0.147391,0.319687
0.140398,0.201125
0.135019,0.184800
0.484131,0.244804
0.420118,0.409401
0.345347,0.392713
0.257127,0.378399
0.350726,0.347811
0.229693,0.276287
0.289403,0.319341
0.270576,0.313000
0.272727,0.257368
0.310920,0.254985
0.293706,0.333108
0.195266,0.298100
0.183970,0.178352
0.274879,0.239836
0.317913,0.306137
0.344809,0.275632
0.349112,0.391172
0.378160,0.375144
0.512641,0.387238
0.293168,0.375465
0.288327,0.300768
0.141474,0.288128
0.227542,0.219632
0.295858,0.280643
0.353416,0.317481
0.245831,0.345911
0.126950,0.247156
0.142012,0.218525
0.161377,0.254424
0.250134,0.236420
0.228080,0.282948
0.189349,0.259767
0.221625,0.223567
0.186122,0.243922
0.157074,0.239494
0.156536,0.196810
0.287789,0.192018
0.196880,0.235061
0.073696,0.196543
0.141474,0.152036
0.182356,0.172300
0.152232,0.191787
0.231307,0.180765
0.144701,0.232387
0.279182,0.176769
0.198494,0.228914
0.164067,0.212586
0.104357,0.183575
0.195266,0.142400
0.184508,0.210908
0.228618,0.192088
0.172673,0.219498
0.232921,0.202723
0.160839,0.207606
0.195804,0.182019
0.255514,0.219287
0.136633,0.221073
0.076923,0.160579
0.179666,0.147021
0.057020,0.196299
0.097364,0.127258
0.149005,0.158497
0.105433,0.189830
0.111888,0.158532
0.126950,0.150706
0.200646,0.181415
0.186122,0.161739
0.041420,0.168114
0.023669,0.135831
0.025013,0.101248
0.055944,0.093119
0.186122,0.129109
0.326520,0.159255
0.186122,0.234798
0.082840,0.171502
0.116192,0.122601
0.150081,0.128211
0.098978,0.133758
0.018827,0.110989
0.164605,0.099953
0.080689,0.139157
0.117805,0.103572
0.209252,0.136690
0.176439,0.170076
0.079075,0.145579
0.089833,0.127306
0.067240,0.126580
0.152770,0.090066
0.119419,0.106183
0.048413,0.132069
0.061861,0.103256
0.094675,0.110180
0.073158,0.132718
0.045724,0.101847
0.017751,0.097944
0.100592,0.100561
0.122109,0.104969
0.039268,0.108350
0.024207,0.097720
0.062937,0.069277
0.059710,0.090604
0.192577,0.101928
0.147391,0.128312
0.058634,0.104031
0.131791,0.078368
0.147929,0.105664
0.140398,0.115968
0.054868,0.100272
0.093599,0.087251
0.035503,0.104216
0.015600,0.075624
0.100592,0.083604
0.068316,0.106728
0.142012,0.081087
0.071006,0.118052
0.020979,0.108374
0.144164,0.073018
