REAL,ESTIMATE
0.336740,0.274709
0.433029,0.573173
0.327058,0.666530
0.503497,0.344674
0.546530,0.330838
0.450242,0.559289
0.349650,0.453895
0.394836,0.412172
0.322754,0.421333
0.260355,0.291626
0.211942,0.373722
0.430877,0.224246
0.458849,0.408725
0.300699,0.425588
0.153308,0.424527
0.188811,0.319324
0.305541,0.358221
0.216783,0.294169
0.306079,0.132122
0.417429,0.347889
0.319527,0.394784
0.329209,0.336484
0.299086,0.332947
0.271651,0.315602
0.291017,0.285945
0.258741,0.284368
0.305003,0.259883
0.245293,0.316177
0.264120,0.272702
0.268962,0.308439
0.278107,0.275486
0.303389,0.369209
0.206025,0.362905
0.296396,0.263809
0.293168,0.317345
0.220549,0.291444
0.221087,0.244644
0.266810,0.274180
0.261969,0.281621
0.218397,0.258883
0.424422,0.273269
0.265734,0.388432
0.300161,0.280181
0.220549,0.288400
0.193653,0.283120
0.249597,0.200386
0.332975,0.248918
0.221625,0.348105
0.242066,0.250040
0.285100,0.315139
0.228886,0.281056
0.172136,0.213418
0.259279,0.227147
0.398601,0.329734
0.237762,0.340579
0.135019,0.221352
0.120495,0.211911
0.094137,0.134328
0.175363,0.119241
0.335664,0.217562
0.288327,0.317181
0.080689,0.280548
0.048413,0.159548
0.045186,0.112067
0.033351,0.079488
0.068316,0.113341
0.173749,0.079992
0.188811,0.153396
0.338892,0.098098
0.257127,0.226225
0.184508,0.201796
0.239914,0.151718
0.171060,0.164800
0.279182,0.137915
0.302313,0.191246
0.197956,0.241024
0.155460,0.222930
0.276493,0.190853
0.208714,0.239031
0.197418,0.179977
0.189349,0.224597
0.116729,0.179716
0.021517,0.205487
0.100592,0.072848
0.121033,0.182748
0.110812,0.157332
0.121571,0.150326
0.138784,0.141614
0.150081,0.160973
0.208714,0.134698
0.113502,0.201318
0.055944,0.153336
0.015062,0.112607
0.086068,0.084611
0.066703,0.126549
0.057020,0.114577
0.066165,0.123165
0.000000,0.110891
0.073696,0.092014
0.111888,0.090444
0.057558,0.111253
0.047337,0.093165
0.048951,0.083421
0.063475,0.086119
0.107047,0.092568
0.093061,0.103942
0.120495,0.105768
0.228080,0.101377
0.193653,0.116532
0.039806,0.108949
0.018289,0.084397
0.070468,0.082075
0.014524,0.091385
0.098440,0.089591
0.154922,0.094058
0.122109,0.116650
0.129102,0.118500
0.090909,0.108046
0.011296,0.098887
0.012372,0.077781
0.004841,0.069931
0.000538,0.065551
0.141474,0.081930
0.103819,0.111124
0.052717,0.113836
0.001883,0.092557
0.144701,0.071019
0.210866,0.095160
0.161377,0.112957
0.018827,0.091806
0.016138,0.074706
0.017214,0.092742
0.010221,0.079771
0.017751,0.086577
0.034427,0.074266
0.118343,0.074476
0.173749,0.085351
0.117267,0.104803
0.193653,0.086558
0.135557,0.131076
0.035503,0.099121
0.025820,0.078783
0.060785,0.073502
