E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,5,0.8,5,0.559151,0.413084,0.039887,0.030694
10,5,0.8,6,0.463317,0.402195,0.044009,0.030977
10,5,0.8,7,0.504220,0.429268,0.042299,0.030268
10,5,0.8,8,0.461013,0.314750,0.044104,0.033166
10,5,0.8,9,0.530518,0.327588,0.041162,0.032854
10,5,0.8,10,0.605550,0.264230,0.037730,0.034367
10,5,0.8,11,0.591640,0.319375,0.038389,0.033054
10,5,0.8,12,0.565032,0.412695,0.039620,0.030704
10,5,0.8,13,0.671418,0.411514,0.034436,0.030735
10,5,0.8,14,0.661304,0.396680,0.034962,0.031120
10,5,0.8,15,0.504573,0.303940,0.042284,0.033426
