REAL,ESTIMATE
0.095559,0.086591
0.134827,0.101451
0.023850,0.101542
0.044487,0.052166
0.123585,0.053692
0.104633,0.114583
0.172569,0.112394
0.193608,0.118656
0.311732,0.200160
0.308922,0.327436
0.251666,0.244646
0.214005,0.231991
0.221633,0.187304
0.153457,0.151477
0.040472,0.107048
0.105115,0.060396
0.143821,0.101692
0.054686,0.102198
0.048101,0.044556
0.042560,0.046679
0.069863,0.046365
0.050911,0.065261
0.053883,0.058616
0.075885,0.064907
0.057737,0.073196
0.079017,0.087231
0.105276,0.092533
0.162210,0.112591
0.179234,0.108811
0.107364,0.139094
0.202441,0.119579
0.224364,0.180611
0.097968,0.108014
0.061190,0.090705
0.104312,0.105886
0.153377,0.130455
0.098450,0.136250
0.088091,0.100043
0.110736,0.103177
0.148719,0.101604
0.206617,0.111779
0.084397,0.157994
0.062073,0.084321
0.112905,0.084051
0.105758,0.119262
0.101582,0.111755
0.100699,0.103214
0.028347,0.068133
0.067293,0.058682
0.057657,0.076352
0.108729,0.056131
0.085200,0.083272
0.116197,0.082017
0.107605,0.097490
0.120614,0.123499
0.148157,0.139306
0.142054,0.140756
0.117642,0.146943
0.130169,0.137260
0.285795,0.137282
0.140850,0.158645
0.113948,0.121760
0.075484,0.123704
0.066972,0.076115
0.095800,0.072503
0.104071,0.081669
0.160764,0.113529
0.203325,0.131692
0.103830,0.158330
0.089296,0.089027
0.039589,0.075769
0.007709,0.053812
0.009315,0.043982
0.039348,0.059055
0.100819,0.093604
0.142375,0.081626
0.034289,0.047848
0.052357,0.073936
0.051393,0.066491
0.058942,0.055439
0.068016,0.080270
0.052277,0.070895
0.071388,0.049531
0.059343,0.087573
0.041516,0.065323
0.068578,0.085909
0.163414,0.098929
0.140287,0.134019
0.081105,0.116811
0.104152,0.086360
0.118124,0.109813
0.086806,0.080885
0.094756,0.094434
0.121256,0.102389
0.094355,0.090793
0.073637,0.102260
0.138360,0.081371
0.110817,0.113970
0.073878,0.102902
0.132980,0.082965
0.282743,0.119625
0.317674,0.307031
0.230788,0.230817
0.118526,0.145371
0.207179,0.107144
0.153377,0.169299
0.149121,0.109188
0.033887,0.085669
0.021762,0.047507
0.020236,0.051690
0.036457,0.046144
0.052758,0.052213
0.047298,0.074081
0.064001,0.076779
0.044768,0.076367
0.027544,0.059972
0.036457,0.050776
0.089858,0.063923
0.051233,0.084691
0.066811,0.060662
0.050349,0.087079
0.171123,0.096629
0.094837,0.131514
0.077090,0.076638
0.089778,0.074328
0.040874,0.078918
0.024331,0.077936
0.053320,0.092517
0.069381,0.077881
0.086887,0.069638
0.076608,0.094409
0.048824,0.089261
0.054927,0.072116
0.046655,0.079005
0.056492,0.061150
0.067173,0.073922
0.145427,0.093286
0.028989,0.123393
0.019513,0.063834
0.044005,0.047054
0.027303,0.064193
0.045933,0.049623
0.035654,0.065620
0.027303,0.056070
0.052517,0.045714
0.133141,0.068374
0.126957,0.103576
0.091544,0.117831
0.136272,0.105520
0.168473,0.086993
0.081506,0.138225
0.026098,0.083152
0.019072,0.072144
0.074360,0.034061
0.091062,0.062520
0.089778,0.072885
0.022966,0.080519
0.027182,0.047227
0.017666,0.039583
0.021842,0.035478
0.070585,0.040034
0.165984,0.076788
0.138521,0.105769
0.078776,0.080457
0.038706,0.074283
0.047137,0.060479
0.020758,0.057906
0.015257,0.050855
0.013611,0.029566
0.009235,0.037958
0.096202,0.044625
0.070987,0.082295
0.076849,0.079546
0.019032,0.070019
0.026419,0.032784
0.011724,0.039144
0.036377,0.042407
0.119409,0.059512
0.134345,0.092761
0.044327,0.107584
0.059825,0.059463
0.070585,0.064985
0.054686,0.069477
0.007709,0.044012
0.027704,0.033683
0.052036,0.047408
0.023810,0.056976
0.129206,0.053041
0.133703,0.126226
0.113306,0.110021
0.072593,0.072726
0.012126,0.071500
0.003132,0.041921
0.029551,0.045463
0.046415,0.066333
0.034771,0.060360
0.037581,0.050261
0.046093,0.059906
0.027463,0.059633
0.000000,0.034475
0.015739,0.026256
0.034490,0.038546
0.047699,0.046545
0.079499,0.062076
0.089215,0.084473
0.107524,0.075786
0.037903,0.068696
0.058299,0.049387
0.066410,0.065299
0.030354,0.062490
0.016462,0.038502
0.060708,0.033514
0.056372,0.057198
0.083675,0.064984
0.027945,0.082864
0.045290,0.039823
0.057416,0.047861
0.054927,0.049718
0.048502,0.062630
0.037822,0.057705
0.021360,0.056406
0.036778,0.049233
0.051714,0.041532
0.053441,0.058706
0.074681,0.067086
0.105798,0.058804
0.028507,0.067588
0.038786,0.042401
0.053802,0.048825
0.041516,0.060490
0.030916,0.047955
0.019594,0.047300
0.031398,0.038151
0.056533,0.048805
0.068979,0.067713
0.084156,0.065868
0.067695,0.072390
0.045130,0.057637
0.049145,0.050104
0.036296,0.052794
0.039348,0.051937
0.057336,0.061792
0.060989,0.052501
0.049707,0.053362
0.064001,0.053921
0.101582,0.059832
0.056372,0.094849
0.005501,0.051880
0.015257,0.026187
0.043845,0.035921
0.060789,0.053480
0.076207,0.070708
0.052999,0.065360
0.069461,0.050249
0.118526,0.059917
0.131213,0.097266
0.152883,0.125969
0.112715,0.102997
0.072432,0.069443
0.108568,0.061500
0.054445,0.083322
0.038465,0.067853
0.048824,0.047158
0.087770,0.042494
0.072834,0.070548
0.097968,0.068402
0.102786,0.102535
0.097808,0.095186
0.123424,0.082621
0.055047,0.096620
0.105758,0.069271
0.044648,0.095429
0.051955,0.065882
0.077652,0.061475
0.043363,0.069882
0.049466,0.059393
0.089938,0.056617
0.110495,0.094576
0.100217,0.092168
0.075885,0.092042
0.137477,0.070047
0.122661,0.117739
0.046575,0.094404
0.040793,0.061581
0.077652,0.061029
0.038465,0.072055
0.023448,0.055598
0.011885,0.040689
0.054445,0.034289
0.130009,0.064418
0.033365,0.107341
0.058219,0.051481
0.040231,0.067392
0.043925,0.058821
0.066892,0.054722
0.050671,0.068938
0.082872,0.061008
0.086244,0.074381
0.079660,0.070167
0.064322,0.077334
0.038384,0.075890
0.047619,0.062091
0.057737,0.060006
0.042399,0.056517
0.020638,0.053730
0.029069,0.056459
0.070826,0.042036
0.039107,0.075559
0.020316,0.049925
0.037059,0.042291
0.074360,0.053542
0.088091,0.077287
0.035654,0.090537
0.052036,0.055044
0.092267,0.061445
0.096603,0.073044
0.227014,0.075134
0.197543,0.183343
0.053401,0.117998
0.097567,0.052103
0.040874,0.080070
0.052758,0.048096
0.084478,0.062875
0.156669,0.073594
0.066811,0.107700
0.048663,0.068803
0.064001,0.061326
0.081908,0.068450
0.062716,0.072993
0.068899,0.061804
0.073396,0.071690
0.108448,0.066603
0.109050,0.089211
0.119168,0.096529
0.157954,0.097192
0.055970,0.107898
0.051072,0.050743
0.112102,0.056823
0.085923,0.094796
0.101903,0.081856
0.088091,0.085239
0.080061,0.081402
0.091303,0.094795
0.116197,0.100548
0.069863,0.115726
0.079178,0.074712
0.068216,0.072978
0.087128,0.079045
0.060387,0.093763
0.064563,0.076323
0.037019,0.077007
0.066008,0.046266
0.106962,0.076157
0.155304,0.095922
0.176303,0.151564
0.090259,0.085609
0.080703,0.082230
0.158436,0.079166
0.057175,0.100637
0.190958,0.071562
0.165101,0.106314
0.046093,0.100854
0.047699,0.090177
0.097647,0.092938
0.143901,0.109242
0.072111,0.123158
0.127279,0.062915
0.117642,0.099185
0.109692,0.108372
0.092347,0.098600
0.033566,0.092017
0.456115,0.051796
1.000000,0.992146
0.179234,0.222227
0.120854,0.154502
0.061511,0.068136
0.059263,0.077750
0.073476,0.078879
0.193287,0.163628
0.179475,0.149242
0.085762,0.105408
0.067775,0.061707
0.065125,0.060047
0.092990,0.083008
0.115554,0.085555
0.165261,0.113479
0.140850,0.155309
0.050831,0.097460
0.069461,0.068673
0.047860,0.079021
0.080784,0.075988
0.063679,0.081803
0.075404,0.084922
0.173693,0.155543
0.244519,0.246215
0.152815,0.113175
0.081359,0.128903
0.197329,0.165140
0.344736,0.301534
0.284269,0.277827
0.087770,0.116212
0.069140,0.081111
0.068016,0.078658
0.079258,0.097995
0.094917,0.091041
0.082791,0.086825
0.137638,0.106881
0.298161,0.157152
0.201156,0.205802
0.027343,0.111451
0.028909,0.041998
0.057938,0.065177
0.020959,0.062963
0.019594,0.050590
0.100056,0.060977
0.074199,0.089936
0.041837,0.083247
0.088975,0.073494
0.104152,0.098299
0.122460,0.111155
0.086084,0.122445
0.044889,0.062008
0.026259,0.061181
0.079579,0.089169
0.130089,0.136683
0.125913,0.141441
0.100137,0.118925
0.040312,0.079983
0.010680,0.061536
0.073476,0.057520
0.131775,0.095247
0.105597,0.124834
0.134666,0.096415
0.094596,0.155322
0.098771,0.132219
0.111218,0.086499
0.092267,0.103075
0.071067,0.089320
0.052919,0.066182
0.074119,0.053380
0.055569,0.086081
0.035172,0.080706
0.078776,0.059180
0.063519,0.107969
0.067624,0.103225
0.073908,0.113881
0.099494,0.086674
0.070264,0.085950
0.073878,0.059860
0.063519,0.076924
0.055810,0.079317
0.114832,0.068933
0.103108,0.095464
0.191279,0.115861
0.092187,0.143633
0.098209,0.077357
0.080663,0.088762
0.083634,0.077726
0.072834,0.082496
0.073316,0.072888
0.090902,0.067369
0.064563,0.080652
0.042881,0.074663
0.062073,0.062358
0.058380,0.067886
0.059825,0.075866
0.074199,0.071063
0.087288,0.073432
0.071148,0.082321
0.081988,0.089852
0.065607,0.087392
0.065607,0.066592
0.068738,0.060370
0.067213,0.060013
0.054525,0.068634
0.051313,0.061220
0.050028,0.075735
0.059905,0.069036
0.077250,0.072626
0.084317,0.082643
0.065727,0.081797
0.080141,0.069493
0.136834,0.084120
0.050349,0.107423
0.066731,0.066526
0.099093,0.071380
0.094114,0.084344
0.042239,0.072014
0.038143,0.057040
0.086084,0.058190
0.038063,0.079679
0.056211,0.051174
0.061029,0.065776
0.074440,0.066060
0.065366,0.068019
0.015819,0.067115
0.017827,0.037458
0.037099,0.047911
0.036618,0.068246
0.061029,0.070689
0.066329,0.071981
0.095318,0.069660
0.071469,0.081928
0.057737,0.069088
0.059664,0.057628
0.052598,0.064387
0.057817,0.049958
0.011323,0.051650
0.011965,0.035581
0.038304,0.038466
0.053080,0.051477
0.015819,0.052254
0.065125,0.030943
0.134024,0.070810
0.093632,0.089650
0.012447,0.079864
0.012527,0.039383
0.050510,0.043467
0.046254,0.058852
0.034851,0.053964
0.053240,0.047415
0.053963,0.050675
0.045692,0.052234
0.026339,0.048603
0.035493,0.035443
0.028909,0.045888
0.045290,0.039617
0.056452,0.041101
0.073717,0.064329
0.132498,0.075833
0.105677,0.085362
0.089376,0.078314
0.054686,0.075786
0.049627,0.053719
0.047539,0.048767
0.058701,0.049163
0.052437,0.060806
0.063439,0.058515
0.058299,0.054121
0.031960,0.055690
0.049466,0.043857
0.109452,0.049164
0.097085,0.082539
0.077170,0.082797
0.079660,0.076116
0.123665,0.080571
0.129045,0.087741
