REAL,ESTIMATE
0.042962,0.089992
0.036296,0.049947
0.074360,0.048329
0.061029,0.060528
0.055087,0.056616
0.067454,0.058739
0.072754,0.062308
0.049627,0.065697
0.006504,0.057135
0.014615,0.036811
0.045411,0.050352
0.047218,0.054659
0.055328,0.057593
0.061190,0.066071
0.061993,0.069330
0.034771,0.070318
0.039589,0.042045
0.045852,0.043017
0.059825,0.054443
0.050911,0.057371
0.014535,0.059003
0.016060,0.039913
0.015980,0.038490
0.022806,0.036164
0.048181,0.037383
0.067534,0.058020
0.036457,0.059611
0.033887,0.041650
0.049386,0.050369
0.042881,0.060404
0.022806,0.059343
0.012688,0.037492
0.027544,0.030372
0.050430,0.038143
0.089778,0.051394
0.080463,0.069354
0.070907,0.065865
0.083032,0.057072
0.069702,0.062082
0.073637,0.056441
0.105436,0.063640
0.053160,0.074332
0.049466,0.048697
0.033807,0.047461
0.025536,0.047061
0.023288,0.043231
0.048422,0.030056
0.070666,0.037568
0.038946,0.057664
0.049787,0.042247
0.053561,0.056220
0.074681,0.057947
0.082791,0.062770
0.049225,0.066436
0.037260,0.048052
0.027704,0.044265
0.031157,0.045928
0.049546,0.035390
0.083113,0.047506
0.115996,0.064738
0.151530,0.090338
0.103750,0.128449
0.138842,0.086518
0.189914,0.115547
0.174175,0.139811
0.214968,0.116426
0.166319,0.162767
0.084263,0.116080
0.063599,0.073709
0.049386,0.063874
0.051233,0.058805
0.055248,0.064143
0.045371,0.058351
0.034128,0.056118
0.041436,0.053792
0.053963,0.062141
0.070104,0.072731
0.100056,0.075050
0.132739,0.088130
0.159721,0.099091
0.154421,0.093920
0.085120,0.105919
0.014053,0.078904
0.001606,0.048775
0.021762,0.045241
0.101100,0.054915
0.087931,0.089684
0.025938,0.080939
0.022565,0.050341
0.019634,0.053465
0.033887,0.054069
0.051233,0.073256
0.033887,0.074213
0.015659,0.059931
0.021039,0.062547
0.065205,0.067898
0.093873,0.086439
0.052999,0.092740
0.011885,0.054115
0.040392,0.039201
0.018469,0.054313
0.058380,0.067645
0.064322,0.070653
0.077331,0.060208
0.079900,0.074835
0.083113,0.082257
0.091785,0.098466
0.089697,0.087642
0.033887,0.077588
0.061110,0.051561
0.060628,0.069202
0.058139,0.082743
0.095238,0.074398
0.108649,0.073514
0.133382,0.081260
0.089456,0.099005
0.058540,0.077623
0.050590,0.062137
0.070023,0.053009
0.078696,0.062421
0.096041,0.070921
0.043604,0.077943
0.025135,0.059408
0.069541,0.047852
0.109371,0.064229
0.091785,0.105247
0.103027,0.083821
0.117803,0.078351
0.105356,0.095252
0.174496,0.088753
0.045049,0.130071
0.133221,0.062462
0.045772,0.082996
0.041034,0.053842
0.086967,0.050245
0.099253,0.080944
0.116036,0.090340
