REAL,ESTIMATE
0.888218,0.883744
0.682779,0.602674
0.474320,0.458722
0.580060,0.468170
0.489426,0.483426
0.845921,0.770124
0.709970,0.697984
0.509063,0.554827
0.425982,0.405354
0.320242,0.373092
0.232628,0.432404
0.444109,0.310067
0.256798,0.386081
0.326284,0.293840
0.374622,0.307448
0.235650,0.296549
0.181269,0.271990
0.166163,0.284631
0.187311,0.284183
0.229607,0.274394
0.398792,0.260179
0.311178,0.305824
0.184290,0.315222
0.129909,0.260396
0.151057,0.212276
0.196375,0.189078
0.154079,0.232719
0.157100,0.184535
0.178248,0.226003
0.141994,0.209593
0.217523,0.181944
0.419940,0.205833
0.531722,0.312968
0.181269,0.312248
0.232628,0.169639
0.486405,0.254680
0.413897,0.394958
0.561934,0.389094
0.619335,0.582777
1.000000,0.792452
0.851964,0.850054
0.557402,0.569961
0.501511,0.441682
0.471299,0.505048
0.477341,0.329351
0.157100,0.479899
0.592145,0.451790
0.685801,0.601776
0.223565,0.193476
0.256798,0.291115
0.244713,0.201789
0.344411,0.269588
0.271903,0.284712
0.302115,0.302242
0.389728,0.304747
0.270393,0.332022
0.163142,0.222129
0.220544,0.303099
0.398792,0.272170
0.450151,0.444431
0.220544,0.223310
0.193353,0.267623
0.241692,0.282478
0.187311,0.243194
0.151057,0.134195
0.380665,0.225188
0.435045,0.326883
0.320242,0.326440
0.277946,0.299016
0.247734,0.314917
0.374622,0.265022
0.371601,0.293038
0.190332,0.266179
0.102719,0.191815
0.277946,0.235748
0.223565,0.280243
0.299094,0.226078
0.226586,0.330520
0.081571,0.223187
0.132931,0.148321
0.135952,0.208228
0.308157,0.200897
0.287009,0.268269
0.157100,0.245621
0.138973,0.162147
0.181269,0.194555
0.211480,0.209352
0.211480,0.194380
0.256798,0.218775
0.374622,0.240331
0.463746,0.293923
0.283988,0.375196
0.202417,0.288799
0.160121,0.205358
0.202417,0.151600
0.368580,0.195313
0.432024,0.353969
0.516616,0.457977
0.404834,0.437136
0.308157,0.307921
0.299094,0.300439
0.148036,0.297265
0.129909,0.178850
0.129909,0.187212
0.151057,0.207056
0.302115,0.219966
0.362538,0.265513
0.172205,0.291387
0.320242,0.190554
0.184290,0.245482
0.253776,0.213691
0.293051,0.309310
0.157100,0.258089
0.232628,0.211595
0.217523,0.250536
0.157100,0.260158
0.302115,0.206251
0.604230,0.274630
0.510574,0.491000
0.235650,0.331555
0.398792,0.256066
0.574018,0.356829
0.359517,0.437532
0.495468,0.495657
0.241692,0.377694
0.214502,0.243422
0.250755,0.255712
0.371601,0.277575
0.296073,0.302754
0.247734,0.310827
0.229607,0.190849
0.468278,0.258657
0.374622,0.435987
0.444109,0.366981
0.356495,0.325418
0.438066,0.342721
0.335347,0.362521
0.235650,0.361118
0.151057,0.225861
0.129909,0.202320
0.129909,0.145093
0.151057,0.196195
0.268882,0.254255
0.280967,0.279994
0.232628,0.240110
0.163142,0.223713
0.132931,0.237502
0.154079,0.210393
0.199396,0.212469
0.265861,0.218095
0.274924,0.257693
0.296073,0.276627
0.410876,0.272567
0.199396,0.321936
0.199396,0.214253
0.166163,0.171050
0.138973,0.175882
0.135952,0.206397
0.160121,0.217585
0.178248,0.242180
0.299094,0.199281
0.262840,0.229271
0.175227,0.216260
0.220544,0.202478
0.226586,0.214419
0.326284,0.209224
0.311178,0.304068
0.268882,0.302224
0.129909,0.288861
0.157100,0.195290
0.274924,0.215417
0.154079,0.263033
0.175227,0.214387
0.268882,0.179514
0.181269,0.249004
0.166163,0.215401
0.413897,0.217005
0.335347,0.362576
0.338369,0.263170
0.314199,0.254340
0.302115,0.298992
0.392749,0.307298
0.299094,0.369592
0.302115,0.224248
0.314199,0.317133
0.283988,0.333400
0.398792,0.266988
0.265861,0.379847
0.238671,0.292203
0.202417,0.214161
0.202417,0.218549
0.274924,0.215751
0.302115,0.284296
0.274924,0.299230
0.323263,0.285367
0.259819,0.323880
0.365559,0.291278
0.202417,0.347244
0.202417,0.243481
0.202417,0.253164
0.220544,0.242970
0.441088,0.253358
0.305136,0.395188
0.299094,0.322935
0.214502,0.269404
0.202417,0.239501
0.202417,0.243145
0.238671,0.232514
0.350453,0.225983
0.362538,0.310504
0.214502,0.341460
0.235650,0.268622
0.344411,0.267794
0.274924,0.313153
0.202417,0.226076
0.250755,0.203045
0.398792,0.263416
0.232628,0.370979
0.380665,0.272206
0.407855,0.381932
0.350453,0.365307
0.226586,0.319823
0.202417,0.224903
0.202417,0.213981
0.229607,0.236712
0.265861,0.233871
0.253776,0.267716
0.268882,0.299675
0.250755,0.279438
0.214502,0.241993
0.202417,0.251302
0.256798,0.261432
0.314199,0.226841
0.362538,0.302296
0.283988,0.337277
0.280967,0.304470
0.401813,0.293800
0.317221,0.364611
0.259819,0.302197
0.256798,0.262645
0.202417,0.266619
0.302115,0.240409
0.299094,0.315599
0.314199,0.305367
0.280967,0.316825
0.202417,0.273566
0.241692,0.226409
0.290030,0.268705
0.371601,0.282978
0.223565,0.325810
0.202417,0.259926
0.166163,0.267066
0.238671,0.229416
0.250755,0.253311
0.280967,0.257097
0.250755,0.272370
0.157100,0.257589
0.145015,0.230569
0.190332,0.219696
0.214502,0.228918
0.211480,0.219166
0.138973,0.212820
0.129909,0.210462
0.154079,0.207278
0.217523,0.190005
0.205438,0.218019
0.247734,0.204375
0.181269,0.230846
0.135952,0.192163
0.178248,0.196350
0.145015,0.209816
0.163142,0.189415
0.241692,0.183055
0.232628,0.238131
0.244713,0.237252
0.293051,0.230949
0.305136,0.264995
0.187311,0.250579
0.129909,0.198422
0.129909,0.176201
0.241692,0.196888
0.277946,0.263139
0.308157,0.286560
0.274924,0.315792
0.202417,0.255357
