REAL,ESTIMATE
0.296073,0.216813
0.196375,0.251707
0.132931,0.199591
0.241692,0.189413
0.235650,0.229894
0.141994,0.203882
0.060423,0.152895
0.096677,0.159217
0.199396,0.144158
0.377644,0.196068
0.205438,0.343625
0.184290,0.185638
0.287009,0.166711
0.060423,0.210840
0.057402,0.138932
0.141994,0.151574
0.220544,0.191191
0.220544,0.187505
0.211480,0.204720
0.154079,0.257209
0.099698,0.157418
0.057402,0.134588
0.135952,0.080482
0.132931,0.164912
0.178248,0.166290
0.123867,0.169358
0.057402,0.163961
0.060423,0.146289
0.057402,0.105547
0.063444,0.100499
0.135952,0.108250
0.154079,0.152623
0.126888,0.153016
0.166163,0.142055
0.202417,0.151262
0.117825,0.151464
0.081571,0.116301
0.057402,0.116162
0.105740,0.119212
0.135952,0.150561
0.241692,0.163521
0.169184,0.217344
0.163142,0.156416
0.229607,0.148387
0.154079,0.164722
0.199396,0.160691
0.181269,0.179989
0.132931,0.185570
0.135952,0.171908
0.105740,0.180333
0.090634,0.171928
0.078550,0.136790
0.151057,0.134010
0.220544,0.149861
0.141994,0.188508
0.154079,0.165900
0.205438,0.147566
0.145015,0.180001
0.163142,0.156602
0.160121,0.162792
0.151057,0.190724
0.135952,0.172915
0.126888,0.166091
0.253776,0.172103
0.232628,0.218312
0.389728,0.205076
0.329305,0.281593
0.190332,0.267202
0.241692,0.213663
0.320242,0.213304
0.290030,0.324112
0.283988,0.299881
0.169184,0.333694
0.280967,0.227282
0.160121,0.292077
0.120846,0.207221
0.148036,0.157469
0.117825,0.181917
0.181269,0.137516
0.145015,0.188469
0.129909,0.216888
0.199396,0.182063
0.199396,0.189864
0.277946,0.183977
0.344411,0.232251
0.438066,0.296048
0.293051,0.336816
0.120846,0.258822
0.057402,0.202170
0.057402,0.138557
0.078550,0.143497
0.132931,0.153254
0.145015,0.220128
0.105740,0.199189
0.090634,0.158642
0.105740,0.138777
0.169184,0.136224
0.145015,0.143765
0.122356,0.131027
0.060423,0.141708
0.111782,0.129517
0.241692,0.152873
0.217523,0.193811
0.166163,0.190278
0.093656,0.148041
0.129909,0.124770
0.102719,0.149036
0.208459,0.143820
0.214502,0.212718
0.293051,0.193773
0.211480,0.250580
0.320242,0.190774
0.244713,0.277512
0.271903,0.204494
0.181269,0.219091
0.235650,0.173841
0.274924,0.276755
0.271903,0.283566
0.287009,0.303755
0.335347,0.281887
0.317221,0.314719
0.244713,0.277223
0.193353,0.256184
0.148036,0.227668
0.190332,0.203379
0.205438,0.207859
0.247734,0.230469
0.235650,0.273647
0.157100,0.249864
0.302115,0.191408
0.293051,0.273372
0.244713,0.270918
0.277946,0.235684
0.265861,0.259067
0.293051,0.268246
0.507553,0.291020
0.280967,0.501060
0.362538,0.289853
0.220544,0.339713
0.232628,0.230159
0.392749,0.296534
0.315710,0.379985
0.362538,0.293751
