E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,7,0.8,5,0.437663,0.347094,0.103439,0.129276
10,7,0.8,6,0.454666,0.366944,0.101864,0.127296
10,7,0.8,7,0.476647,0.317344,0.099789,0.132188
10,7,0.8,8,0.509534,0.395090,0.096603,0.124434
10,7,0.8,9,0.505619,0.353443,0.096988,0.128646
10,7,0.8,10,0.495977,0.295391,0.097929,0.134297
10,7,0.8,11,0.493318,0.359533,0.098187,0.128038
10,7,0.8,12,0.498426,0.295818,0.097691,0.134256
10,7,0.8,13,0.507028,0.248976,0.096850,0.138650
10,7,0.8,14,0.557663,0.203502,0.091741,0.142786
10,7,0.8,15,0.566091,0.200776,0.090863,0.143030
