REAL,ESTIMATE
0.160734,0.245639
0.127920,0.290199
0.316463,0.225895
0.140712,0.289572
0.276418,0.197785
0.443826,0.278419
0.506118,0.345135
0.119021,0.396090
0.272525,0.223811
0.340934,0.242945
0.315350,0.308311
0.359288,0.265885
0.301446,0.328332
0.383760,0.299392
0.255840,0.310869
0.201335,0.220534
0.389878,0.203790
0.323137,0.405297
0.388765,0.294708
0.323137,0.370903
0.443270,0.353090
0.550890,0.379079
0.302558,0.392591
0.397664,0.276147
0.137931,0.395764
0.505562,0.209634
0.472469,0.405951
0.489433,0.471930
0.464961,0.483658
0.131257,0.352162
0.241935,0.176717
0.082314,0.300534
0.271969,0.153111
0.424917,0.339160
0.545050,0.407340
0.440489,0.521906
0.463293,0.368521
0.492770,0.512805
0.334260,0.476687
0.457175,0.269797
0.388765,0.410035
0.442158,0.369454
0.393215,0.441179
0.295328,0.329000
0.164627,0.300720
0.137931,0.268293
0.305339,0.195072
0.388765,0.324091
0.433815,0.328256
0.486652,0.464900
0.544494,0.402651
0.448832,0.471691
0.151835,0.392562
0.115684,0.198417
0.074527,0.240423
0.171858,0.226984
0.246941,0.261841
0.260289,0.296793
0.119021,0.281721
0.190768,0.192899
0.052280,0.192547
0.160734,0.171094
0.233037,0.236386
0.172970,0.289814
0.360957,0.261040
0.302002,0.365662
0.070078,0.331259
0.096218,0.167828
0.242770,0.148624
0.204672,0.210617
0.184650,0.237308
0.298665,0.244938
0.429922,0.397855
0.315907,0.420599
0.428810,0.250895
0.293660,0.301746
0.197998,0.314072
0.279199,0.248666
0.297831,0.276702
0.275862,0.374043
0.156841,0.352594
0.143493,0.153028
0.202169,0.208469
0.315907,0.227056
0.291435,0.264814
0.438265,0.266394
0.384316,0.473711
0.248610,0.385098
0.335373,0.254366
0.128476,0.278506
0.042825,0.169722
0.088154,0.165793
0.136263,0.179650
0.298109,0.266776
0.111235,0.299902
0.233593,0.157926
0.181869,0.202479
0.189099,0.190182
0.155172,0.216526
0.205784,0.183503
0.156285,0.252573
0.124583,0.245784
0.276418,0.170679
0.277809,0.268788
0.157953,0.225884
0.144605,0.131059
0.144049,0.149157
0.102336,0.166766
0.105117,0.196689
0.322024,0.160990
0.248053,0.293074
0.255840,0.227694
0.199110,0.233745
0.188543,0.199679
0.102336,0.219580
0.119577,0.139301
0.261402,0.152004
0.258065,0.293168
0.172970,0.270654
0.085095,0.189214
0.122914,0.137784
0.316463,0.168131
0.149055,0.274442
0.203838,0.173751
0.235818,0.265670
0.164071,0.244293
0.097887,0.183194
0.140156,0.144550
0.147386,0.151511
0.089544,0.187625
0.113459,0.147304
0.156841,0.182178
0.196329,0.196888
0.139600,0.200994
0.173526,0.152346
0.192436,0.176853
0.145161,0.205762
0.232481,0.161397
0.110122,0.219307
0.255284,0.163020
0.195217,0.222780
0.141268,0.179881
0.049499,0.162146
0.095662,0.109975
0.227475,0.140699
0.175751,0.225843
0.182425,0.185517
0.238598,0.201351
0.140156,0.207483
0.070078,0.162230
0.051168,0.150725
0.166852,0.142531
0.171301,0.197283
0.261402,0.193347
0.335929,0.262015
0.093437,0.275297
0.052836,0.139609
0.038932,0.125895
0.136819,0.132245
0.171301,0.163698
0.312570,0.186643
0.197442,0.289728
0.177976,0.222351
0.238042,0.178947
0.186318,0.198047
0.053393,0.176305
0.165184,0.113481
0.247497,0.162372
0.171301,0.256585
0.164627,0.214910
0.187430,0.172909
0.172414,0.202879
0.130701,0.188452
0.091769,0.154856
0.052836,0.140349
0.135706,0.159452
0.197442,0.174329
0.142380,0.197802
0.171858,0.190545
0.195217,0.196979
0.142380,0.163034
0.115684,0.161859
0.145161,0.165925
0.245273,0.193792
0.182425,0.221518
0.137931,0.179457
0.119577,0.172566
0.144049,0.167005
0.181869,0.149647
0.190768,0.177741
0.229700,0.203681
0.121802,0.222260
0.074527,0.171313
0.191324,0.164175
0.160493,0.193539
0.170013,0.182017
0.132077,0.192450
0.240699,0.169125
0.387097,0.234756
0.356507,0.293348
0.273081,0.272877
0.264182,0.211469
0.213014,0.226046
0.258746,0.196600
0.309107,0.230380
0.285317,0.283239
0.332592,0.257758
0.373749,0.266274
0.130701,0.284873
0.198554,0.172134
0.374305,0.194173
0.185206,0.276239
0.116240,0.226876
0.037820,0.219390
0.202447,0.199370
0.306452,0.227206
0.451613,0.265016
0.441046,0.321485
0.220245,0.331758
0.130701,0.249935
0.200779,0.187531
0.061735,0.235399
0.196885,0.177588
0.373192,0.194071
0.267519,0.288005
0.403226,0.268679
0.518910,0.424820
0.472747,0.444562
0.307008,0.366353
0.133482,0.325559
0.101780,0.204127
0.329811,0.216016
0.465517,0.339513
0.497219,0.431846
0.272525,0.370541
0.197998,0.284464
0.506118,0.220930
0.663515,0.500461
0.796440,0.825648
0.572859,0.603645
0.372636,0.435850
0.065072,0.309727
0.165184,0.196377
0.431034,0.219622
0.467742,0.407667
0.468854,0.425451
0.524472,0.375004
0.597330,0.409699
0.378754,0.466384
0.603448,0.545424
0.697998,0.670884
0.115128,0.398725
0.088432,0.250577
0.394327,0.238223
0.363737,0.352268
0.468298,0.339922
0.288654,0.364456
0.399333,0.410648
0.532814,0.320132
0.606785,0.534742
0.603448,0.514341
0.634594,0.594288
0.345384,0.444811
0.439933,0.301221
0.234705,0.330706
0.280311,0.280011
0.469410,0.401374
0.355395,0.378053
0.278643,0.359934
0.189099,0.296287
0.033927,0.228713
0.087875,0.156786
0.283648,0.245081
0.125139,0.290716
0.094549,0.245189
0.159066,0.246762
0.286429,0.260546
0.300890,0.314740
0.389878,0.297318
0.555061,0.396596
0.278643,0.366039
0.354283,0.245928
0.086763,0.314541
0.308676,0.222069
0.374861,0.304287
0.127364,0.341234
0.047275,0.251938
0.304783,0.306910
0.436596,0.317675
0.220245,0.356813
0.143493,0.241482
0.368743,0.219035
0.467186,0.388391
0.428810,0.318294
0.140156,0.311456
0.386819,0.254905
0.506118,0.309852
0.560623,0.336742
0.628476,0.574994
0.587319,0.448732
0.269744,0.358488
0.018354,0.226555
0.147664,0.191499
0.416574,0.225557
0.409900,0.335526
0.534483,0.549294
0.205784,0.384413
0.210790,0.273023
0.444939,0.280186
0.536707,0.307723
0.418242,0.376631
0.222469,0.311482
0.359288,0.277985
0.490545,0.311680
0.601224,0.354422
0.610679,0.428833
0.412125,0.379486
0.161846,0.335195
0.412681,0.236739
0.244160,0.363644
0.367075,0.319912
0.481646,0.340049
0.441046,0.443792
0.372080,0.309491
0.548387,0.320590
0.419355,0.375833
0.301446,0.409520
0.189655,0.301779
0.303671,0.276075
0.444939,0.306590
0.197442,0.313534
0.295884,0.250094
0.379310,0.310867
0.505006,0.365840
0.638487,0.421210
0.637931,0.536823
0.473304,0.516139
0.486096,0.365477
0.448832,0.457720
0.000000,0.368776
0.276418,0.179698
0.564516,0.316985
0.542269,0.562309
0.098165,0.362154
0.221357,0.257659
0.622914,0.296132
0.406007,0.498043
0.421580,0.364489
0.220801,0.341226
0.198554,0.272147
0.368743,0.268524
0.355951,0.355544
0.331479,0.343821
0.192436,0.370857
0.165184,0.249665
0.352058,0.235899
0.387097,0.300953
0.120133,0.338899
0.100667,0.247760
0.417130,0.195275
0.170745,0.401119
0.411568,0.248815
0.427141,0.339825
0.047275,0.324440
0.391546,0.230422
0.528365,0.312473
0.617909,0.408186
0.609010,0.608319
0.250834,0.440220
0.036151,0.267521
0.208565,0.238951
0.230256,0.264044
0.295884,0.234508
0.422692,0.294802
0.497775,0.356274
0.693548,0.584614
1.000000,0.906913
0.389321,0.389164
0.414349,0.263984
0.625139,0.494742
0.684650,0.753477
0.390434,0.396394
0.116240,0.317266
0.394327,0.270206
0.517798,0.481014
0.575083,0.546330
0.624583,0.460254
0.591212,0.489210
0.359288,0.344612
0.530033,0.311843
0.560067,0.395899
0.154060,0.261799
0.168521,0.249051
0.338710,0.256752
0.116796,0.316724
0.165740,0.249611
0.286707,0.251920
0.165740,0.316294
0.179644,0.242039
0.553949,0.231557
0.488320,0.450851
0.593437,0.531792
0.300890,0.368244
0.057348,0.320376
0.154554,0.240742
0.341491,0.255432
0.458287,0.277543
0.382091,0.468572
0.561735,0.506930
0.292547,0.335989
0.246385,0.274602
0.449944,0.324773
0.505006,0.448452
0.493326,0.403730
0.357620,0.366782
0.488320,0.322025
0.355951,0.293428
0.467186,0.397149
0.474694,0.401307
0.348721,0.304478
0.361513,0.303718
0.467186,0.347375
0.416018,0.372154
0.177976,0.283853
0.156841,0.242946
0.223026,0.261950
0.427697,0.242887
0.502225,0.392545
0.461624,0.445290
0.310901,0.372589
0.349277,0.280230
0.253059,0.305467
0.113459,0.249601
0.197442,0.228947
0.263070,0.267427
0.364294,0.332603
0.333704,0.314923
0.303115,0.308004
0.354283,0.276196
0.261958,0.252997
0.234149,0.265280
0.342047,0.284905
0.431034,0.341503
0.432703,0.326545
0.335929,0.320075
0.394883,0.335020
0.436040,0.327665
0.459399,0.333231
0.441046,0.390998
0.504449,0.358366
0.362625,0.385801
0.228031,0.313778
0.419911,0.257505
0.329811,0.328988
0.076196,0.283555
0.421023,0.290901
0.315907,0.400793
0.182425,0.332644
0.164627,0.263752
0.251390,0.232857
0.194661,0.290543
0.345384,0.265513
0.251390,0.305284
0.213014,0.285799
0.215239,0.270463
0.116796,0.241812
0.236930,0.181164
0.325362,0.287162
0.265851,0.291518
0.125139,0.220689
0.117909,0.211705
0.308120,0.206006
0.106785,0.270215
0.360957,0.147653
0.290879,0.385617
0.294772,0.273394
0.269744,0.312703
0.062291,0.260871
0.068966,0.188600
0.195773,0.191149
0.251947,0.183386
0.277531,0.274418
0.172414,0.276556
0.144605,0.219011
0.244160,0.206828
0.255284,0.221799
0.214127,0.234543
0.239711,0.203924
0.253059,0.282685
0.085651,0.284757
0.105117,0.151051
0.228031,0.184700
0.245273,0.217946
0.050612,0.218105
0.120690,0.140354
0.272525,0.178215
0.229143,0.328183
0.030590,0.237464
0.060067,0.103056
0.256396,0.178757
0.120690,0.261987
0.144605,0.146710
0.300334,0.187850
0.443826,0.291041
0.333148,0.329471
0.288098,0.240261
0.162959,0.217572
0.111235,0.185236
0.228587,0.119861
0.217464,0.200067
0.308120,0.230720
0.222469,0.293579
0.258621,0.210507
0.199666,0.202154
0.166296,0.195499
0.162403,0.186137
0.135150,0.174537
0.172970,0.191845
0.322024,0.232380
0.337597,0.265122
0.263626,0.280454
0.133482,0.249114
0.244160,0.161256
0.412403,0.229661
0.229143,0.413577
0.301446,0.223661
0.274194,0.256051
0.228587,0.247428
0.144605,0.225490
0.155729,0.173551
0.186318,0.162965
0.259177,0.234666
