REAL,ESTIMATE
0.433259,0.271383
0.357620,0.369213
0.313682,0.353423
0.220245,0.275395
0.124583,0.176164
0.063960,0.168157
0.152948,0.303728
0.194105,0.265526
0.462736,0.253462
0.323137,0.398983
0.199666,0.321412
0.221913,0.198578
0.108454,0.207604
0.225250,0.165338
0.182981,0.258472
0.317575,0.225131
0.318687,0.319767
0.026696,0.284025
0.131813,0.132273
0.109566,0.194777
0.132369,0.195083
0.254449,0.227373
0.204950,0.307071
0.078865,0.245473
0.022080,0.188170
0.176863,0.069546
0.114294,0.151995
0.023081,0.164221
0.055061,0.123119
0.223582,0.180532
0.318131,0.283973
0.307008,0.313782
0.402113,0.252001
0.353726,0.367175
0.475528,0.273224
0.226242,0.346032
0.326595,0.263615
0.476641,0.267979
0.350945,0.447121
0.285873,0.273236
0.176863,0.283055
0.274194,0.259375
0.262236,0.281050
0.208009,0.247890
0.205228,0.286456
0.235261,0.264221
0.403782,0.183582
0.456618,0.290163
0.535039,0.250687
0.423804,0.300460
0.149611,0.351676
0.284761,0.207744
0.223582,0.254949
0.144605,0.218121
0.371524,0.232361
0.587875,0.309361
0.583426,0.414124
0.686874,0.395509
0.609010,0.565718
0.522803,0.527106
0.551724,0.436595
0.629032,0.484476
0.577308,0.434105
0.371524,0.439903
0.429366,0.351829
0.324249,0.340002
0.246385,0.326519
0.362069,0.283599
0.210790,0.355608
0.253615,0.264212
0.239711,0.276578
0.138487,0.259017
0.333704,0.222734
0.444939,0.279322
0.499722,0.341292
0.634594,0.429894
0.743048,0.514198
0.716352,0.578858
0.249444,0.671633
0.131813,0.299754
0.073415,0.210954
0.221357,0.257186
0.380423,0.291190
0.354283,0.392394
0.217464,0.367863
0.235261,0.314839
0.324249,0.326866
0.340378,0.331860
0.302002,0.275045
0.273637,0.355676
0.136263,0.299977
0.206340,0.185631
0.327586,0.139337
0.393771,0.285879
0.236374,0.371777
0.152113,0.300262
0.184093,0.338685
0.159622,0.322806
0.102892,0.268975
0.221079,0.243709
0.359844,0.238293
0.269188,0.342556
0.378476,0.312132
0.468854,0.360041
0.418242,0.487586
0.156841,0.438289
0.258621,0.295042
0.314238,0.374024
0.339822,0.323389
0.515017,0.354705
0.781702,0.520901
0.619577,0.648021
0.480534,0.484399
0.230812,0.412964
0.310345,0.237173
0.433259,0.306637
0.404894,0.426318
0.307564,0.394610
0.088432,0.278427
0.109566,0.215137
0.371524,0.213783
0.418242,0.395339
0.438265,0.355259
0.406007,0.413241
0.397108,0.358301
0.477197,0.304919
0.404338,0.330254
0.231368,0.300165
0.352058,0.209803
0.174082,0.311779
0.265295,0.255130
0.558398,0.297300
0.483871,0.442940
0.436596,0.382796
