E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
11,3,0.8,5,0.631531,0.414124,0.094718,0.089506
11,3,0.8,6,0.627700,0.416037,0.095209,0.089359
11,3,0.8,7,0.639228,0.419537,0.093723,0.089091
11,3,0.8,8,0.654443,0.388216,0.091726,0.091463
11,3,0.8,9,0.661345,0.399910,0.090805,0.090585
11,3,0.8,10,0.673541,0.398807,0.089155,0.090668
11,3,0.8,11,0.685916,0.287319,0.087449,0.098718
11,3,0.8,12,0.704722,0.340034,0.084790,0.094997
11,3,0.8,13,0.714444,0.380680,0.083383,0.092025
11,3,0.8,14,0.732173,0.386038,0.080753,0.091626
11,3,0.8,15,0.734064,0.349634,0.080467,0.094303
