REAL,ESTIMATE
0.047619,0.122694
0.161905,0.125307
0.214006,0.128081
0.090756,0.141394
0.087395,0.134661
0.019608,0.148020
0.054902,0.111597
0.242577,0.123675
0.103081,0.165063
0.084034,0.130640
0.181513,0.144627
0.070588,0.161075
0.029692,0.123991
0.014566,0.116283
0.058263,0.108530
0.209524,0.106002
0.036975,0.144625
0.108683,0.120785
0.041457,0.133740
0.121569,0.105295
0.153501,0.120614
0.136134,0.119460
0.118768,0.129479
0.250980,0.131310
0.325210,0.176181
0.182633,0.197743
0.112605,0.177308
0.250980,0.176634
0.277311,0.197408
0.287955,0.206304
0.330532,0.256235
0.268347,0.296914
0.212885,0.261339
0.216807,0.242298
0.290196,0.256101
0.167507,0.260182
0.139496,0.203287
0.286835,0.233260
0.369188,0.269873
0.212885,0.306478
0.166947,0.257333
0.222409,0.256382
0.187675,0.225783
0.229132,0.196307
0.141176,0.249216
0.085154,0.210462
0.160784,0.176605
0.172549,0.197137
0.272829,0.202918
0.128291,0.232079
0.347339,0.190899
0.180952,0.269580
0.196639,0.187836
0.392717,0.223135
0.325490,0.271300
0.365266,0.266701
0.191036,0.252123
0.307003,0.269117
0.228852,0.280921
0.145658,0.196134
0.052661,0.253421
0.436415,0.158617
0.443137,0.354486
0.423529,0.330785
0.529972,0.369649
0.321008,0.404960
0.343417,0.327172
0.199440,0.327256
0.268347,0.258714
0.315966,0.278193
0.252661,0.223260
0.486275,0.314207
0.359664,0.400144
0.348459,0.286486
0.203922,0.242346
0.221289,0.277963
0.633613,0.283280
0.323810,0.470523
0.572549,0.357529
0.179272,0.233087
0.231092,0.268132
0.297479,0.349347
0.205602,0.224602
0.436975,0.288320
0.323249,0.364386
0.499720,0.375860
0.436415,0.375080
0.304202,0.375580
0.162465,0.355206
0.290196,0.218777
0.294118,0.307518
0.147339,0.242671
0.447619,0.247959
0.363585,0.421224
0.345098,0.287953
0.298039,0.297380
0.420728,0.350495
0.461625,0.376831
0.463305,0.348726
0.622409,0.505679
0.497479,0.472459
0.382633,0.465472
0.489636,0.465776
0.428571,0.450422
0.349580,0.356392
0.359104,0.381604
0.449300,0.390973
0.398880,0.329011
0.559664,0.512096
0.457703,0.426019
0.473389,0.363175
0.501401,0.512669
0.450980,0.452866
0.396078,0.468792
0.550140,0.521143
0.448739,0.493292
0.484594,0.526055
0.524370,0.528391
0.298039,0.455311
0.393838,0.371869
0.719328,0.544802
0.681793,0.640939
0.773950,0.606086
0.971989,0.898601
0.638095,0.815535
0.414006,0.553884
0.398880,0.510106
0.551821,0.438770
0.356863,0.344409
0.504762,0.437857
0.510924,0.493595
0.542857,0.502269
0.498319,0.541355
0.526050,0.568152
0.542297,0.502090
0.640896,0.608443
0.892997,0.651812
1.000000,0.864856
0.794398,0.829337
0.521569,0.660081
0.771989,0.546562
0.738375,0.610621
