REAL,ESTIMATE
0.385434,0.259539
0.554622,0.279132
0.490196,0.383658
0.394958,0.327547
0.341737,0.263155
0.280112,0.319947
0.102521,0.269309
0.124370,0.160611
0.328852,0.231935
0.387115,0.208971
0.338375,0.332029
0.198319,0.328534
0.218487,0.269956
0.336415,0.247396
0.124370,0.342007
0.295798,0.203212
0.383193,0.343188
0.374790,0.403224
0.375350,0.308286
0.273389,0.307318
0.327731,0.297705
0.267787,0.290483
0.178711,0.290373
0.358543,0.245378
0.292437,0.343577
0.308123,0.274057
0.298599,0.312471
0.164426,0.311268
0.245098,0.237951
0.200000,0.288109
0.303081,0.284309
0.240896,0.303016
0.242577,0.272283
0.294678,0.274576
0.297759,0.268845
0.312605,0.276996
0.208964,0.294829
0.303641,0.231557
0.283473,0.291928
0.382633,0.278479
0.141176,0.331093
0.359591,0.221067
0.563659,0.296955
0.269608,0.411168
0.243277,0.282060
0.301961,0.289868
0.365826,0.351443
0.271148,0.301722
0.184034,0.309547
0.282913,0.289999
0.422969,0.256977
0.282353,0.371342
0.179272,0.321559
0.166387,0.248913
0.140616,0.251077
0.235294,0.196860
0.349020,0.290723
0.212885,0.333712
0.174230,0.210703
0.244818,0.202037
0.193557,0.272705
0.112045,0.199699
0.250980,0.163147
0.186555,0.263566
0.210644,0.198871
0.285714,0.218441
0.277871,0.284752
0.217367,0.248926
0.247619,0.207309
0.261625,0.280167
0.218487,0.247790
0.302521,0.204297
0.364706,0.301093
0.198880,0.287487
0.301961,0.229934
0.222409,0.293668
0.224090,0.259099
0.272269,0.235493
0.123249,0.309548
0.058263,0.244944
0.107283,0.162675
0.123249,0.192135
0.075630,0.198408
0.115966,0.176016
0.308964,0.200673
0.270588,0.240883
0.309804,0.209195
0.131373,0.253067
0.043137,0.164909
0.071709,0.127958
0.185434,0.147444
0.147339,0.219803
0.091877,0.192976
0.067787,0.166415
0.031373,0.179714
0.133894,0.133253
0.210084,0.158785
0.110924,0.197482
0.069468,0.142962
0.098599,0.133563
0.137255,0.153273
0.179552,0.131917
0.151821,0.161856
0.185994,0.166283
0.288515,0.159399
0.209244,0.182801
0.090756,0.197868
0.076751,0.141252
0.081793,0.153138
0.034174,0.159543
0.069468,0.153712
0.183193,0.180026
0.156863,0.208247
0.173669,0.164972
0.123810,0.188494
0.025770,0.154570
0.021849,0.100567
0.018487,0.110590
0.003361,0.146875
0.189356,0.118634
0.168067,0.168174
0.058263,0.165617
0.018487,0.106832
0.121008,0.134751
0.248739,0.162573
0.185434,0.144863
0.023529,0.170756
0.035294,0.121448
0.018487,0.105546
0.016807,0.112006
0.043137,0.127307
0.030252,0.128233
0.101961,0.115180
0.194958,0.123609
0.124930,0.130183
0.205042,0.104823
0.145098,0.131529
0.026891,0.125040
0.025770,0.100300
0.054902,0.114159
