E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,2,0.8,5,0.603767,0.439714,0.034750,0.024742
10,2,0.8,6,0.637244,0.362757,0.033250,0.026387
10,2,0.8,7,0.605216,0.481591,0.034686,0.023800
10,2,0.8,8,0.590214,0.476206,0.035339,0.023923
10,2,0.8,9,0.675543,0.467383,0.031446,0.024124
10,2,0.8,10,0.679797,0.237503,0.031239,0.028864
10,2,0.8,11,0.731679,0.416051,0.028596,0.025259
10,2,0.8,12,0.672946,0.313187,0.031571,0.027394
10,2,0.8,13,0.693292,0.301385,0.030573,0.027628
10,2,0.8,14,0.723487,0.301203,0.029029,0.027632
10,2,0.8,15,0.653794,0.485934,0.032482,0.023700
