REAL,ESTIMATE
0.069361,0.041710
0.063371,0.049289
0.046722,0.051529
0.054099,0.053832
0.093421,0.057773
0.090985,0.074277
0.029464,0.081005
0.027298,0.058438
0.037991,0.040733
0.044353,0.045795
0.040631,0.050690
0.052001,0.058311
0.052678,0.065984
0.034540,0.051301
0.003880,0.045244
0.008652,0.032056
0.026215,0.032543
0.043406,0.029298
0.043473,0.039630
0.040495,0.041715
0.043541,0.040291
0.030546,0.038108
0.030682,0.031359
0.029734,0.034565
0.048617,0.033561
0.043676,0.038981
0.011528,0.039170
0.013559,0.032430
0.011731,0.032148
0.022763,0.025954
0.035233,0.026665
0.041595,0.029046
0.030513,0.032429
0.027975,0.025706
0.036435,0.029291
0.027636,0.031272
0.014912,0.030126
0.009159,0.023381
0.017958,0.021021
0.037585,0.023883
0.062627,0.030042
0.062288,0.043096
0.051054,0.044042
0.047466,0.036326
0.035311,0.035046
0.046696,0.030859
0.064928,0.039555
0.044489,0.051146
0.039006,0.046665
0.028042,0.047289
0.018770,0.040910
0.013491,0.036239
0.040631,0.030945
0.055047,0.039617
0.036638,0.041179
0.038465,0.038161
0.041240,0.039602
0.067161,0.041740
0.079141,0.051188
0.044962,0.061485
0.025200,0.052389
0.017619,0.041067
0.019108,0.035373
0.041375,0.036467
0.064522,0.047989
0.080021,0.057345
0.091120,0.062187
0.090037,0.070562
0.109123,0.068355
0.144385,0.079582
0.155823,0.093912
0.179037,0.111495
0.102017,0.142372
0.071967,0.110235
0.045707,0.094527
0.036164,0.072861
0.038871,0.062543
0.049091,0.062616
0.041511,0.065930
0.027298,0.057443
0.039345,0.045490
0.043744,0.049044
0.054099,0.042563
0.073896,0.050698
0.102152,0.064787
0.109326,0.079723
0.108988,0.080863
0.060190,0.103276
0.004309,0.129762
0.000000,0.067562
0.008550,0.046110
0.057009,0.038587
0.041308,0.058525
0.013389,0.049320
0.009244,0.040810
0.009447,0.027959
0.021410,0.023087
0.032983,0.022292
0.023711,0.028745
0.003643,0.021088
0.012171,0.015503
0.045368,0.013078
0.063710,0.018603
0.033389,0.045348
0.005437,0.028481
0.022831,0.014464
0.009498,0.020870
0.042526,0.014985
0.054235,0.034695
0.053016,0.035143
0.043879,0.036284
0.046045,0.029326
0.059581,0.038267
0.064996,0.038372
0.022662,0.048694
0.052475,0.026614
0.043135,0.050592
0.047602,0.038044
0.067365,0.052813
0.087927,0.062315
0.080241,0.079251
0.077479,0.060318
0.050174,0.077929
0.050512,0.050216
0.071561,0.063939
0.079479,0.068328
0.094775,0.084398
0.044353,0.093380
0.030479,0.066440
0.073253,0.060161
0.098971,0.075270
0.092203,0.088483
0.093557,0.095287
0.103370,0.101225
0.083811,0.099665
0.149325,0.085084
0.047737,0.102893
0.128683,0.084857
0.048008,0.119316
0.046857,0.066751
0.109123,0.078675
0.109056,0.095509
0.108920,0.096519
